,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉
0,SH.601636,2018-04-09 00:00:00,5.65,5.73,5.74,5.49,13.482,0.019,48745850,274443712.0,0.35,96.00000000000009,96.00000000000009,96.00000000000006,
1,SH.601636,2018-04-10 00:00:00,5.7,5.91,5.92,5.68,13.904,0.025,64341671,375364832.0,3.141,97.00465116279076,96.6027906976745,97.80837209302331,
2,SH.601636,2018-04-11 00:00:00,5.94,5.87,6.02,5.82,13.81,0.023,59193240,348964224.0,-0.676,85.01734371030699,91.11494738786882,72.82213635518332,-1
3,SH.601636,2018-04-12 00:00:00,5.83,5.68,5.87,5.68,13.364,0.02,51995989,298941376.0,-3.236,64.59359368143926,80.09838507904422,33.58401088622935,
4,SH.601636,2018-04-13 00:00:00,5.75,5.66,5.77,5.63,13.317,0.014,37112894,211148576.0,-0.352,52.110333583574764,69.35415677983556,17.62268719105316,
5,SH.601636,2018-04-16 00:00:00,5.64,5.44,5.65,5.4,12.8,0.027,70307042,385602784.0,-3.886,35.42601910940215,56.95635609725615,-7.634654866305851,
6,SH.601636,2018-04-17 00:00:00,5.44,5.4,5.49,5.38,12.704,0.014,37286917,202513856.0,-0.735,23.98966994439287,45.284323943085525,-18.599638052992447,
7,SH.601636,2018-04-18 00:00:00,5.43,5.29,5.48,5.11,11.677,0.026,68409174,360688192.0,-2.037,22.529548214171363,37.39143028422188,-7.194215925929683,
8,SH.601636,2018-04-19 00:00:00,5.29,5.35,5.4,5.26,11.81,0.015,40312748,215910912.0,1.134,23.845128872675563,32.75540276551366,6.024581086999376,
9,SH.601636,2018-04-20 00:00:00,5.34,5.12,5.36,5.09,11.302,0.021,54290556,281850784.0,-4.299,16.850727783252456,27.3602848391742,-4.168386328591026,
10,SH.601636,2018-04-23 00:00:00,5.14,5.22,5.24,5.03,11.522,0.013,34755259,179304624.0,1.953,17.640252631997225,24.082378158944195,4.75600157810328,
11,SH.601636,2018-04-24 00:00:00,5.26,5.44,5.49,5.26,12.008,0.027,68744521,372519104.0,4.214,28.110709128759886,25.435584781382907,33.46095782351385,
12,SH.601636,2018-04-25 00:00:00,5.38,5.39,5.43,5.32,11.897,0.014,37112024,199068720.0,-0.919,34.99204687223075,28.637524450945048,47.70109171480215,
13,SH.601636,2018-04-26 00:00:00,5.38,5.2,5.39,5.19,11.479,0.013,33194555,174906400.0,-3.525,32.45913975299141,29.915774848914342,37.54586956114556,
14,SH.601636,2018-04-27 00:00:00,5.22,5.27,5.29,5.19,11.633,0.009,23780933,124721496.0,1.346,39.04577246802903,32.96607322770903,51.20517094866902,
15,SH.601636,2018-05-02 00:00:00,5.29,5.27,5.32,5.21,11.633,0.008,21602156,113469624.0,0.0,43.42849174857109,36.45886362776262,57.36774799018802,
16,SH.601636,2018-05-03 00:00:00,5.27,5.26,5.29,5.16,11.611,0.011,28341390,148160640.0,-0.189,45.62122002884751,39.516085383553964,57.831489319434596,
17,SH.601636,2018-05-04 00:00:00,5.24,5.28,5.35,5.23,11.654,0.012,32504816,172418400.0,0.38,48.53205830299341,42.52344458801589,60.54928573294845,
18,SH.601636,2018-05-07 00:00:00,5.29,5.4,5.43,5.28,11.92,0.017,43322117,232653392.0,2.272,59.17109893487401,48.07516704671733,81.36296271118736,
19,SH.601636,2018-05-08 00:00:00,5.41,5.39,5.42,5.34,11.897,0.018,48246046,259224096.0,-0.185,62.68077798331583,52.94516857461632,82.15199680071484,
20,SH.601636,2018-05-09 00:00:00,5.37,5.31,5.37,5.28,11.72,0.014,36524403,194130928.0,-1.484,60.30522757666895,55.39901353630502,70.1176556573968,
21,SH.601636,2018-05-10 00:00:00,5.32,5.31,5.33,5.26,11.72,0.009,23542198,124664368.0,0.0,58.72179193208475,56.50675439241964,63.151867011414964,
22,SH.601636,2018-05-11 00:00:00,5.32,5.34,5.38,5.29,11.788,0.011,29687502,158516896.0,0.564,61.370319506767025,58.12808723238791,67.85478405552524,
23,SH.601636,2018-05-14 00:00:00,5.33,5.37,5.41,5.32,11.854,0.012,32993073,177254048.0,0.561,66.83979716820265,61.03216305570006,78.45506539320782,
24,SH.601636,2018-05-15 00:00:00,5.37,5.39,5.4,5.3,11.897,0.01,27024559,144595024.0,0.372,72.95516868892281,65.00665566513953,88.85219473648937,
25,SH.601636,2018-05-16 00:00:00,5.47,5.54,5.61,5.45,12.229,0.033,85970334,476672480.0,2.782,75.82983747742315,68.61447818753373,90.260556057202,
26,SH.601636,2018-05-17 00:00:00,5.5,5.55,5.59,5.5,12.251,0.015,39845660,221087168.0,0.18,78.17231383379574,71.80047947959046,90.91598254220631,
27,SH.601636,2018-05-18 00:00:00,5.58,5.67,5.72,5.57,12.515,0.022,57944525,327702304.0,2.162,81.82506367796809,75.142046755546,95.19109752281224,
