id,code,stock_name
1,HK.00001,長和
2,HK.00002,中電控股
3,HK.00003,香港中華煤氣
4,HK.00004,九龍倉集團
5,HK.00005,滙豐控股
6,HK.00006,電能實業
7,HK.00008,電訊盈科
8,HK.00010,恒隆集團
9,HK.00011,恒生銀行
10,HK.00012,恒基地產
11,HK.00014,希慎興業
12,HK.00016,新鴻基地產
13,HK.00017,新世界發展
14,HK.00019,太古股份公司'A'
15,HK.00020,會德豐
16,HK.00023,東亞銀行
17,HK.00027,銀河娛樂
18,HK.00043,卜蜂國際
19,HK.00045,大酒店
20,HK.00066,港鐵公司
21,HK.00069,香格里拉(亞洲)
22,HK.00083,信和置業
23,HK.00087,太古股份公司'B'
24,HK.00101,恒隆地產
25,HK.00119,保利置業集團
26,HK.00123,越秀地產
27,HK.00127,華人置業
28,HK.00135,昆侖能源
29,HK.00136,恒騰網絡
30,HK.00142,第一太平
31,HK.00144,招商局港口
32,HK.00148,建滔化工
33,HK.00151,中國旺旺
34,HK.00152,深圳國際
35,HK.00165,中國光大控股
36,HK.00168,青島啤酒股份
37,HK.00173,嘉華國際
38,HK.00175,吉利汽車
39,HK.00177,江蘇寧滬高速公路
40,HK.00178,莎莎國際
41,HK.00179,德昌電機控股
42,HK.00200,新濠國際發展
43,HK.00215,和記電訊香港
44,HK.00220,統一企業中國
45,HK.00241,阿里健康
46,HK.00242,信德集團
47,HK.00257,中國光大國際
48,HK.00267,中信股份
49,HK.00270,粵海投資
50,HK.00272,瑞安房地產
51,HK.00285,比亞迪電子
52,HK.00288,萬洲國際
53,HK.00291,華潤啤酒
54,HK.00293,國泰航空
55,HK.00303,VTech Holdings
56,HK.00308,香港中旅
57,HK.00315,數碼通電訊
58,HK.00316,東方海外國際
59,HK.00317,中船防務
60,HK.00322,康師傅控股
61,HK.00330,思捷環球
62,HK.00336,華寶國際
63,HK.00338,上海石油化工股份
64,HK.00341,大家樂集團
65,HK.00345,Vitasoy Int'l
66,HK.00358,江西銅業股份
67,HK.00363,上海實業控股
68,HK.00371,北控水務集團
69,HK.00384,中國燃氣
70,HK.00386,中國石油化工股份
71,HK.00388,香港交易所
72,HK.00390,中國中鐵
73,HK.00392,北京控股
74,HK.00400,科通芯城
75,HK.00405,越秀房產信託基金
76,HK.00410,SOHO中國
77,HK.00425,敏實集團
78,HK.00439,光啟科學
79,HK.00440,大新金融
80,HK.00460,四環醫藥
81,HK.00489,東風集團股份
82,HK.00493,國美零售
83,HK.00494,利豐
84,HK.00506,中國食品
85,HK.00511,電視廣播
86,HK.00522,ASM Pacific
87,HK.00551,裕元集團
88,HK.00552,中國通信服務
89,HK.00570,中國中藥
90,HK.00576,浙江滬杭甬
91,HK.00582,藍鼎國際
92,HK.00586,海螺創業
93,HK.00590,六福集團
94,HK.00604,深圳控股
95,HK.00606,中國糧油控股
96,HK.00607,豐盛控股
97,HK.00636,嘉里物流
98,HK.00656,復星國際
99,HK.00658,中國高速傳動
100,HK.00659,新創建集團
101,HK.00665,海通國際
102,HK.00669,創科實業
103,HK.00670,中國東方航空股份
104,HK.00680,南海控股
105,HK.00683,嘉里建設
106,HK.00688,中國海外發展
107,HK.00694,北京首都機場股份
108,HK.00696,中國民航信息網絡
109,HK.00698,通達集團
110,HK.00699,神州租車
111,HK.00700,騰訊控股
112,HK.00728,中國電信
113,HK.00732,信利國際
114,HK.00737,合和公路基建
115,HK.00751,創維數碼
116,HK.00753,中國國航
117,HK.00754,合生創展集團
118,HK.00762,中國聯通
119,HK.00763,中興通訊
120,HK.00772,閱文集團
121,HK.00777,網龍
122,HK.00778,置富產業信託
123,HK.00806,惠理集團
124,HK.00813,世茂房地產
125,HK.00817,中國金茂
126,HK.00823,領展房產基金
127,HK.00836,華潤電力
128,HK.00857,中國石油股份
129,HK.00867,康哲藥業
130,HK.00868,信義玻璃
131,HK.00880,澳博控股
132,HK.00881,中升控股
133,HK.00883,中國海洋石油
134,HK.00884,旭輝控股集團
135,HK.00902,華能國際電力股份
136,HK.00914,海螺水泥
137,HK.00916,龍源電力
138,HK.00931,中國天然氣
139,HK.00934,中石化冠德
140,HK.00939,建設銀行
141,HK.00941,中國移動
142,HK.00958,華能新能源
143,HK.00960,龍湖地產
144,HK.00966,中國太平
145,HK.00968,信義光能
146,HK.00981,中芯國際
147,HK.00992,聯想集團
148,HK.00996,嘉年華國際
149,HK.00998,中信銀行
150,HK.01030,新城發展控股
151,HK.01038,長江基建集團
152,HK.01044,恒安國際
153,HK.01055,中國南方航空股份
154,HK.01060,阿里影業
155,HK.01066,威高股份
156,HK.01083,港華燃氣
157,HK.01088,中國神華
158,HK.01093,石藥集團
159,HK.01099,國藥控股
160,HK.01109,華潤置地
161,HK.01112,H&H國際控股
162,HK.01113,長實集團
163,HK.01114,Brilliance Chi
164,HK.01117,現代牧業
165,HK.01128,永利澳門
166,HK.01141,民銀資本
167,HK.01169,海爾電器
168,HK.01171,兗州煤業股份
169,HK.01177,中國生物製藥
170,HK.01186,中國鐵建
171,HK.01193,華潤燃氣
172,HK.01199,中遠海運港口
173,HK.01208,五礦資源
174,HK.01211,比亞迪股份
175,HK.01212,利福國際
176,HK.01269,首控集團
177,HK.01282,中國金洋
178,HK.01288,農業銀行
179,HK.01293,廣匯寶信
180,HK.01299,友邦保險
181,HK.01308,海豐國際
182,HK.01313,華潤水泥控股
183,HK.01316,耐世特
184,HK.01333,中國忠旺
185,HK.01336,新華保險
186,HK.01339,中國人民保險集團
187,HK.01347,華虹半導體
188,HK.01357,美圖公司
189,HK.01359,中國信達
190,HK.01363,中滔環保
191,HK.01378,中國宏橋
192,HK.01382,互太紡織
193,HK.01398,工商銀行
194,HK.01432,中國聖牧
195,HK.01458,周黑鴨
196,HK.01508,中國再保險
197,HK.01515,華潤鳳凰醫療
198,HK.01530,三生製藥
199,HK.01628,禹洲地產
200,HK.01638,佳兆業集團
201,HK.01658,郵儲銀行
202,HK.01668,華南城
203,HK.01680,澳門勵駿
204,HK.01766,中國中車
205,HK.01776,廣發証券
206,HK.01788,國泰君安國際
207,HK.01800,中國交通建設
208,HK.01813,合景泰富
209,HK.01816,中廣核電力
210,HK.01882,海天國際
211,HK.01888,建滔積層板
212,HK.01898,中煤能源
213,HK.01918,融創中國
214,HK.01919,中遠海控
215,HK.01928,金沙中國有限公司
216,HK.01929,周大福
217,HK.01958,北京汽車
218,HK.01970,IMAX China
219,HK.01972,太古地產
220,HK.01988,民生銀行
221,HK.01997,九龍倉置業
222,HK.01999,敏華控股
223,HK.02007,碧桂園
224,HK.02018,瑞聲科技
225,HK.02020,安踏體育
226,HK.02038,富智康集團
227,HK.02039,中集集團
228,HK.02128,中國聯塑
229,HK.02186,綠葉製藥
230,HK.02196,復星醫藥
231,HK.02202,萬科企業
232,HK.02232,晶苑國際
233,HK.02238,廣汽集團
234,HK.02269,藥明生物
235,HK.02282,美高梅中國
236,HK.02313,申洲國際
237,HK.02314,理文造紙
238,HK.02318,中國平安
239,HK.02319,蒙牛乳業
240,HK.02328,中國財險
241,HK.02333,長城汽車
242,HK.02338,濰柴動力
243,HK.02356,大新銀行集團
244,HK.02357,中航科工
245,HK.02380,中國電力
246,HK.02382,舜宇光學科技
247,HK.02386,中石化煉化工程
248,HK.02388,中銀香港
249,HK.02588,中銀航空租賃
250,HK.02600,中國鋁業
251,HK.02601,中國太保
252,HK.02607,上海醫藥
253,HK.02611,國泰君安
254,HK.02628,中國人壽
255,HK.02688,新奧能源
256,HK.02689,玖龍紙業
257,HK.02727,上海電氣
258,HK.02777,富力地產
259,HK.02778,冠君產業信託
260,HK.02799,中國華融
261,HK.02858,易鑫集團
262,HK.02883,中海油田服務
263,HK.02899,紫金礦業
264,HK.03311,中國建築國際
265,HK.03320,華潤醫藥
266,HK.03323,中國建材
267,HK.03328,交通銀行
268,HK.03333,中國恒大
269,HK.03360,遠東宏信
270,HK.03377,遠洋集團
271,HK.03380,龍光地產
272,HK.03383,雅居樂集團
273,HK.03396,聯想控股
274,HK.03606,福耀玻璃
275,HK.03618,重慶農村商業銀行
276,HK.03799,達利食品
277,HK.03800,保利協鑫能源
278,HK.03808,中國重汽
279,HK.03888,金山軟件
280,HK.03898,中車時代電氣
281,HK.03899,中集安瑞科
282,HK.03900,綠城中國
283,HK.03908,中金公司
284,HK.03968,招商銀行
285,HK.03969,中國通號
286,HK.03988,中國銀行
287,HK.03993,洛陽鉬業
288,HK.06030,中信証券
289,HK.06060,眾安在綫
290,HK.06088,FIT Hon Teng
291,HK.06099,招商證券
292,HK.06808,高鑫零售
293,HK.06818,中國光大銀行
294,HK.06837,海通證券
295,HK.06881,中國銀河
296,HK.06886,HTSC
297,HK.87001,匯賢產業信託
298,HK.00008,電訊盈科
299,HK.00014,希慎興業
300,HK.00035,遠東發展
301,HK.00043,卜蜂國際
302,HK.00045,大酒店
303,HK.00052,Fairwood Hold
304,HK.00078,Regal Int'l
305,HK.00081,中國海外宏洋集團
306,HK.00086,新鴻基公司
307,HK.00087,太古股份公司'B'
308,HK.00095,綠景中國地產
309,HK.00119,保利置業集團
310,HK.00123,越秀地產
311,HK.00127,華人置業
312,HK.00136,恒騰網絡
313,HK.00142,第一太平
314,HK.00148,建滔化工
315,HK.00152,深圳國際
316,HK.00163,英皇國際
317,HK.00165,中國光大控股
318,HK.00168,青島啤酒股份
319,HK.00173,嘉華國際
320,HK.00177,江蘇寧滬高速公路
321,HK.00178,莎莎國際
322,HK.00179,德昌電機控股
323,HK.00182,協合新能源
324,HK.00189,東岳集團
325,HK.00198,星美控股
326,HK.00200,新濠國際發展
327,HK.00215,和記電訊香港
328,HK.00220,統一企業中國
329,HK.00241,阿里健康
330,HK.00242,信德集團
331,HK.00256,冠城鐘錶珠寶
332,HK.00268,金蝶國際
333,HK.00272,瑞安房地產
334,HK.00279,民眾金融科技
335,HK.00285,比亞迪電子
336,HK.00297,中化化肥
337,HK.00303,VTech Holdings
338,HK.00308,香港中旅
339,HK.00315,數碼通電訊
340,HK.00316,東方海外國際
341,HK.00317,中船防務
342,HK.00321,德永佳集團
343,HK.00323,馬鞍山鋼鐵股份
344,HK.00327,百富環球
345,HK.00330,思捷環球
346,HK.00336,華寶國際
347,HK.00337,綠地香港
348,HK.00338,上海石油化工股份
349,HK.00341,大家樂集團
350,HK.00342,新海能源
351,HK.00345,Vitasoy Int'l
352,HK.00347,鞍鋼股份
353,HK.00354,中國軟件國際
354,HK.00358,江西銅業股份
355,HK.00363,上海實業控股
356,HK.00368,中外運航運
357,HK.00378,五龍動力
358,HK.00390,中國中鐵
359,HK.00400,科通芯城
360,HK.00405,越秀房產信託基金
361,HK.00410,SOHO中國
362,HK.00419,華誼騰訊娛樂
363,HK.00425,敏實集團
364,HK.00435,陽光房地產基金
365,HK.00439,光啟科學
366,HK.00440,大新金融
367,HK.00451,協鑫新能源
368,HK.00460,四環醫藥
369,HK.00467,聯合能源集團
370,HK.00468,紛美包裝
371,HK.00480,香港興業國際
372,HK.00488,麗新發展
373,HK.00489,東風集團股份
374,HK.00493,國美零售
375,HK.00494,利豐
376,HK.00506,中國食品
377,HK.00508,鼎億集團投資
378,HK.00511,電視廣播
379,HK.00512,遠大醫藥
380,HK.00517,中遠海運國際
381,HK.00521,CWT Int'l
382,HK.00522,ASM Pacific
383,HK.00525,廣深鐵路股份
384,HK.00535,金地商置
385,HK.00538,味千(中國)
386,HK.00546,阜豐集團
387,HK.00547,數字王國
388,HK.00548,深圳高速公路股份
389,HK.00552,中國通信服務
390,HK.00563,上實城市開發
391,HK.00570,中國中藥
392,HK.00576,浙江滬杭甬
393,HK.00579,京能清潔能源
394,HK.00581,中國東方集團
395,HK.00582,藍鼎國際
396,HK.00586,海螺創業
397,HK.00590,六福集團
398,HK.00598,中國外運
399,HK.00603,中油燃氣
400,HK.00604,深圳控股
401,HK.00606,中國糧油控股
402,HK.00631,三一國際
403,HK.00636,嘉里物流
404,HK.00639,首鋼資源
405,HK.00658,中國高速傳動
406,HK.00665,海通國際
407,HK.00670,中國東方航空股份
408,HK.00680,南海控股
409,HK.00686,熊貓綠能
410,HK.00687,香港國際建投
