code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,cf_sales_2015q1,rateofreturn_2015q1,cf_nm_2015q1,cf_liabilities_2015q1,cashflowratio_2015q1,Unnamed: 0_y,name_x,cf_sales_2015q2,rateofreturn_2015q2,cf_nm_2015q2,cf_liabilities_2015q2,cashflowratio_2015q2,Unnamed: 0_x,name_y,cf_sales_2015q3,rateofreturn_2015q3,cf_nm_2015q3,cf_liabilities_2015q3,cashflowratio_2015q3,Unnamed: 0_y,name_x,cf_sales_2015q4,rateofreturn_2015q4,cf_nm_2015q4,cf_liabilities_2015q4,cashflowratio_2015q4,Unnamed: 0_x,name_y,cf_sales_2016q1,rateofreturn_2016q1,cf_nm_2016q1,cf_liabilities_2016q1,cashflowratio_2016q1,Unnamed: 0_y,name_x,cf_sales_2016q2,rateofreturn_2016q2,cf_nm_2016q2,cf_liabilities_2016q2,cashflowratio_2016q2,Unnamed: 0_x,name_y,cf_sales_2016q3,rateofreturn_2016q3,cf_nm_2016q3,cf_liabilities_2016q3,cashflowratio_2016q3,Unnamed: 0_y,name_x,cf_sales_2016q4,rateofreturn_2016q4,cf_nm_2016q4,cf_liabilities_2016q4,cashflowratio_2016q4,Unnamed: 0_x,name_y,cf_sales_2017q1,rateofreturn_2017q1,cf_nm_2017q1,cf_liabilities_2017q1,cashflowratio_2017q1,Unnamed: 0_y,name_x,cf_sales_2017q2,rateofreturn_2017q2,cf_nm_2017q2,cf_liabilities_2017q2,cashflowratio_2017q2,Unnamed: 0_x,name_y,cf_sales_2017q3,rateofreturn_2017q3,cf_nm_2017q3,cf_liabilities_2017q3,cashflowratio_2017q3,Unnamed: 0_y,name_x,cf_sales_2017q4,rateofreturn_2017q4,cf_nm_2017q4,cf_liabilities_2017q4,cashflowratio_2017q4,Unnamed: 0,name_y,cf_sales_2018q1,rateofreturn_2018q1,cf_nm_2018q1,cf_liabilities_2018q1,cashflowratio_2018q1
300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0,-48.51,-68.09,13.4,1.07,51756,2800,宝利国际,-1.9757,-0.0993,-39.848,-0.1844,-22.0923,2898,宝利国际,-0.6633,-0.1198,-13.9377,-0.1813,-20.0207,2891,宝利国际,-0.4625,-0.1706,-12.5408,-0.2539,-28.1831,2819,宝利国际,-0.0016,-0.001,-0.1226,-0.0018,-0.1967,162,宝利国际,0.4717,0.0343,22.5684,0.0598,6.3495,1087,宝利国际,0.1164,0.0242,3.1363,0.0457,4.8793,2500,宝利国际,-0.0458,-0.0154,-1.5464,-0.0256,-2.6919,1324,宝利国际,0.1397,0.0664,7.616,0.1124,11.8609,2782,宝利国际,-0.346,-0.0503,-24.5906,-0.088,-9.4139,2834,宝利国际,-0.186,-0.0436,-6.9112,-0.0769,-8.0243,2929,宝利国际,-0.1767,-0.067,-6.7277,-0.1118,-12.1698,616,宝利国际,0.2026,0.119,10.1695,0.1958,20.1847,255,宝利国际,0.3045,0.0206,20.8386,0.0339,3.5155
300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0,-48.51,-68.09,13.4,1.07,51756,2800,宝利国际,-1.9757,-0.0993,-39.848,-0.1844,-22.0923,2898,宝利国际,-0.6633,-0.1198,-13.9377,-0.1813,-20.0207,2891,宝利国际,-0.4625,-0.1706,-12.5408,-0.2539,-28.1831,2820,宝利国际,-0.0016,-0.001,-0.1226,-0.0018,-0.1967,162,宝利国际,0.4717,0.0343,22.5684,0.0598,6.3495,1087,宝利国际,0.1164,0.0242,3.1363,0.0457,4.8793,2500,宝利国际,-0.0458,-0.0154,-1.5464,-0.0256,-2.6919,1324,宝利国际,0.1397,0.0664,7.616,0.1124,11.8609,2782,宝利国际,-0.346,-0.0503,-24.5906,-0.088,-9.4139,2834,宝利国际,-0.186,-0.0436,-6.9112,-0.0769,-8.0243,2929,宝利国际,-0.1767,-0.067,-6.7277,-0.1118,-12.1698,616,宝利国际,0.2026,0.119,10.1695,0.1958,20.1847,255,宝利国际,0.3045,0.0206,20.8386,0.0339,3.5155
600328,兰太实业,化工原料,内蒙,15.87,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.173,5.2,2.11,20001222,70801.74,1.62,25.56,34.15,37.16,8.16,39136,1320,兰太实业,-0.0003,0,,0,-0.0041,580,兰太实业,0.1743,0.0304,,0.0379,5.3476,495,兰太实业,0.1993,0.0501,,0.0625,8.5928,1450,兰太实业,0.1207,0.0426,,0.053,7.0618,1797,兰太实业,-0.0463,-0.0035,-3.7251,-0.0049,-0.6639,998,兰太实业,0.1289,0.0212,3.8987,0.0301,4.0433,2250,兰太实业,-0.0038,-0.001,-0.1082,-0.0014,-0.1981,1606,兰太实业,0.1116,0.0441,2.4418,0.0661,9.2157,754,兰太实业,0.1297,0.0146,0.7877,0.0223,3.1267,955,兰太实业,0.1161,0.0275,0.857,0.0425,5.9644,1109,兰太实业,0.1009,0.0358,0.7228,0.0559,7.4917,695,兰太实业,0.1901,0.0934,1.5428,0.1505,18.0116,652,兰太实业,0.1427,0.0191,1.1152,0.0311,3.7281
613,大东海A,旅游服务,海南,601.51,2.66,3.64,8896.94,1619.5,3843.58,5414.27,0.15,0.005,0.22,60.02,19970128,-33913.4,-0.93,5.39,-18.13,68.9,19.95,40000,602,大东海A,0.1523,0.0084,,0.0321,3.2099,1003,大东海A,0.0987,0.0076,,0.0288,2.8754,2003,大东海A,-0.0183,-0.0019,,-0.0069,-0.6919,3194,大东海A,-0.1099,-0.0166,,-0.0625,-6.2451,256,大东海A,0.3538,0.0283,2.0823,0.1066,10.6583,1059,大东海A,0.1205,0.014,8.4457,0.0543,5.4328,1461,大东海A,0.0838,0.0128,,0.0483,4.8259,1436,大东海A,0.1274,0.0262,,0.0888,9.3213,315,大东海A,0.2781,0.0243,1.0826,0.0854,8.9774,493,大东海A,0.214,0.0336,1.8793,0.1599,17.2642,1001,大东海A,0.1138,0.0244,9.5954,0.1139,12.2964,731,大东海A,0.1837,0.0586,1.7934,0.4963,57.9907,316,大东海A,0.264,0.0293,1.323,0.2648,31.1882
600522,中天科技,通信设备,江苏,18.95,27.31,30.66,2810993,1920744.75,538065.25,762229.44,2.49,0.146,5.85,1.89,20021024,615655.56,2.01,22.76,0.53,17.01,6.76,145530,952,中天科技,0.0668,0.016,1.3148,0.0544,6.3121,1603,中天科技,0.0203,0.0101,0.3218,0.0308,3.4949,1786,中天科技,0.0097,0.008,0.1811,0.0236,2.6275,1576,中天科技,0.108,0.1136,1.765,0.3358,38.1402,2086,中天科技,-0.1248,-0.0324,-1.6928,-0.0912,-10.8373,1809,中天科技,0.0277,0.0138,0.3468,0.034,3.7661,2105,中天科技,0.0136,0.0099,0.1721,0.0239,2.6518,2236,中天科技,0.0586,0.0605,0.7757,0.1481,15.9522,2556,中天科技,-0.2502,-0.056,-3.0269,-0.1844,-20.2511,2435,中天科技,-0.0859,-0.0414,-1.1064,-0.1266,-14.874,2233,中天科技,-0.0279,-0.0207,-0.3732,-0.0627,-7.3341,2115,中天科技,0.0392,0.0397,0.5917,0.1176,13.6213,1936,中天科技,-0.0811,-0.0191,-1.1904,-0.0537,-6.3397
2648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000,203,卫星石化,0.3798,0.0417,,0.0749,10.491,376,卫星石化,0.2367,0.0663,,0.1194,14.9413,540,卫星石化,0.1863,0.0789,,0.1409,17.3913,354,卫星石化,0.2992,0.1765,,0.3158,37.2208,595,卫星石化,0.1932,0.0288,80.5838,0.0518,6.1184,1864,卫星石化,0.021,0.0064,3.2688,0.0115,1.2567,1596,卫星石化,0.0696,0.0333,2.4933,0.0594,6.6807,1340,卫星石化,0.1386,0.0996,2.4172,0.1825,19.0161,1462,卫星石化,0.0052,0.0012,0.0341,0.0022,0.2375,1546,卫星石化,0.0405,0.0198,0.3402,0.0365,3.8923,905,卫星石化,0.128,0.0729,1.135,0.207,20.9586,1739,卫星石化,0.0692,0.0556,0.6055,0.1905,19.333,1598,卫星石化,-0.0202,-0.0034,-0.3169,-0.0112,-1.1329
2648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000,203,卫星石化,0.3798,0.0417,,0.0749,10.491,376,卫星石化,0.2367,0.0663,,0.1194,14.9413,540,卫星石化,0.1863,0.0789,,0.1409,17.3913,354,卫星石化,0.2992,0.1765,,0.3158,37.2208,595,卫星石化,0.1932,0.0288,80.5838,0.0518,6.1184,1864,卫星石化,0.021,0.0064,3.2688,0.0115,1.2567,1596,卫星石化,0.0696,0.0333,2.4933,0.0594,6.6807,1340,卫星石化,0.1386,0.0996,2.4172,0.1825,19.0161,1462,卫星石化,0.0052,0.0012,0.0341,0.0022,0.2375,1546,卫星石化,0.0405,0.0198,0.3402,0.0365,3.8923,905,卫星石化,0.128,0.0729,1.135,0.207,20.9586,1740,卫星石化,0.0692,0.0556,0.6055,0.1905,19.333,1598,卫星石化,-0.0202,-0.0034,-0.3169,-0.0112,-1.1329
300471,厚普股份,专用机械,四川,0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.108,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067,2676,厚普股份,-0.8415,-0.0915,-4.9806,-0.1508,-15.5848,2779,厚普股份,-0.3887,-0.0835,-2.564,-0.24,-24.8875,2680,厚普股份,-0.2129,-0.0678,-1.2275,-0.2212,-23.0133,2202,厚普股份,0.0575,0.0272,0.3622,0.0723,7.4461,3071,厚普股份,-1.0562,-0.0768,-24.0757,-0.2295,-23.4208,3046,厚普股份,-0.3625,-0.076,-2.819,-0.2352,-23.8188,3068,厚普股份,-0.2646,-0.0884,-2.2068,-0.3228,-32.7019,3092,厚普股份,-0.0741,-0.04,-0.573,-0.1383,-14.0175,2968,厚普股份,-0.5048,-0.0381,-10.3837,-0.1472,-14.8883,3138,厚普股份,-0.3715,-0.0639,-2.8286,-0.1807,-18.0964,3063,厚普股份,-0.2391,-0.0565,-2.6171,-0.1452,-14.5337,3234,厚普股份,-0.1867,-0.0481,-4.658,-0.1206,-12.0764,3404,厚普股份,-3.4796,-0.0845,,-0.2271,-22.7798
2053,云南能投,食品,云南,40.74,3.72,5.58,378381.19,121186.13,88027.15,118622.65,2.12,0.067,4.3,2.53,20060627,54855.35,0.98,-1.35,-12.48,50.38,11.59,21390,806,云南能投,0.096,0.0094,23.6259,0.0126,1.9926,891,云南能投,0.114,0.0217,17.1959,0.0291,4.3036,483,云南能投,0.203,0.0501,4.6535,0.0838,12.3439,782,云南能投,0.1974,0.0813,2.905,0.1595,21.9378,491,云南能投,0.2289,0.0179,2.1319,0.0349,5.7754,526,云南能投,0.2311,0.0503,1.8936,0.1679,22.0089,367,云南能投,0.288,0.0876,1.7118,0.2824,68.1343,379,云南能投,0.297,0.1321,1.6596,0.4742,109.0637,1358,云南能投,0.0196,0.0019,0.152,0.0065,1.3788,2681,云南能投,-0.1392,-0.0309,-1.0667,-0.1114,-26.0333,2322,云南能投,-0.0412,-0.0134,-0.3658,-0.0457,-10.4794,2158,云南能投,0.0358,0.0139,0.324,0.0418,8.4044,1522,云南能投,-0.0067,-0.0006,-0.056,-0.0017,-0.3541
300503,昊志机电,机械基件,广东,81.81,1.03,2.54,119336.1,73525.4,28086.93,17109.11,0.67,0.051,3.05,5.45,20160309,34135.65,1.35,36.13,4.7,45.63,13.15,15683,1140,昊志机电,0.0305,,0.1484,,,2170,昊志机电,-0.0776,,-0.4363,,,2025,昊志机电,-0.0212,,-0.1196,,,2501,昊志机电,0.0297,0.0121,0.151,0.0747,9.4078,2309,昊志机电,-0.2062,-0.0136,-1.5045,-0.1081,-13.5972,2674,昊志机电,-0.1406,-0.0286,-0.7787,-0.1862,-22.2873,2976,昊志机电,-0.1959,-0.0637,-0.9444,-0.4175,-49.7304,3182,昊志机电,-0.119,-0.0456,-0.6271,-0.2223,-33.5671,426,昊志机电,0.2222,0.0183,1.2997,0.093,14.3549,1244,昊志机电,0.075,0.0162,0.3917,0.0672,9.2202,942,昊志机电,0.1233,0.0387,0.6938,0.1456,20.1133,1809,昊志机电,0.0638,0.0243,0.3769,0.0742,10.8457,324,昊志机电,0.26,0.0213,1.9586,0.0645,9.8883
676,智度股份,互联网,河南,17.82,3.16,9.66,734712.06,437033.34,1129.92,350194.59,3.63,0.208,5.38,2.76,19961224,77332.36,0.8,77.22,63.79,15.62,9.52,36319,161,智度股份,0.4366,0.0717,,0.0955,10.1802,416,智度股份,0.2219,0.0706,,0.0928,9.891,139,智度股份,0.4216,0.1849,,0.2387,25.4048,1685,智度股份,0.0987,0.1003,,0.1877,20.3716,2790,智度股份,-0.5008,-0.0899,,-0.1585,-16.9596,874,智度股份,0.1503,0.0168,1.1371,0.0648,6.6338,1539,智度股份,0.0755,0.0178,0.7425,0.0606,6.169,2091,智度股份,0.0709,0.0258,0.5298,0.089,14.6021,2004,智度股份,-0.0967,-0.0168,-0.9384,-0.0538,-8.1563,2309,智度股份,-0.0617,-0.0227,-0.7167,-0.074,-12.975,2424,智度股份,-0.0534,-0.0319,-0.7145,-0.0939,-12.2116,2592,智度股份,-0.0017,-0.0016,-0.021,-0.0056,-0.7131,1771,智度股份,-0.0506,-0.0145,-0.5312,-0.0497,-5.8852
2795,永和智控,机械基件,浙江,198.97,0.64,2,71899.15,54738.96,6948.21,24386.23,1.22,0.038,3.12,9.68,20160428,14280.2,0.71,23.07,-37.06,23.66,5.76,23176,209,永和智控,0.373,,2.6797,,,464,永和智控,0.2059,,1.6099,,,552,永和智控,0.1834,,1.3905,,,1261,永和智控,0.1381,0.1569,1.0001,0.3162,32.3797,190,永和智控,0.428,0.1047,3.0383,0.2262,23.1955,444,永和智控,0.255,0.0892,1.6791,0.7025,74.5399,660,永和智控,0.2022,0.1055,1.3936,1.0285,110.7281,1239,永和智控,0.1488,0.0972,1.0068,0.7609,87.1571,682,永和智控,0.1469,0.0226,1.3043,0.2053,24.0589,1496,永和智控,0.0458,0.0176,0.3937,0.1363,15.6238,1541,永和智控,0.0505,0.03,0.4695,0.2427,27.903,2066,永和智控,0.0437,0.0314,0.4116,0.1658,17.9491,550,永和智控,0.1697,0.0311,2.9465,0.2365,26.8936
600389,江山股份,农药化肥,江苏,19.76,2.97,2.97,291790.78,108921.22,128498.97,11448.82,0.39,0.285,5.56,4.06,20010110,101102.32,3.4,12.14,117.24,18.66,8.38,11415,1543,江山股份,-0.0487,-0.0126,-4.6302,-0.0222,-2.3754,1717,江山股份,0.0066,0.0034,0.6323,0.0059,0.6321,1808,江山股份,0.0072,0.0049,1.2905,0.0087,0.9365,1868,江山股份,0.0846,0.0726,21.4215,0.1239,13.6889,1328,江山股份,0.0406,0.0121,6.9614,0.0177,1.8654,1509,江山股份,0.0646,0.0672,49.7391,0.115,12.4733,1736,江山股份,0.0558,0.0685,26.816,0.1183,12.905,2072,江山股份,0.0734,0.1072,6.659,0.1855,20.0296,2292,江山股份,-0.1632,-0.0451,-3.7718,-0.0796,-8.5904,2217,江山股份,-0.0456,-0.0234,-1.1809,-0.0405,-4.3345,2193,江山股份,-0.0219,-0.0167,-0.602,-0.0308,-3.3224,996,江山股份,0.1415,0.1745,2.0694,0.3715,40.5058,1457,江山股份,0.004,0.0014,0.0473,0.0032,0.348
600261,阳光照明,家用电器,浙江,22.5,14.52,14.52,616547.06,416033.38,117456.52,26291.5,0.18,0.049,2.34,1.88,20000720,136825.23,0.94,24.06,-39.01,21.68,5.01,56088,1292,阳光照明,0.0049,0.001,0.0457,0.003,0.3148,819,阳光照明,0.1247,0.0513,1.2972,0.1355,14.2087,801,阳光照明,0.1363,0.0869,1.6844,0.2168,22.7165,1309,阳光照明,0.1339,0.1129,1.5896,0.2842,29.9733,338,阳光照明,0.2983,0.0619,2.898,0.1715,18.2056,486,阳光照明,0.2458,0.1048,2.3047,0.2698,28.6414,518,阳光照明,0.2347,0.1458,2.0836,0.372,39.5606,610,阳光照明,0.2349,0.183,2.2295,0.4418,46.6821,1762,阳光照明,-0.048,-0.0098,-0.4625,-0.025,-2.6522,1748,阳光照明,0.018,0.0076,0.1823,0.0181,1.8966,1630,阳光照明,0.0409,0.0249,0.453,0.0565,6.5169,2013,阳光照明,0.047,0.0365,0.5721,0.0788,9.5439,1632,阳光照明,-0.0277,-0.0064,-0.5398,-0.0151,-1.8773
300084,海默科技,石油开采,甘肃,0,3.1,3.85,292281.09,140725.27,26025.06,122749.36,3.19,-0.049,4.54,1.57,20100520,13799.82,0.36,40.84,-541.36,34.72,-22.68,26019,425,海默科技,0.216,0.0138,1.8187,0.0406,10.2445,214,海默科技,0.3292,0.0401,6.279,0.1197,31.4605,342,海默科技,0.2562,0.0423,,0.119,33.8228,685,海默科技,0.2159,0.052,7.5561,0.1482,28.8858,2280,海默科技,-0.1933,-0.0058,,-0.0161,-3.1883,1817,海默科技,0.0261,0.0024,1.1693,0.007,1.514,1631,海默科技,0.0668,0.0058,5.2925,0.023,4.7039,2771,海默科技,0.0041,0.0005,0.1557,0.0021,0.2303,912,海默科技,0.0943,0.0022,,0.0085,0.9651,676,海默科技,0.1646,0.0107,14.8711,0.0394,5.2448,1028,海默科技,0.1107,0.0111,11.8209,0.0403,5.4386,1502,海默科技,0.0895,0.0144,1.8146,0.0361,4.6137,3092,海默科技,-0.6069,-0.0171,,-0.0446,-5.9074
2633,申科股份,机械基件,浙江,0,1.49,1.5,60571.71,32491.63,16400.73,30472.23,2.03,-0.025,3.45,3.77,20111122,4455.53,0.3,-19.63,-295.87,24.31,-15.12,12475,1422,申科股份,-0.0216,-0.001,,-0.0022,-0.2334,595,申科股份,0.172,0.0246,,0.0714,7.7857,743,申科股份,0.1454,0.0341,,0.0984,10.7114,2770,申科股份,0.0048,0.0015,0.0529,0.0063,0.7114,35,申科股份,1.3259,0.0543,,0.1621,17.5996,53,申科股份,0.7985,0.0682,,0.2654,30.0264,103,申科股份,0.5432,0.0817,,0.5272,67.5872,137,申科股份,0.4607,0.1051,,0.695,89.9274,169,申科股份,0.4104,0.0211,,0.1387,17.8766,355,申科股份,0.2596,0.0261,,0.1031,11.6935,854,申科股份,0.1364,0.0245,,0.1665,21.6029,2189,申科股份,0.0334,0.0095,1.0733,0.0629,8.0631,595,申科股份,0.1571,0.0065,,0.0445,5.7566
2596,海南瑞泽,其他建材,海南,111.21,7.26,10.74,627061.63,311202.97,63895.71,125162.97,1.17,0.027,2.79,4.37,20110707,66317.81,0.62,39.69,273.71,23.82,4.67,65018,1018,海南瑞泽,0.052,0.006,,0.0187,3.6524,1963,海南瑞泽,-0.0327,-0.0089,,-0.0272,-5.2715,1803,海南瑞泽,0.0076,0.003,0.5722,0.0089,1.6185,2884,海南瑞泽,-0.013,-0.0073,-0.2624,-0.0216,-3.1702,2112,海南瑞泽,-0.1303,-0.0111,,-0.0375,-6.3562,2703,海南瑞泽,-0.1514,-0.0298,,-0.0895,-13.6033,2468,海南瑞泽,-0.0402,-0.0131,-2.3563,-0.0337,-6.7824,3045,海南瑞泽,-0.0589,-0.0276,-1.4886,-0.0615,-10.1566,2576,海南瑞泽,-0.2573,-0.03,-12.9136,-0.0688,-15.3285,2523,海南瑞泽,-0.1055,-0.0304,-1.8018,-0.0664,-12.6549,2488,海南瑞泽,-0.0641,-0.0285,-1.1358,-0.0594,-9.773,2820,海南瑞泽,-0.0333,-0.0192,-0.5288,-0.0361,-4.9015,1987,海南瑞泽,-0.0919,-0.0092,-2.0491,-0.0179,-2.3439
