 ,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,currentratio_2015q1,quickratio_2015q1,cashratio_2015q1,icratio_2015q1,sheqratio_2015q1,adratio_2015q1,Unnamed: 0_y,name_x,currentratio_2015q2,quickratio_2015q2,cashratio_2015q2,icratio_2015q2,sheqratio_2015q2,adratio_2015q2,Unnamed: 0_x,name_y,currentratio_2015q3,quickratio_2015q3,cashratio_2015q3,icratio_2015q3,sheqratio_2015q3,adratio_2015q3,Unnamed: 0_y,name_x,currentratio_2015q4,quickratio_2015q4,cashratio_2015q4,icratio_2015q4,sheqratio_2015q4,adratio_2015q4,Unnamed: 0_x,name_y,currentratio_2016q1,quickratio_2016q1,cashratio_2016q1,icratio_2016q1,sheqratio_2016q1,adratio_2016q1,Unnamed: 0_y,name_x,currentratio_2016q2,quickratio_2016q2,cashratio_2016q2,icratio_2016q2,sheqratio_2016q2,adratio_2016q2,Unnamed: 0_x,name_y,currentratio_2016q3,quickratio_2016q3,cashratio_2016q3,icratio_2016q3,sheqratio_2016q3,adratio_2016q3,Unnamed: 0_y,name_x,currentratio_2016q4,quickratio_2016q4,cashratio_2016q4,icratio_2016q4,sheqratio_2016q4,adratio_2016q4,Unnamed: 0_x,name_y,currentratio_2017q1,quickratio_2017q1,cashratio_2017q1,icratio_2017q1,sheqratio_2017q1,adratio_2017q1,Unnamed: 0_y,name_x,currentratio_2017q2,quickratio_2017q2,cashratio_2017q2,icratio_2017q2,sheqratio_2017q2,adratio_2017q2,Unnamed: 0_x,name_y,currentratio_2017q3,quickratio_2017q3,cashratio_2017q3,icratio_2017q3,sheqratio_2017q3,adratio_2017q3,Unnamed: 0_y,name_x,currentratio_2017q4,quickratio_2017q4,cashratio_2017q4,icratio_2017q4,sheqratio_2017q4,adratio_2017q4,Unnamed: 0,name_y,currentratio_2018q1,quickratio_2018q1,cashratio_2018q1,icratio_2018q1,sheqratio_2018q1,adratio_2018q1
300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0,-48.51,-68.09,13.4,1.07,51756,1991,宝利国际,1.5883,1.3864,50.5617,141.0452,46.1723,53.8277,2514,宝利国际,1.263,1.0954,56.8556,188.3918,33.9545,66.0455,2576,宝利国际,1.2326,1.1524,48.6993,212.716,32.7996,67.2004,2645,宝利国际,1.4616,1.4022,51.9489,182.8563,41.6489,58.3511,2513,宝利国际,1.4089,1.3044,54.5248,214.8405,42.6602,57.3398,2390,宝利国际,1.5029,1.3188,47.6876,180.4625,47.108,52.892,2775,宝利国际,1.2679,1.1634,39.8014,197.5112,39.9995,60.0005,2730,宝利国际,1.3671,1.2958,55.2876,204.2385,40.9142,59.0858,2727,宝利国际,1.3848,1.1767,51.2902,485.2407,42.8596,57.1404,2645,宝利国际,1.3321,1.0875,46.7009,392.0357,43.2348,56.7652,2749,宝利国际,1.249,1.0248,40.8475,327.5909,40.0759,59.9241,2829,宝利国际,1.1461,0.9763,39.0043,220.9511,39.2558,60.7442,2844,宝利国际,1.0438,0.8023,32.4687,149.0681,39.2575,60.7425
600328,兰太实业,化工原料,内蒙,15.87,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.173,5.2,2.11,20001222,70801.74,1.62,25.56,34.15,37.16,8.16,39136,2746,兰太实业,0.438,0.3476,8.5644,57.7025,19.5983,80.4017,2861,兰太实业,0.4098,0.3203,9.094,78.2876,19.881,80.119,2895,兰太实业,0.3772,0.2764,6.7302,75.1792,19.7941,80.2059,3351,兰太实业,0.3608,0.2707,8.021,78.2532,19.5446,80.4554,2929,兰太实业,0.439,0.3337,10.2304,124.1818,29.9718,70.0282,3010,兰太实业,0.4996,0.4053,16.4005,147.1452,29.5291,70.4709,3070,兰太实业,0.4756,0.3769,9.7233,153.8257,30.9131,69.0869,3020,兰太实业,0.395,0.2775,4.5174,168.3819,33.2825,66.7175,3004,兰太实业,0.4447,0.3127,7.7914,343.0369,34.6066,65.3934,2951,兰太实业,0.4875,0.3683,5.2495,313.7085,35.3078,64.6922,2915,兰太实业,0.5222,0.4098,5.917,339.062,35.8321,64.1679,2871,兰太实业,0.4497,0.3212,5.9609,331.5238,37.9358,62.0642,2876,兰太实业,0.5073,0.3959,8.7378,432.5067,38.4024,61.5976
613,大东海A,旅游服务,海南,601.51,2.66,3.64,8896.94,1619.5,3843.58,5414.27,0.15,0.005,0.22,60.02,19970128,-33913.4,-0.93,5.39,-18.13,68.9,19.95,40000,871,大东海A,0.9194,0.9088,79.5069,460.5585,73.9398,26.0602,858,大东海A,0.8482,0.8376,80.9911,5443.8055,73.711,26.289,1043,大东海A,0.7478,0.7383,40.3272,7331.1116,72.3914,27.6086,879,大东海A,0.7602,0.7524,72.6826,6946.9977,73.3523,26.6477,1191,大东海A,0.8526,0.8439,49.0856,5406.7215,73.477,26.523,992,大东海A,0.8367,0.8279,45.189,-12.0849,74.2386,25.7614,1249,大东海A,0.8096,0.8019,43.1821,952.4338,73.4903,26.5097,1128,大东海A,1.0383,1.0309,93.6538,1474.1891,70.4415,29.5585,1311,大东海A,0.8476,0.839,72.8075,69050.1875,71.5082,28.4918,716,大东海A,1.1951,1.1816,55.571,-851.5849,78.9969,21.0031,744,大东海A,1.053,1.0384,36.6258,-35.5844,78.5882,21.4118,199,大东海A,1.5634,1.5378,122.7747,-1047.3804,88.1884,11.8116,215,大东海A,1.9347,1.9073,150.2332,27147.3042,88.9168,11.0832
600522,中天科技,通信设备,江苏,18.95,27.31,30.66,2810993,1920744.75,538065.25,762229.44,2.49,0.146,5.85,1.89,20021024,615655.56,2.01,22.76,0.53,17.01,6.76,145530,994,中天科技,2.7135,2.1088,67.2974,1642.7269,70.5382,29.4618,1142,中天科技,2.4276,1.802,45.2698,2243.0213,67.2078,32.7922,1314,中天科技,2.3146,1.6619,42.1273,3063.2478,66.0258,33.9742,1291,中天科技,2.277,1.7167,69.3174,2278.5743,66.1663,33.8337,1599,中天科技,2.2894,1.7078,49.531,1754.7673,64.4226,35.5774,1763,中天科技,1.8763,1.4163,49.8271,3650.9668,59.3918,40.6082,2000,中天科技,1.7961,1.2996,42.597,2832.2919,58.5834,41.4166,1786,中天科技,1.7359,1.3426,48.1815,3730.4978,59.1273,40.8727,1409,中天科技,2.5464,1.9986,73.1703,2812.8461,69.6259,30.3741,1366,中天科技,2.5874,2.0489,75.9622,2308.4394,67.3028,32.6972,1374,中天科技,2.5374,1.966,71.0099,1635.4559,66.9353,33.0647,1407,中天科技,2.3486,1.8342,80.8803,1233.3263,66.2679,33.7321,1558,中天科技,2.2675,1.7702,66.3481,633.8578,64.4011,35.5989
2648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000,2058,卫星石化,0.8698,0.6473,19.5761,-183.8829,44.3112,55.6888,2142,卫星石化,0.8594,0.6976,26.7929,-17.0114,44.4807,55.5193,2214,卫星石化,0.828,0.6933,26.8127,-30.0866,43.9956,56.0044,2521,卫星石化,0.7015,0.5573,18.2126,-99.7275,44.1183,55.8817,2449,卫星石化,0.7128,0.605,24.5597,108.4494,44.4489,55.5511,2515,卫星石化,0.6497,0.493,15.0167,119.7536,44.1152,55.8848,2652,卫星石化,0.6693,0.5191,13.0118,185.514,43.8224,56.1776,2536,卫星石化,0.7091,0.5917,18.939,291.0677,45.444,54.556,2629,卫星石化,0.8267,0.6451,18.5539,1194.2084,45.5089,54.4911,2521,卫星石化,0.8318,0.7095,18.4577,616.814,45.8079,54.1921,1509,卫星石化,1.5929,1.3978,87.331,590.7527,64.7783,35.2217,1143,卫星石化,1.7804,1.5203,57.9033,854.8076,70.8048,29.1952,1249,卫星石化,1.7091,1.4372,52.6869,545.8511,69.8135,30.1865
300471,厚普股份,专用机械,四川,0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.108,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067,2215,厚普股份,1.3256,0.6583,22.2039,-33518.2581,39.3236,60.6764,1239,厚普股份,2.476,1.7452,116.1788,6046.6676,65.2037,34.7963,1151,厚普股份,2.8167,2.1568,141.5973,-50848.0873,69.3632,30.6368,1495,厚普股份,2.2258,1.8297,123.6921,-12178.5552,62.4237,37.5763,1501,厚普股份,2.3772,1.9341,113.6172,-8538.2338,66.5474,33.4526,1338,厚普股份,2.3126,1.9111,96.0895,-5278.1465,67.6995,32.3005,1294,厚普股份,2.6643,2.2625,77.6987,-5867.399,72.6056,27.3944,1090,厚普股份,2.3829,2.1663,89.8916,-3938.1846,71.0836,28.9164,1186,厚普股份,2.5135,2.2417,80.1512,-6392.3955,74.0812,25.9188,1529,厚普股份,1.8353,1.543,40.9231,-4132.5346,64.6407,35.3593,1705,厚普股份,1.7312,1.4586,34.9383,-2565.9984,61.095,38.905,1745,厚普股份,1.5082,1.2975,45.4434,-1636.2724,60.0785,39.9215,1626,厚普股份,1.5038,1.2532,26.5828,-824.0602,62.8142,37.1858
2053,云南能投,食品,云南,40.74,3.72,5.58,378381.19,121186.13,88027.15,118622.65,2.12,0.067,4.3,2.53,20060627,54855.35,0.98,-1.35,-12.48,50.38,11.59,21390,2621,云南能投,0.3652,0.256,14.7764,140.9157,25.6471,74.3529,2734,云南能投,0.333,0.2309,12.8971,123.6934,25.5186,74.4814,2340,云南能投,0.8257,0.7319,63.2374,197.5719,40.1651,59.8349,2284,云南能投,0.4935,0.3872,27.2606,227.1894,49.0352,50.9648,2293,云南能投,0.6683,0.5556,43.0913,548.7592,48.6724,51.3276,1215,云南能投,2.0419,1.8779,118.1976,775.0474,70.0504,29.9496,1474,云南能投,3.7563,3.4863,224.515,1186.6944,68.9814,31.0186,1021,云南能投,3.6906,3.3503,260.9117,1808.2051,72.1447,27.8553,1331,云南能投,3.2485,2.9589,133.1809,-2365.3297,71.1635,28.8365,1098,云南能投,3.4766,3.0615,111.2549,155469.6122,72.2733,27.7267,1161,云南能投,3.0479,2.7099,84.961,9688.2832,70.7709,29.2291,1375,云南能投,2.0644,1.8429,110.7233,7323.1362,66.7173,33.2827,1414,云南能投,2.0045,1.778,60.5151,3138.9316,66.7362,33.2638
676,智度股份,互联网,河南,17.82,3.16,9.66,734712.06,437033.34,1129.92,350194.59,3.63,0.208,5.38,2.76,19961224,77332.36,0.8,77.22,63.79,15.62,9.52,36319,2634,智度股份,0.7744,0.549,24.6631,-215.6204,24.9793,75.0207,2766,智度股份,0.7114,0.4768,17.7217,-459.378,23.9139,76.0861,2828,智度股份,0.7568,0.5532,20.4138,-373.4065,22.5341,77.4659,2416,智度股份,1.2808,1.0445,63.4948,67.6565,46.5794,53.4206,2487,智度股份,1.2167,0.9783,49.287,-272.0662,43.2997,56.7003,999,智度股份,2.2095,2.2095,146.7704,-12619.7124,74.1507,25.8493,1389,智度股份,1.8385,1.8385,125.141,3974.5397,70.6012,29.3988,1094,智度股份,2.8822,2.8822,46.0801,20719.6839,71.0148,28.9852,1449,智度股份,2.5287,2.5287,15.1368,11613.4223,68.8143,31.1857,1251,智度股份,3.0928,3.0928,169.8234,2884.9881,69.358,30.642,1428,智度股份,2.2567,2.2567,70.903,2924.9283,66.0033,33.9967,1072,智度股份,2.5518,2.5518,50.1836,2580.9972,71.9359,28.0641,1191,智度股份,2.4071,2.4071,33.5824,7455.4995,70.7535,29.2465
600389,江山股份,农药化肥,江苏,19.76,2.97,2.97,291790.78,108921.22,128498.97,11448.82,0.39,0.285,5.56,4.06,20010110,101102.32,3.4,12.14,117.24,18.66,8.38,11415,2102,江山股份,0.5245,0.2476,8.1202,218.2757,43.0127,56.9873,2230,江山股份,0.5099,0.2865,7.2599,216.0423,42.3176,57.6824,2236,江山股份,0.5183,0.233,6.6396,144.7944,43.3727,56.6273,2657,江山股份,0.6101,0.2897,12.4568,126.455,41.4095,58.5905,2885,江山股份,0.7596,0.5768,6.7487,186.0627,31.471,68.529,2600,江山股份,0.621,0.4104,16.7359,125.2203,41.5676,58.4324,2702,江山股份,0.6521,0.4224,12.2127,147.4097,42.1061,57.8939,2669,江山股份,0.7099,0.4979,18.9208,404.7474,42.2362,57.7638,2697,江山股份,0.7339,0.5394,12.2836,662.7227,43.4244,56.5756,2680,江山股份,0.767,0.5979,25.599,433.0284,42.2637,57.7363,2506,江山股份,0.762,0.4794,10.5873,342.7363,45.6606,54.3394,2141,江山股份,0.8761,0.5549,14.8537,596.6935,53.0269,46.9731,1963,江山股份,0.9451,0.5847,16.3803,668.4774,56.5554,43.4446
600261,阳光照明,家用电器,浙江,22.5,14.52,14.52,616547.06,416033.38,117456.52,26291.5,0.18,0.049,2.34,1.88,20000720,136825.23,0.94,24.06,-39.01,21.68,5.01,56088,1170,阳光照明,2.1756,1.7672,101.7673,-1833.9824,66.3412,33.6588,1377,阳光照明,1.9047,1.4571,82.8185,-1649.4887,62.1866,37.8134,1567,阳光照明,1.8638,1.5047,79.9092,-367.2462,59.9138,40.0862,1621,阳光照明,1.9002,1.5523,83.0181,-326.5906,60.277,39.723,1621,阳光照明,2.0701,1.7511,109.1109,-6833.5261,63.8829,36.1171,1678,阳光照明,1.9072,1.6118,96.9081,-652.2135,61.1534,38.8466,1883,阳光照明,1.9222,1.6678,103.7863,-810.9917,60.802,39.198,1817,阳光照明,1.861,1.5902,102.5528,-445.056,58.585,41.415,1839,阳光照明,1.9628,1.6649,103.5586,5044.8986,61.0121,38.9879,1887,阳光照明,1.8039,1.4657,68.2304,1241.9282,58.0609,41.9391,1970,阳光照明,1.927,1.5711,65.4287,826.7558,56.0306,43.9694,2100,阳光照明,1.818,1.3962,79.4072,918.3462,53.719,46.281,1904,阳光照明,1.9893,1.5813,51.2757,305.5826,57.7241,42.2759
