,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,000408,藏格控股,3999.9687,0.2567,0.5659,5.0877,508.7693
1,600291,西水股份,610.388,0.3481,,0.3828,39.3826
2,000567,海德股份,161.2078,0.3432,97.7498,1.0466,104.6637
3,000036,华联控股,16.4748,0.1868,3.7792,0.2893,40.2941
4,000968,蓝焰控股,5.7089,0.1682,,0.1683,28.2443
5,000548,湖南投资,5.4482,0.2087,11.5173,0.6245,62.6436
6,000011,深物业A,4.0565,0.2554,,0.3909,40.5057
7,600052,浙江广厦,2.8022,0.22399999999999998,2.3876,0.3809,38.1425
8,600643,爱建集团,2.5726,0.0476,1.6715,0.1066,18.3385
9,600275,ST昌鱼,2.5180000000000002,0.0429,,0.0844,8.4811
10,600503,华丽家族,2.2435,0.1571,11.6043,0.3993,39.9271
11,000779,三毛派神,1.9368,0.2283,,0.2814,38.8232
12,600187,国中水务,1.7981,0.0607,15.5224,0.1333,20.5111
13,000831,五矿稀土,1.7201,0.0651,,2.1475,233.7557
14,600325,华发股份,1.6275,0.0721,24.8486,0.0897,23.0082
15,600732,ST新梅,1.5197,0.0783,,0.1545,15.4521
16,600665,天地源,1.4105,0.0708,,0.0827,16.8025
17,600641,万业企业,1.3475,0.1679,18.0768,0.3636,37.3984
18,600371,万向德农,1.3142,0.2319,6.2469,0.4886,53.1709
19,600598,北大荒,1.2644,0.2484,3.65,0.7156,72.0537
20,000006,深振业A,1.2622,0.0835,10.3407,0.1262,24.988000000000003
21,600695,绿庭投资,1.2409999999999999,0.0349,,0.0916,23.4424
22,300251,光线传媒,1.2029,0.0995,2.7077,0.5394,62.7658
23,300132,青松股份,1.1759,0.4575,23.4029,4.3167,466.7541
24,600368,五洲交通,1.1078,0.054000000000000006,4.9524,0.0725,15.5983
25,000718,苏宁环球,1.0934,0.0815,11.7728,0.1317,14.7372
26,002039,黔源电力,1.0861,0.0656,6.1451,0.0856,110.7989
27,000505,京粮控股,1.0826,0.0901,,0.0781,8.7183
28,000662,天夏智慧,1.0682,0.0716,8.6039,0.8327,84.9731
29,300175,朗源股份,1.0678,0.2497,13.8761,0.9828,104.3268
30,000923,河北宣工,1.0626,0.1027,,0.1462,14.9241
31,600234,ST山水,1.0475,0.0157,3.7992,0.0183,2.8094
32,000004,国农科技,1.0284,0.2265,35.1072,0.3531,39.3848
33,000975,银泰资源,1.002,0.068,2.7103,1.0869,109.85799999999999
34,002016,世荣兆业,0.998,0.1577,7.7652,0.2194,29.3153
35,600149,ST坊展,0.9484,0.0423,,0.0891,60.9319
36,000828,东莞控股,0.9217,0.0629,1.3244,0.1396,19.5294
37,000897,津滨发展,0.9112,0.0576,18.1282,0.0764,10.0253
38,600262,北方股份,0.9052,0.1008,,0.1551,17.3176
39,600790,轻纺城,0.8948,0.0452,1.6961,0.0994,10.7416
40,600106,重庆路桥,0.8943,0.0209,0.8476,0.0404,81.2525
41,600962,国投中鲁,0.8857,0.3174,40.2552,1.1153,115.4913
42,600252,中恒集团,0.8855,0.109,2.2948,0.8868,147.5191
43,300692,中环环保,0.8653,,4.2795,,
44,000517,荣安地产,0.8621,0.0568,26.7084,0.0977,14.3864
45,000415,渤海金控,0.8574,0.0554,9.4461,0.0679,26.2962
46,600736,苏州高新,0.8556,0.1528,9.3526,0.2234,37.9589
47,000797,中国武夷,0.8153,0.0627,18.0631,0.078,11.719000000000001
48,000631,顺发恒业,0.8131,0.1174,7.4249,0.1852,23.3797
49,600622,光大嘉宝,0.8107,0.0836,7.294,0.1547,18.7194
50,000014,沙河股份,0.8076,0.0462,,0.0713,9.8603
51,300293,蓝英装备,0.8029,0.0808,18.3761,0.2405,25.820999999999998
52,002244,滨江集团,0.7997,0.1397,7.8151,0.2,24.9891
53,002633,申科股份,0.7985,0.0682,,0.2654,30.0264
54,002425,凯撒文化,0.7953,0.042,4.605,0.2668,26.8674
55,002428,云南锗业,0.7884,0.0838,,0.3771,40.574
56,000603,盛达矿业,0.7823,0.1046,1.585,0.3442,34.5155
57,603817,海峡环保,0.759,0.0687,2.8132,0.1344,19.74
58,002501,利源精制,0.7585,0.0802,3.2223,0.1308,17.4065
59,601872,招商轮船,0.7541,0.0689,1.1361,0.1629,67.023
60,603797,联泰环保,0.7497,,2.7411,,
61,600519,贵州茅台,0.7486,0.1424,1.4507,0.4825,48.2791
62,600506,香梨股份,0.7435,0.0515,,0.9338,295.9787
63,600025,华能水电,0.7411,0.0254,10.3061,0.0321,10.1174
64,001965,招商公路,0.7334,0.0224,0.6864,0.0526,9.4225
65,600532,宏达矿业,0.7193,0.038,,0.139,16.7024
66,600377,宁沪高速,0.7171,0.0805,1.815,0.188,30.5841
67,600020,中原高速,0.7146,0.0262,3.3945,0.0346,9.6454
68,000429,粤高速A,0.6996,0.0615,1.5441,0.1345,40.4228
69,601016,节能风电,0.6974,0.0317,2.7665,0.0536,26.9417
70,600012,皖通高速,0.6948,0.0676,1.8314,0.2227,77.1235
71,600900,长江电力,0.6940000000000001,0.0457,1.8135,0.0732,16.6536
