,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,year,quanter
0,000627,天茂集团,41.2713,0.0891,9.1866,0.1052,359.0775,2017,2
1,000611,天首发展,13.2789,0.5696,,2.3973,239.7255,2017,2
2,600555,海航创新,4.2837,0.0265,,0.0467,10.6882,2017,2
3,600275,ST昌鱼,4.2698,0.0382,,0.0645,6.4761,2017,2
4,000638,万方发展,2.775,0.1425,19.9796,0.1678,18.1001,2017,2
5,000010,美丽生态,2.1928,0.1537,,0.3518,35.5448,2017,2
6,000534,万泽股份,2.1769,0.1444,107.0623,0.3041,32.5263,2017,2
7,002670,国盛金控,2.0171,0.0514,8.4618,0.09699999999999999,13.9794,2017,2
8,002417,深南股份,1.8733,0.3446,10.5105,1.3176,131.7563,2017,2
9,600215,长春经开,1.7586,0.0571,11.7967,0.3035,30.7056,2017,2
10,600791,京能置业,1.7418,0.0593,289.7128,0.0963,21.8679,2017,2
11,000918,嘉凯城,1.7083,0.0224,,0.0244,2.9974,2017,2
12,000585,*ST东电,1.5739,0.0792,,0.1702,31.3483,2017,2
13,300023,宝德股份,1.4809999999999999,0.0658,9.1207,0.0794,9.2701,2017,2
14,601188,龙江交通,1.4791,0.0615,1.9497,0.1923,19.2596,2017,2
15,300191,潜能恒信,1.4424,0.0271,,0.4139,42.7843,2017,2
16,600615,丰华股份,1.4244,0.1037,0.6779999999999999,0.8891,113.632,2017,2
17,002289,宇顺电子,1.3995,0.2747,,0.5551,65.1807,2017,2
18,002305,南国置业,1.3298,0.0444,2780.3428,0.0567,11.0544,2017,2
19,600736,苏州高新,1.2006,0.0765,5.1845,0.1089,15.1306,2017,2
20,600598,北大荒,1.0398,0.1792,3.035,0.5172,52.74100000000001,2017,2
21,000537,广宇发展,1.0301,0.0712,32.1678,0.0847,12.0005,2017,2
22,600106,重庆路桥,1.0202,0.0183,0.6924,0.0385,65.2827,2017,2
23,000014,沙河股份,1.0158,0.1964,71.9317,0.3989,52.4601,2017,2
24,002447,晨鑫科技,0.9694,0.0444,2.6385,0.3443,67.5024,2017,2
25,600962,国投中鲁,0.9611,0.3077,68.1407,1.186,123.8584,2017,2
26,600854,春兰股份,0.9497,0.0767,2.9758,0.2822,30.6198,2017,2
27,600173,卧龙地产,0.858,0.1399,7.152,0.2249,28.726999999999997,2017,2
28,000514,渝开发,0.8523,0.0732,12.1729,0.1511,29.1501,2017,2
29,600208,新湖中宝,0.8448,0.0277,7.085,0.0365,8.0492,2017,2
30,601518,吉林高速,0.8419,0.0523,2.6693,0.1028,74.9522,2017,2
31,600696,ST匹凸,0.8087,0.1691,11.1564,0.1963,69.8948,2017,2
32,600652,游久游戏,0.8078,0.0329,1.9345,0.27699999999999997,28.3749,2017,2
33,002244,滨江集团,0.8024,0.0765,3.2995,0.1102,13.7938,2017,2
34,600368,五洲交通,0.7939,0.0574,2.7116,0.0814,48.3409,2017,2
35,000671,阳光城,0.7856,0.0328,17.2108,0.0378,6.5654,2017,2
36,600674,川投能源,0.7717,0.0094,0.218,0.0334,5.1758,2017,2
37,002718,友邦吊顶,0.768,0.1607,3.4517,0.6975,70.0217,2017,2
38,002818,富森美,0.7222,0.0928,1.357,0.4548,46.7548,2017,2
39,600724,宁波富达,0.7217,0.0716,9.7669,0.0929,13.6146,2017,2
40,600900,长江电力,0.7113,0.0455,1.6928,0.0761,15.8832,2017,2
41,000429,粤高速A,0.7099,0.0636,1.0322,0.1457,66.8637,2017,2
42,000820,神雾节能,0.7027,0.1751,1.6368,0.3392,45.2135,2017,2
43,000886,海南高速,0.7006,0.0815,2.8372,0.5248,58.2591,2017,2
44,600371,万向德农,0.6939,0.1038,3.1288,0.2756,30.3508,2017,2
45,600773,西藏城投,0.6858,0.0411,12.1907,0.0575,12.48,2017,2
46,600202,*ST哈空,0.6856,0.0446,,0.0728,7.4131,2017,2
47,600634,*ST富控,0.6791,0.0425,1.7991,0.115,16.4155,2017,2
48,600506,香梨股份,0.6658,0.0788,,1.1523,257.8602,2017,2
49,600012,皖通高速,0.665,0.0683,1.8019999999999998,0.2246,74.3901,2017,2
50,002464,众应互联,0.6622,0.05,1.2915,0.12300000000000001,12.2974,2017,2
51,601872,招商轮船,0.6513,0.0502,2.6756,0.10099999999999999,34.3231,2017,2
52,000691,亚太实业,0.6506,0.0328,,0.0484,8.0818,2017,2
53,600236,桂冠电力,0.6463,0.0565,2.6355,0.0886,33.5911,2017,2
54,002558,巨人网络,0.6456,0.0982,1.2346,0.7307,88.0313,2017,2
55,600657,信达地产,0.6438,0.0581,14.9099,0.0676,15.8149,2017,2
56,600269,赣粤高速,0.6342,0.0429,2.4292,0.0832,32.4882,2017,2
57,002359,北讯集团,0.6302,0.0441,17.0133,0.1098,17.0245,2017,2
58,000043,中航善达,0.6202,0.0775,,0.1016,20.3187,2017,2
59,000835,长城动漫,0.62,0.0466,2.2091,0.0644,9.0321,2017,2
60,600033,福建高速,0.6151,0.0418,1.4002,0.0979,43.2574,2017,2
61,002287,奇正藏药,0.6121,0.1244,1.6562,0.5688,64.7035,2017,2
62,002039,黔源电力,0.6085,0.0281,6.6593,0.0366,37.7017,2017,2
63,600466,蓝光发展,0.6072,0.0436,13.467,0.0535,8.4757,2017,2
64,000426,兴业矿业,0.6067,0.0546,2.3656,0.1256,27.5777,2017,2
65,000544,中原环保,0.6047,0.045,1.5935,0.3336,99.9872,2017,2
66,600892,大晟文化,0.6035,0.0247,1.7587,0.085,8.5439,2017,2
67,300215,电科院,0.5977,0.0453,3.4585,0.0891,11.2111,2017,2
68,000421,南京公用,0.5948,0.1309,9.2064,0.2289,26.468000000000004,2017,2
69,601985,中国核电,0.5905,0.0328,2.1357,0.0435,22.7217,2017,2
70,600225,天津松江,0.5894,0.0239,0.7935,0.0279,4.9042,2017,2
71,002320,海峡股份,0.5757,0.0834,1.8046,1.1828,184.514,2017,2
72,300696,爱乐达,0.5739,0.0979,1.0173,0.5549,126.0265,2017,2
73,300741,华宝股份,0.5696,0.0955,1.1477,0.8440000000000001,85.3324,2017,2
74,600643,爱建集团,0.565,0.0091,0.4068,0.0156,2.8883,2017,2
75,300450,先导智能,0.5643,0.1004,1.963,0.1446,14.6698,2017,2
76,002930,宏川智慧,0.5594,0.0531,2.227,0.141,90.7108,2017,2
77,000557,西部创业,0.5581,0.03,6.0648,0.1421,17.0719,2017,2
78,600025,华能水电,0.5533,0.0217,2.1421,0.027999999999999997,8.7271,2017,2
