,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,year,quanter
0,603458,勘设股份,--,--,--,555.3925,--,--,2016,2
1,603505,金石资源,--,--,--,758.6761,--,--,2016,2
2,300514,友讯达,--,--,--,642.5077,--,--,2016,2
3,603517,绝味食品,--,--,--,-35597.7247,--,--,2016,2
4,603536,惠发股份,--,--,--,-275.2598,--,--,2016,2
5,603557,起步股份,--,--,--,2488.3497,--,--,2016,2
6,603586,金麒麟,--,--,--,1577.9035,--,--,2016,2
7,603660,苏州科达,--,--,--,152.9706,--,--,2016,2
8,603730,岱美股份,--,--,--,-6026.5104,--,--,2016,2
9,601619,嘉泽新能,--,--,--,146.3604,--,--,2016,2
10,603758,秦安股份,--,--,--,2440.7398,--,--,2016,2
11,603797,联泰环保,--,--,--,299.8192,--,--,2016,2
12,603801,志邦股份,--,--,--,-773.1,--,--,2016,2
13,300633,开立医疗,--,--,--,-3930.8043,--,--,2016,2
14,002836,新宏泽,--,--,--,-60021.6432,--,--,2016,2
15,300637,扬帆新材,--,--,--,-33611.2719,--,--,2016,2
16,300641,正丹股份,--,--,--,4567.0783,--,--,2016,2
17,603826,坤彩科技,--,--,--,7960.3888,--,--,2016,2
18,300647,超频三,--,--,--,67113.5441,--,--,2016,2
19,300651,金陵体育,--,--,--,5379.6564,--,--,2016,2
20,300655,晶瑞股份,--,--,--,1274.415,--,--,2016,2
21,300659,中孚信息,--,--,--,-3989.5448,--,--,2016,2
22,603878,武进不锈,--,--,--,945.4311,--,--,2016,2
23,300663,科蓝软件,--,--,--,-475.249,--,--,2016,2
24,002866,传艺科技,--,--,--,-1176.8319999999999,--,--,2016,2
25,300668,杰恩设计,--,--,--,-62597.0111,--,--,2016,2
26,601952,苏垦农发,--,--,--,3607.6493,--,--,2016,2
27,002870,香山股份,--,--,--,-1874.3852,--,--,2016,2
28,300672,国科微,--,--,--,3315.4811,--,--,2016,2
29,300677,英科医疗,--,--,--,2971.6433,--,--,2016,2
30,002879,长缆科技,--,--,--,-6359.4876,--,--,2016,2
31,300681,英搏尔,--,--,--,-92805.33099999999,--,--,2016,2
32,002883,中设股份,--,--,--,3559.4601,--,--,2016,2
33,300686,智动力,--,--,--,920.4859,--,--,2016,2
34,002887,绿茵生态,--,--,--,18588.0204,--,--,2016,2
35,603933,睿能科技,--,--,--,1177.9497,--,--,2016,2
36,300690,双一科技,--,--,--,-4739.7896,--,--,2016,2
37,002891,中宠股份,--,--,--,143057.3797,--,--,2016,2
38,300696,爱乐达,--,--,--,-5382.6398,--,--,2016,2
39,603976,正川股份,--,--,--,-28716.69,--,--,2016,2
40,603980,吉华集团,--,--,--,-3587.5933,--,--,2016,2
41,603033,三维股份,--,--,--,6168.3872,--,--,2016,2
42,603042,华脉科技,--,--,--,1461.8758,--,--,2016,2
43,603229,奥翔药业,--,--,--,5991.915,--,--,2016,2
44,603286,日盈电子,--,--,--,1365.0891,--,--,2016,2
45,603320,迪贝电气,--,--,--,2361.0891,--,--,2016,2
46,603335,迪生力,--,--,--,-25034.2829,--,--,2016,2
47,603383,顶点软件,--,--,--,-738.1755,--,--,2016,2
48,603389,亚振家居,--,--,--,5049.5532,--,--,2016,2
49,603501,韦尔股份,--,--,--,518.383,--,--,2016,2
50,603535,嘉诚国际,--,--,--,21568.4063,--,--,2016,2
51,603585,苏利股份,--,--,--,-3673.0311,--,--,2016,2
52,603595,东尼电子,--,--,--,1398.7169,--,--,2016,2
53,603617,君禾股份,--,--,--,2252.5052,--,--,2016,2
54,603628,清源股份,--,--,--,133774.3917,--,--,2016,2
55,601326,秦港股份,--,--,--,258.2189,--,--,2016,2
56,603757,大元泵业,--,--,--,8960.3336,--,--,2016,2
57,300623,捷捷微电,--,--,--,-1957.2054,--,--,2016,2
58,300640,德艺文创,--,--,--,-3060.8015,--,--,2016,2
59,603825,华扬联众,--,--,--,131.4556,--,--,2016,2
60,300645,正元智慧,--,--,--,-1130.2365,--,--,2016,2
61,300650,太龙照明,--,--,--,2103.01,--,--,2016,2
