,code,name,mbrg,nprg,nav,targ,epsg,seg,year,quanter
0,000937,冀中能源,71.8109,1170907.3246,4.0866,6.9191,935.2174,4.4787,2017,3
1,002468,申通快递,687.8760000000001,47953.3297,745.9526,411.1082,4613.3758,779.452,2017,3
2,603799,华友钴业,76.1888,41327.9603,117.5545,45.5564,9150.0,116.4112,2017,3
3,600291,西水股份,6441.7184,35366.7509,10.0238,-19.3668,6065.3117,13.6725,2017,3
4,002352,顺丰控股,11032.4437,24358.5439,4352.1959,6074.2665,1333.3333,4346.4399,2017,3
5,600693,东百集团,119.4427,12455.4024,19.922,7.3925,1610.0,12.6973,2017,3
6,000791,甘肃电投,12.8833,7798.8746,7.6726,-1.5125,3195.9459,7.9363,2017,3
7,000553,沙隆达A,1179.4568,7702.4082,731.2245,1112.5798,1879.7101,731.2245,2017,3
8,600231,凌钢股份,32.2806,7120.6885,21.0901,-0.061,3900.0,21.0901,2017,3
9,603318,派思股份,60.0248,6042.2449,17.3936,25.3529,1900.0,17.3548,2017,3
10,000528,柳工,61.4938,5184.8051,2.6510000000000002,2.6507,4337.5,2.6402,2017,3
11,600596,新安股份,9.6753,4262.5612,9.3025,8.667,-1910.7527,10.0053,2017,3
12,000725,京东方A,51.4081,4196.7764,27.7756,36.4095,4525.0,8.5322,2017,3
13,000407,胜利股份,41.9924,4170.3348,-2.0645,20.3407,295.6522,-9.6272,2017,3
14,300122,智飞生物,181.4643,4118.6621,11.821,33.2731,4145.2381,11.821,2017,3
15,600348,阳泉煤业,81.3054,3524.3779,13.0199,4.7446,860.0,12.154000000000002,2017,3
16,600516,方大炭素,206.0356,3514.9770000000003,42.2918,39.3874,2441.4847,40.9779,2017,3
17,000567,海德股份,531.1683,3373.6155,23.0817,756.8133,3357.9439,23.0817,2017,3
18,000564,供销大集,81.4568,3266.2054,9.8433,21.7587,1729.7872,8.3573,2017,3
19,300308,中际旭创,1278.8451,2943.6925,668.8113,1098.5933,2250.0,668.8113,2017,3
20,000885,同力水泥,71.4116,2917.3132,-29.7276,30.1517,26671.1111,-14.8933,2017,3
21,603299,井神股份,31.6494,2809.0117,6.434,0.2411,2317.4353,6.5281,2017,3
