,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,600605,汇通能源,2.7835,64.6668,32737.4631,0.0055,1.4905,120.7648
1,002649,博彦科技,1.9955,90.20299999999999,28708.8737,0.0063,0.748,240.6417
2,300467,迅游科技,26.8164,6.7123,8737.5787,0.0206,0.3196,563.2040000000001
3,002039,黔源电力,4.6071,39.0701,6948.2543,0.0259,1.0672,168.6657
4,002707,众信旅游,9.4562,19.0351,5941.116,0.0303,2.0496,87.822
5,002357,富临运业,48.0732,3.7443,2749.4707,0.0655,0.5968,301.6086
6,603569,长久物流,2.0636,87.2262,2500.7933,0.07200000000000001,1.0935,164.6091
7,600897,厦门空港,3.3937,53.0395,2456.3454,0.0733,0.988,182.1862
8,300071,华谊嘉信,1.2007,149.9126,2357.5155,0.0764,0.9709,185.395
9,002400,省广集团,2.28,78.9474,1267.313,0.142,0.9496,189.5535
10,603357,设计总院,0.4965,362.5378,1240.9543,0.145,0.3525,510.6383
11,000415,渤海金控,5.4141,33.2465,883.2659,0.2038,0.3045,591.133
12,300347,泰格医药,1.3149,136.8925,792.4701,0.2271,0.6466,278.3792
13,600652,游久游戏,4.0327,44.6351,650.9217,0.2765,0.9985,180.2704
14,600270,外运发展,2.4738,72.7626,519.0233,0.3468,0.5759,312.5543
15,601519,大智慧,2.7974,64.3455,389.7884,0.4618,0.1506,1195.2191
16,600131,岷江水电,21.9018,8.2185,358.4498,0.5022,3.0217,59.5691
17,300191,潜能恒信,0.1975,911.3924,299.9273,0.6001,0.0258,6976.7442
18,000712,锦龙股份,,,284.5449,0.6326,0.0008,225000.0
19,600452,涪陵电力,167.5738,1.0742,265.0583,0.6791,2.0497,87.8177
20,300170,汉得信息,1.0342,174.0476,258.493,0.6963,0.4023,447.4273
21,600865,百大集团,65.8342,2.7341,232.8156,0.7731,0.4609,390.5402
22,000089,深圳机场,3.0647,58.7333,222.7973,0.8079,0.5913,304.414
23,600221,海航控股,23.0247,7.8177,186.3645,0.9658,0.6013,299.3514
24,300058,蓝色光标,1.4593,123.3468,184.0096,0.9782,0.6629,271.5342
25,300383,光环新网,3.6716,49.0249,177.7018,1.0129,0.8583,209.7169
26,300288,朗玛信息,2.3493,76.6186,176.4251,1.0203,0.3581,502.6529
27,000061,农产品,11.5815,15.542,174.4046,1.0321,0.3557,506.0444
28,600012,皖通高速,,,162.756,1.1059999999999999,1.3449,133.8389
29,000791,甘肃电投,3.8393,46.8835,152.799,1.178,0.9648,186.5672
30,601518,吉林高速,,,146.5673,1.2281,0.7767,231.7497
31,600995,文山电力,30.7245,5.8585,130.4526,1.3798,2.6052,69.0926
32,300012,华测检测,2.4399,73.7735,126.9353,1.4180000000000001,0.7899,227.8769
33,600168,武汉控股,1.3619999999999999,132.1586,123.566,1.4567,0.4259,422.6344
34,600035,楚天高速,13.5259,13.3078,113.6218,1.5842,0.9249,194.6156
35,002210,飞马国际,14.0747,12.7889,111.8767,1.6089,1.0609,169.6673
36,600291,西水股份,5.0334,35.7611,106.7541,1.6861,0.0023,78260.8696
37,002279,久其软件,1.6836,106.9138,93.2338,1.9306,0.3572,503.9194
38,603000,人民网,1.4748,122.0504,90.4272,1.9906,0.2982,603.6217
39,603909,合诚股份,0.7219,249.342,89.46799999999999,2.0119,0.5532,325.3796
40,600009,上海机场,2.9977,60.04600000000001,86.9576,2.07,0.2933,613.7061
41,300348,长亮科技,1.0681,168.5235,85.0362,2.1167,0.3761,478.5961
42,603885,吉祥航空,24.1653,7.4487,75.2374,2.3924,1.5424,116.7012
43,300215,电科院,15.8531,11.3542,74.9239,2.4024,0.3083,583.8469
44,000503,海虹控股,25.2667,7.124,70.7215,2.5452,0.0779,2310.6547
45,603813,原尚股份,2.1086,85.3647,69.2099,2.6008,1.181,152.4132
46,601021,春秋航空,49.833,3.6121,66.2648,2.7164,1.2378,145.4193
47,300144,宋城演艺,101.1736,1.7791,64.7049,2.7819,0.5198,346.287
48,603223,恒通股份,12.720999999999998,14.1498,63.1686,2.8495,2.8908,62.2665
49,600033,福建高速,2.2037,81.6808,58.4727,3.0784,1.0077,178.6246
50,002739,万达电影,48.0847,3.7434,55.7292,3.2299,1.3564,132.7042
51,603648,畅联股份,3.1089,57.8983,54.8318,3.2828,0.9034,199.2473
52,300240,飞力达,2.944,61.1413,52.3944,3.4355,1.0857,165.7917
53,600025,华能水电,3.8680000000000003,46.5357,52.1321,3.4528,1.8585,96.8523
54,002081,金螳螂,0.5762,312.3915,51.4321,3.4998,0.451,399.1131
55,603117,万林股份,3.6151,49.7912,50.2595,3.5814,0.0744,2419.3548
56,000504,南华生物,0.7198,250.0695,47.2884,3.8064,0.1987,905.8883
57,600617,国新能源,7.4692,24.099,46.0518,3.9086,1.2123,148.4781
58,002315,焦点科技,20.6294,8.7254,43.7144,4.1176,0.1251,1438.8489
59,002492,恒基达鑫,1.4228,126.5111,42.6286,4.2225,0.1923,936.0374
60,002238,天威视讯,15.1684,11.8668,42.2478,4.2606,0.4848,371.2871
61,000516,国际医学,48.4267,3.717,40.5575,4.4381,1.0264,175.3702
62,600874,创业环保,0.5239,343.577,38.5732,4.6665,0.27899999999999997,645.1613
63,002267,陕天然气,8.9738,20.0584,38.5346,4.6711,1.9547,92.0857
64,601008,连云港,4.6319,38.8609,38.1749,4.7151,0.9584,187.813
65,600515,海航基础,9.9281,18.1304,37.6783,4.7773,0.5670000000000001,317.4603
66,002195,二三四五,6.6374,27.1191,36.3809,4.9477,0.3885,463.3205
67,600593,大连圣亚,71.8833,2.5041,35.5956,5.0568,0.8353,215.4914
68,600705,中航资本,13.5618,13.2726,33.6273,5.3528,0.0212,8490.565999999999
