,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,year,quanter
0,002649,博彦科技,4.4641,80.6434,61423.472,0.0059,1.4228,253.0222,2015,4
1,300467,迅游科技,50.9443,7.0665,20578.2375,0.0175,0.7274,494.9134,2015,4
2,002707,众信旅游,27.1804,13.2448,18932.6456,0.019,5.355,67.2269,2015,4
3,603888,新华网,3.8101,94.4857,11238.5077,0.032,0.8071,446.0414,2015,4
4,002400,省广集团,4.9944,72.0807,7382.9796,0.0488,2.1396,168.2557,2015,4
5,603569,长久物流,3.8243,94.1349,5230.6522,0.0688,2.1606,166.6204,2015,4
6,000712,锦龙股份,,,3980.4243,0.0904,0.002,180000.0,2015,4
7,600897,厦门空港,7.636,47.1451,3886.6848,0.0926,1.6264,221.3478,2015,4
8,603357,设计总院,1.189,302.7754,3269.2996,0.1101,0.8809,408.6729,2015,4
9,600605,汇通能源,6.02,59.8007,2526.2612,0.1425,4.1361,87.0385,2015,4
10,000415,渤海金控,10.7619,33.4513,2522.7885,0.1427,0.3506,1026.8112,2015,4
11,603056,德邦股份,30.9033,11.6492,2199.3329,0.1637,7.0896,50.7786,2015,4
12,300518,盛讯达,4.1964,85.7878,1894.5353,0.19,0.59,610.1695,2015,4
13,002039,黔源电力,24.3842,14.7637,1809.2577,0.19899999999999998,2.344,153.5836,2015,4
14,300347,泰格医药,2.8022,128.4705,1459.6386,0.2466,1.2971,277.5422,2015,4
15,000429,粤高速A,43.0685,8.3588,1083.6296,0.3322,1.8083,199.082,2015,4
16,603506,南都物业,8.9476,40.2343,1056.6261,0.3407,1.5811,227.6896,2015,4
17,600270,外运发展,5.4135,66.5004,987.2331,0.3647,1.1752,306.3308,2015,4
18,600452,涪陵电力,350.3896,1.0274,982.0484,0.3666,3.4575,104.1215,2015,4
19,601519,大智慧,6.6859,53.8447,889.1558,0.4049,0.3249,1108.0332,2015,4
20,600131,岷江水电,89.60600000000001,4.0176,771.6893,0.4665,6.409,56.17100000000001,2015,4
