,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603045,福达合金,0.74,18.36,,11.41,0.73,5475.8,18.35,,05-16
1,600175,美都能源,0.02,-67.27,,0.54,,5788.91,-61.18,,05-03
2,600680,*ST上普,-0.92,-25.83,,-64.82,,-35012.77,-25.84,,05-03
3,002046,轴研科技,0.04,-11.5,,0.77,,1637.4,30.18,10派0.1,04-28
4,600818,中路股份,0.1,-64.29,,4.96,,3127.48,-65.39,,04-28
5,600515,海航基础,0.51,-16.38,,5.87,,199325.57,107.68,,04-28
6,002447,晨鑫科技,0.19,-38.71,,9.53,,27137.35,-8.22,,04-28
7,600193,*ST创兴,-0.18,-40.0,,-35.6,,-7822.08,-38.85,,04-28
8,002190,成飞集成,-0.31,-178.45,,-6.21,,-10832.44,-178.66,,04-28
9,000876,新希望,0.54,-8.47,,10.81,,228000.05,-7.66,10派1.5,04-28
10,000917,电广传媒,-0.33,-237.5,,-4.43,,-46428.88,-239.37,,04-28
11,601616,广电电气,0.02,-119.72,,0.86,,2213.84,-119.7,10派0.2,04-28
12,002640,跨境通,0.52,79.31,,16.62,,75099.37,90.72,10派0.53,04-28
13,600747,ST大控,0.02,-130.0,,1.59,,3119.59,-131.68,,04-28
14,000597,东北制药,0.25,400.0,,5.01,,11899.53,400.23,,04-28
15,600432,*ST吉恩,-1.47,8.09,,,,-236336.05,8.11,,04-28
16,000636,风华高科,0.28,75.0,,5.51,,24684.88,77.71,10派0.7,04-28
17,600806,*ST昆机,-0.66,69.23,,,,-34969.32,67.08,,04-28
18,002711,欧浦智网,0.2,-41.18,,13.17,,21007.86,-5.44,,04-28
19,600145,*ST新亿,0.01,-445.0,,1.65,,1023.51,-421.66,,04-28
20,600559,老白干酒,0.37,48.0,,9.84,,16352.33,47.53,10派2转4,04-28
21,600936,广西广电,0.12,-40.0,,5.68,,20174.17,-32.99,,04-28
22,600594,益佰制药,0.49,0.62,,9.48,,38752.98,0.69,10派0.5,04-28
23,600612,老凤祥,2.17,7.44,,21.13,,113619.6,7.44,10派10.5,04-28
24,600255,梦舟股份,0.09,-18.18,,4.43,,15043.04,-21.56,10派0.02,04-28
25,000408,藏格控股,0.61,22.0,,18.49,,121437.71,33.18,,04-28
26,600291,西水股份,2.19,6344.71,,22.01,,239508.76,6553.82,10派0.3,04-28
27,002581,未名医药,0.59,-7.01,,14.27,,38841.16,-7.01,,04-28
28,600686,金龙汽车,0.75,-163.56,,13.74,,47886.52,-166.64,10派1,04-28
29,002650,加加食品,0.14,7.69,,7.96,,15928.36,6.12,,04-28
30,300090,盛运环保,-1.0,-1207.32,,-29.45,,-131840.11,-1207.14,,04-28
31,600811,东方集团,0.21,-35.87,,3.9,,76903.03,0.89,10派0.21,04-28
32,002072,凯瑞德,-0.2,-342.68,,-44.84,,-3510.96,-344.56,,04-28
33,000692,惠天热电,-0.13,-226.65,,-0.85,,-6659.71,-226.6,,04-28
34,600546,山煤国际,0.19,18.75,,8.5,,38126.86,23.92,,04-28
35,002785,万里石,-0.03,-125.0,,-0.98,,-644.05,-127.9,,04-28
36,600617,国新能源,0.02,-95.53,,0.45,,1658.73,-95.54,,04-28
37,600654,ST中安,-0.57,-371.43,,-28.94,,-73503.08,-368.16,,04-28
38,000909,数源科技,0.1,34.25,,2.92,,3052.48,42.35,10派0.35,04-28
39,002618,丹邦科技,0.05,-28.57,,1.51,,2537.36,3.19,10派0.05,04-28
40,000995,*ST皇台,-1.06,49.3,,,,-18763.03,48.12,,04-28
41,600000,浦发银行,1.84,-23.46,13.47,14.45,-4.79,5425800.0,2.18,10派1,04-28
42,002366,台海核电,1.17,30.0,,44.64,,101397.97,158.45,10派1.17,04-28
43,000679,大连友谊,0.04,-90.25,,0.95,,1305.62,-90.24,,04-28
44,600834,申通地铁,0.11,-0.52,,3.56,,5167.02,-0.52,10派0.35,04-28
45,603861,白云电器,0.38,-6.93,,7.92,,15495.31,-4.06,10派0.88,04-28
46,600496,精工钢构,0.04,-43.31,,1.6,,6202.21,-43.4,,04-28
47,000701,厦门信达,-0.08,-190.65,,-1.08,,6946.97,-50.3,10派0.31,04-28
48,600854,春兰股份,0.03,45.92,,0.91,,1763.68,45.89,10派0.2,04-28
49,002446,盛路通信,0.13,-63.89,,4.06,,10077.74,-37.55,10派0.15,04-28
50,600157,永泰能源,0.05,-13.7,,2.51,,60234.59,-9.97,,04-28
51,600967,内蒙一机,0.31,-3.13,,6.99,,52502.16,5.74,10派0.32,04-28
52,600587,新华医疗,0.16,77.78,,2.0,,6552.87,89.19,10派0.5,04-28
53,601006,大秦铁路,0.9,87.5,,13.5,,1334951.61,86.23,10派4.7,04-28
54,600622,光大嘉宝,0.61,38.01,,10.34,,54535.79,84.4,10派2.1转3,04-28
55,600247,*ST成城,-0.21,-66.93,,-180.98,,-7093.38,-66.93,,04-28
56,600642,申能股份,0.38,-29.39,,6.82,,173763.9,-29.39,10派2,04-28
57,600661,新南洋,0.45,-36.06,,9.74,,12311.58,-32.67,,04-28
58,000933,神火股份,0.19,7.61,,6.36,,36809.02,7.58,10派0.25,04-28
59,603519,立霸股份,0.52,15.23,,11.9,,8348.43,15.08,,04-28
60,002618,丹邦科技,0.05,-28.57,,1.51,,2537.36,3.19,10派0.05,04-28
61,000995,*ST皇台,-1.06,49.3,,,,-18763.03,48.12,,04-28
62,002650,加加食品,0.14,7.69,,7.96,,15928.36,6.12,,04-28
63,300090,盛运环保,-1.0,-1207.32,,-29.45,,-131840.11,-1207.14,,04-28
64,600811,东方集团,0.21,-35.87,,3.9,,76903.03,0.89,10派0.21,04-28
65,002072,凯瑞德,-0.2,-342.68,,-44.84,,-3510.96,-344.56,,04-28
66,603861,白云电器,0.38,-6.93,,7.92,,15495.31,-4.06,10派0.88,04-28
67,600496,精工钢构,0.04,-43.31,,1.6,,6202.21,-43.4,,04-28
68,000701,厦门信达,-0.08,-190.65,,-1.08,,6946.97,-50.3,10派0.31,04-28
69,600854,春兰股份,0.03,45.92,,0.91,,1763.68,45.89,10派0.2,04-28
70,002446,盛路通信,0.13,-63.89,,4.06,,10077.74,-37.55,10派0.15,04-28
71,600157,永泰能源,0.05,-13.7,,2.51,,60234.59,-9.97,,04-28
72,600967,内蒙一机,0.31,-3.13,,6.99,,52502.16,5.74,10派0.32,04-28
73,600587,新华医疗,0.16,77.78,,2.0,,6552.87,89.19,10派0.5,04-28
74,601006,大秦铁路,0.9,87.5,,13.5,,1334951.61,86.23,10派4.7,04-28
75,600622,光大嘉宝,0.61,38.01,,10.34,,54535.79,84.4,10派2.1转3,04-28
76,600247,*ST成城,-0.21,-66.93,,-180.98,,-7093.38,-66.93,,04-28
77,600642,申能股份,0.38,-29.39,,6.82,,173763.9,-29.39,10派2,04-28
78,600661,新南洋,0.45,-36.06,,9.74,,12311.58,-32.67,,04-28
79,000933,神火股份,0.19,7.61,,6.36,,36809.02,7.58,10派0.25,04-28
80,603519,立霸股份,0.52,15.23,,11.9,,8348.43,15.08,,04-28
81,002591,恒大高新,0.05,-4.24,,1.43,,1474.52,4.42,10派3,04-28
82,000979,中弘股份,-0.3,-1100.0,,-29.27,,-251122.8,-1699.01,,04-28
83,603603,博天环境,0.51,27.5,,17.09,,20208.41,40.59,,04-28
84,600339,中油工程,0.12,-56.39,,3.0,,67000.59,-47.96,10派0.37,04-28
85,603633,徕木股份,0.41,-22.64,,7.21,,4936.05,-0.37,,04-28
86,002639,雪人股份,-0.09,-280.0,,-2.63,,-5889.33,-278.17,,04-28
