code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0.0,-48.51,-68.09,13.4,1.07,51756.0
600328,兰太实业,化工原料,内蒙,15.87,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.17300000000000001,5.2,2.11,20001222,70801.74,1.62,25.56,34.15,37.16,8.16,39136.0
000613,大东海A,旅游服务,海南,601.51,2.66,3.64,8896.94,1619.5,3843.58,5414.27,0.15,0.005,0.22,60.02,19970128,-33913.4,-0.93,5.39,-18.13,68.9,19.95,40000.0
600522,中天科技,通信设备,江苏,18.95,27.31,30.66,2810993.0,1920744.75,538065.25,762229.44,2.49,0.146,5.85,1.89,20021024,615655.56,2.01,22.76,0.53,17.01,6.76,145530.0
002648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000.0
300471,厚普股份,专用机械,四川,0.0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.10800000000000001,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067.0
002053,云南能投,食品,云南,40.74,3.72,5.58,378381.19,121186.13,88027.15,118622.65,2.12,0.067,4.3,2.53,20060627,54855.35,0.98,-1.35,-12.48,50.38,11.59,21390.0
600929,湖南盐业,食品,湖南,111.58,1.5,9.18,362078.66,130898.05,142240.5,58156.98,0.63,0.05,2.56,8.72,20180326,76441.7,0.83,0.0,0.0,52.08,9.18,139588.0
300643,万通智控,汽车配件,浙江,1472.4,0.71,2.0,48480.46,35851.01,9471.17,13293.52,0.66,0.002,2.07,6.48,20170505,6885.06,0.34,-4.54,-94.65,26.56,0.74,17863.0
300664,鹏鹞环保,环境保护,江苏,62.62,0.8,4.8,468027.31,163906.06,12289.66,129148.05,2.69,0.11,6.12,4.16,20180105,113278.9,2.36,0.0,0.0,50.47,27.86,55395.0
002895,川恒股份,化工原料,贵州,676.09,0.4,4.07,244768.59,86351.31,30036.47,76343.68,1.88,0.01,4.65,5.74,20170825,78108.65,1.92,-7.21,-87.27,19.9,1.82,22976.0
603013,亚普股份,汽车配件,江苏,63.73,0.6,5.1,575050.38,336775.84,174786.52,16063.22,0.31,0.141,4.82,7.48,20180509,134193.8,2.63,0.0,0.0,15.36,4.31,55274.0
