,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,roe_2015q1,net_profit_ratio_2015q1,gross_profit_rate_2015q1,net_profits_2015q1,eps_2015q1,business_income_2015q1,bips_2015q1,Unnamed: 0_y,name_x,roe_2015q2,net_profit_ratio_2015q2,gross_profit_rate_2015q2,net_profits_2015q2,eps_2015q2,business_income_2015q2,bips_2015q2,Unnamed: 0_x,name_y,roe_2015q3,net_profit_ratio_2015q3,gross_profit_rate_2015q3,net_profits_2015q3,eps_2015q3,business_income_2015q3,bips_2015q3,Unnamed: 0_y,name_x,roe_2015q4,net_profit_ratio_2015q4,gross_profit_rate_2015q4,net_profits_2015q4,eps_2015q4,business_income_2015q4,bips_2015q4,Unnamed: 0_x,name_y,roe_2016q1,net_profit_ratio_2016q1,gross_profit_rate_2016q1,net_profits_2016q1,eps_2016q1,business_income_2016q1,bips_2016q1,Unnamed: 0_y,name_x,roe_2016q2,net_profit_ratio_2016q2,gross_profit_rate_2016q2,net_profits_2016q2,eps_2016q2,business_income_2016q2,bips_2016q2,Unnamed: 0_x,name_y,roe_2016q3,net_profit_ratio_2016q3,gross_profit_rate_2016q3,net_profits_2016q3,eps_2016q3,business_income_2016q3,bips_2016q3,Unnamed: 0_y,name_x,roe_2016q4,net_profit_ratio_2016q4,gross_profit_rate_2016q4,net_profits_2016q4,eps_2016q4,business_income_2016q4,bips_2016q4,Unnamed: 0_x,name_y,roe_2017q1,net_profit_ratio_2017q1,gross_profit_rate_2017q1,net_profits_2017q1,eps_2017q1,business_income_2017q1,bips_2017q1,Unnamed: 0_y,name_x,roe_2017q2,net_profit_ratio_2017q2,gross_profit_rate_2017q2,net_profits_2017q2,eps_2017q2,business_income_2017q2,bips_2017q2,Unnamed: 0_x,name_y,roe_2017q3,net_profit_ratio_2017q3,gross_profit_rate_2017q3,net_profits_2017q3,eps_2017q3,business_income_2017q3,bips_2017q3,Unnamed: 0_y,name_x,roe_2017q4,net_profit_ratio_2017q4,gross_profit_rate_2017q4,net_profits_2017q4,eps_2017q4,business_income_2017q4,bips_2017q4,Unnamed: 0,name_y,roe_2018q1,net_profit_ratio_2018q1,gross_profit_rate_2018q1,net_profits_2018q1,eps_2018q1,business_income_2018q1,bips_2018q1
0,300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0.0,-48.51,-68.09,13.4,1.07,51756.0,1815.0,宝利国际,0.56,5.14,9.7083,6.6045,0.0128,128.3164,0.2506,1675.0,宝利国际,2.71,5.06,15.4092,31.4909,0.0341,622.0725,0.6749,1440.0,宝利国际,4.36,3.85,15.1207,51.5138,0.0558,1337.9331,1.4517,2771.0,宝利国际,2.32,1.53,11.2349,26.8306,0.0291,1752.3967,1.9014,2012.0,宝利国际,0.41,2.43,8.5648,4.8425,0.0052,199.1171,0.21600000000000005,2228.0,宝利国际,1.64,3.69,16.6072,19.2635,0.0209,521.6677,0.5660000000000001,2113.0,宝利国际,2.58,3.05,14.928,30.565,0.0331,999.4741,1.0844,2878.0,宝利国际,2.3,1.97,14.4399,27.2411,0.0295,1379.9403,1.4973,2380.0,宝利国际,0.58,1.72,4.0387,7.0042,0.0076,404.8759,0.4393,2640.0,宝利国际,1.73,3.11,6.5765,20.558000000000003,0.0223,659.3945,0.7154,2614.0,宝利国际,2.72,2.8,9.8171,32.5624,0.0353,1161.7253,1.2605,2764.0,宝利国际,3.13,2.08,12.386,37.5177,0.0407,1799.7794,1.9528,2907.0,宝利国际,0.18,1.07,13.3963,2.2348,0.0024,208.4897,0.2262
1,600328,兰太实业,化工原料,内蒙,15.87,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.173,5.2,2.11,20001222,70801.74,1.62,25.56,34.15,37.16,8.16,39136.0,2473.0,兰太实业,-1.29,-2.8,28.4702,-16.0706,-0.0447,573.4855,1.5969,2660.0,兰太实业,-1.58,-1.64,28.3136,-19.5449,-0.0544,1190.2249,3.3142,2494.0,兰太实业,-2.15,-1.55,29.3585,-26.2602,-0.0731,1693.7554,4.7164,3214.0,兰太实业,-2.73,-1.39,27.5674,-33.1164,-0.0922,2367.8091,6.5934,2029.0,兰太实业,0.4,1.54,29.078000000000007,7.7636,0.0177,503.7602,1.15,2048.0,兰太实业,2.16,3.71,28.6473,42.468,0.0969,1142.914,2.6092,1993.0,兰太实业,3.05,3.39,29.259,60.3231,0.1377,1775.7754,4.0539,2521.0,兰太实业,4.16,3.29,32.0965,83.2795,0.1901,2524.9173,5.7642,810.0,兰太实业,2.72,7.63,42.7244,56.3413,0.1286,738.0746,1.6849,1068.0,兰太实业,5.45,7.33,38.9511,116.2748,0.2654,1586.2699,3.6213,880.0,兰太实业,8.75,7.79,39.3466,191.1817,0.4364,2454.1333,5.6026,1287.0,兰太实业,9.55,6.4,40.3149,210.4789,0.4805,3286.0882,7.5019,590.0,兰太实业,3.31,8.15,37.1602,75.58,0.1725,926.7348,2.1156
2,613,大东海A,旅游服务,海南,601.51,2.66,3.64,8896.94,1619.5,3843.58,5414.27,0.15,0.005,0.22,60.02,19970128,-33913.4,-0.93,5.39,-18.13,68.9,19.95,40000.0,2242.0,大东海A,-0.13,-1.8,96.7436,-0.1129,-0.0003,6.2609,0.0171,2797.0,大东海A,-4.18,-40.27,96.7784,-3.392,-0.0093,8.4213,0.0231,2685.0,大东海A,-8.26,-57.24,96.4495,-6.4462,-0.0177,11.2612,0.0309,3310.0,大东海A,-9.71,-47.07,96.0552,-7.4779,-0.0205,15.8859,0.0436,1023.0,大东海A,1.84,16.99,95.9303,1.4483,0.0039,8.5244,0.0234,2765.0,大东海A,0.22,1.42,95.4014,0.1721,0.0004,12.0628,0.0331,2825.0,大东海A,-2.2,-10.63,95.0414,-1.6635,-0.0045,15.6451,0.0429,3321.0,大东海A,-3.58,-12.25,52.7454,-2.6611,-0.0073,21.7089,0.0596,624.0,大东海A,3.14,25.68,72.2893,2.4103,0.0066,9.3835,0.0257,2393.0,大东海A,2.26,11.38,65.1827,1.7193,0.0047,15.0963,0.0414,3146.0,大东海A,0.32,1.18,59.5991,0.2411,0.0006,20.3358,0.0558,2656.0,大东海A,3.7,10.24,60.0814,2.859,0.0078,27.9066,0.0766,970.0,大东海A,2.49,19.95,68.9035,1.9734,0.0054,9.889,0.0271
3,600522,中天科技,通信设备,江苏,18.95,27.31,30.66,2810993.0,1920744.75,538065.25,762229.44,2.49,0.146,5.85,1.89,20021024,615655.56,2.01,22.76,0.53,17.01,6.76,145530.0,1081.0,中天科技,1.69,4.81,13.7434,136.128,0.1577,2828.3861,3.2782,1061.0,中天科技,4.67,6.13,15.1649,382.8581,0.4437,6240.0166,7.2325,958.0,中天科技,6.67,5.18,14.1642,548.8091,0.6361,10576.9571,12.2593,1486.0,中天科技,9.63,5.97,16.8822,987.7285,0.9458,16522.9462,15.8219,519.0,中天科技,2.99,7.3,17.2804,315.3555,0.3019,4314.9078,4.1318,697.0,中天科技,6.72,7.9,18.1909,727.6756,0.6968,9203.5796,8.812999999999997,552.0,中天科技,9.89,7.85,17.9489,1144.988,0.4385,14580.7356,5.5848,839.0,中天科技,13.29,7.52,16.3837,1588.0483,0.6082,21107.9503,8.0849,831.0,中天科技,2.68,8.25,16.8745,445.3798,0.1452,5393.4123,1.759,1021.0,中天科技,5.58,7.72,16.855,950.5758,0.31,12301.1018,4.012,971.0,中天科技,8.33,7.42,16.6533,1438.8089,0.4692,19365.3315,6.316,1173.0,中天科技,10.15,6.59,15.4644,1788.3638,0.5832,27101.3957,8.8391,968.0,中天科技,2.49,6.76,17.0135,447.7232,0.146,6620.996,2.1594
4,2648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000.0,2694.0,卫星石化,-4.36,-17.59,-15.4576,-148.4271,-0.1843,843.557,1.0477,2763.0,卫星石化,-3.3,-5.24,2.7035,-114.5633,-0.1432,2182.6712,2.7283,2668.0,卫星石化,-6.72,-6.97,5.2723,-225.3359,-0.2798,3228.7185,4.0103,3351.0,卫星石化,-13.93,-10.41,8.5202,-436.0112,-0.545,4187.3406,5.2341,2294.0,卫星石化,0.09,0.28,15.3649,2.966,0.0037,1050.4874,1.3131,2667.0,卫星石化,0.49,0.7,15.6184,15.4725,0.0193,2185.2288,2.7315,1968.0,卫星石化,3.14,2.87,18.8282,99.3869,0.1242,3458.7521,4.3234,1454.0,卫星石化,9.22,5.81,22.2769,311.5646,0.3877,5354.642,6.6639,59.0,卫星石化,7.95,15.23,28.3451,291.6945,0.363,1914.7892,2.383,148.0,卫星石化,12.84,11.99,23.8418,484.1789,0.6025,4035.6868,5.0225,663.0,卫星石化,10.01,11.35,23.9099,695.5228,0.6538,6124.8519,5.757999999999999,,,,,,,,,,1662.0,卫星石化,1.54,6.45,19.2457,113.1414,0.1063,1752.9729,1.6479
5,300471,厚普股份,专用机械,四川,0.0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.108,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067.0,231.0,厚普股份,4.67,16.89,46.4004,26.6874,0.4731,157.9538,2.8005,980.0,厚普股份,4.99,15.16,44.8242,66.3292,0.9315,437.5174,6.1449,736.0,厚普股份,7.96,17.34,44.6142,123.6801,1.6717,712.9681,9.6367,1140.0,厚普股份,12.01,15.86,43.1279,176.5656,1.1932,1113.1961,7.5232,1948.0,厚普股份,0.49,4.48,40.8923,7.3386,0.0495,163.6106,1.1057,1389.0,厚普股份,4.02,12.87,42.8617,59.2644,0.4005,460.3269,3.1109,1312.0,厚普股份,5.64,12.07,41.3022,89.3765,0.6025,740.243,4.9905,1326.0,厚普股份,9.95,12.86,35.2586,167.3274,1.1282,1301.0231,8.7724,2404.0,厚普股份,0.55,5.37,39.2631,9.4388,0.0636,175.7383,1.1849,1769.0,厚普股份,3.62,13.36,31.8231,61.8706,0.1668,462.9927,1.2487,2304.0,厚普股份,3.72,9.44,30.0947,65.0597,0.1754,688.5612,1.8571,2998.0,厚普股份,1.92,4.39,32.0541,32.4837,0.0876,738.9253,1.9937,3372.0,厚普股份,-2.43,-61.73,31.2825,-40.0806,-0.1081,64.9259,0.1751
6,2053,云南能投,食品,云南,40.74,3.72,5.58,378381.19,121186.13,88027.15,118622.65,2.12,0.067,4.3,2.53,20060627,54855.35,0.98,-1.35,-12.48,50.38,11.59,21390.0,1311.0,云南能投,1.31,3.21,38.9841,12.1141,0.0651,377.0654,2.0288,1760.0,云南能投,2.42,3.05,36.7798,22.146,0.1191,724.8016,3.8999,1505.0,云南能投,4.03,6.37,41.6891,75.3708,0.4055,1182.5517,6.3628,2242.0,云南能投,5.41,6.15,43.6665,102.5288,0.3672,1665.5342,5.9661,876.0,云南能投,2.09,12.45,54.4863,40.4926,0.145,325.056,1.1643,1242.0,云南能投,4.45,13.72,56.7794,92.4429,0.3311,673.3434,2.4119,781.0,云南能投,8.24,17.94,59.2658,178.2626,0.3192,993.2701,1.779,1011.0,云南能投,11.98,18.56,59.9706,270.1268,0.4838,1455.0187,2.6060000000000003,1318.0,云南能投,1.85,13.06,46.6676,42.5178,0.0761,325.4361,0.5828,1540.0,云南能投,4.17,12.92,42.5211,95.8302,0.1716,741.4915,1.328,1760.0,云南能投,5.39,11.16,42.595,125.3915,0.2245,1122.6311,2.0106,1935.0,云南能投,6.86,11.2,49.5776,162.128,0.2903,1446.9474,2.5915,1642.0,云南能投,1.55,11.59,50.3766,37.2126,0.0666,321.0479,0.575
7,600929,湖南盐业,食品,湖南,111.58,1.5,9.18,362078.66,130898.05,142240.5,58156.98,0.63,0.05,2.56,8.72,20180326,76441.7,0.83,0.0,0.0,52.08,9.18,139588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.0,湖南盐业,12.93,9.01,51.0599,203.671,0.2652,2258.8367,2.9421,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.0,湖南盐业,8.35,6.37,53.5353,138.5931,0.1805,2175.6352,2.8337,3448.0,湖南盐业,,9.54,50.5988,46.694,0.0608,489.2164,0.6372,1281.0,湖南盐业,4.84,8.23,49.6949,83.8964,,1018.8821,,,,,,,,,,,1456.0,湖南盐业,8.83,7.23,47.7084,159.4655,0.2077,2203.9915,2.8707,1314.0,湖南盐业,1.95,9.18,52.083,45.8142,0.0499,499.0617,0.5437
8,300643,万通智控,汽车配件,浙江,1472.4,0.71,2.0,48480.46,35851.01,9471.17,13293.52,0.66,0.002,2.07,6.48,20170505,6885.06,0.34,-4.54,-94.65,26.56,0.74,17863.0,,,,,,,,,,1315.0,万通智控,3.86,5.21,23.5994,6.2437,,119.7814,,,,,,,,,,,525.0,万通智控,18.32,12.03,28.539,34.824,0.2321,289.3026,1.9286,,,,,,,,,,,,,,,,,,,3154.0,万通智控,,14.67,30.4493,30.2674,0.2017,206.2651,1.3751,442.0,万通智控,18.0,12.58,30.8279,39.0703,0.2604,310.3874,2.0692,357.0,万通智控,4.08,13.23,34.3287,8.503,0.0566,64.2279,0.4281,1327.0,万通智控,4.71,12.14,32.8444,18.6877,0.0934,153.8804,0.7694,1245.0,万通智控,7.2,12.6,31.9738,29.3267,0.1466,232.6677,1.1633,1536.0,万通智控,8.56,11.03,31.1438,35.3378,0.1766,320.1962,1.6009,2965.0,万通智控,0.11,0.74,26.5581,0.4547,0.0022,61.3105,0.3065
9,300664,鹏鹞环保,环境保护,江苏,62.62,0.8,4.8,468027.31,163906.06,12289.66,129148.05,2.69,0.11,6.12,4.16,20180105,113278.9,2.36,0.0,0.0,50.47,27.86,55395.0,904.0,鹏鹞环保,2.02,26.84,64.9219,37.9451,,141.3498,,527.0,鹏鹞环保,7.32,30.88,62.5796,144.7306,,468.6792,,698.0,鹏鹞环保,8.21,25.67,61.4399,163.8987,,638.3877,,1421.0,鹏鹞环保,10.07,21.35,54.543,175.4775,0.4386,821.6692,2.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,鹏鹞环保,13.11,37.11,56.146,262.8596,0.6571,708.1452,1.7703,3472.0,鹏鹞环保,,36.89,71.0682,48.5766,0.1214,131.6545,0.3291,998.0,鹏鹞环保,5.65,38.06,71.8997,120.0504,0.3001,315.3657,0.7884,,,,,,,,,,1224.0,鹏鹞环保,9.86,27.15,52.4473,219.3221,0.5483,807.677,2.0191,1550.0,鹏鹞环保,1.66,27.85,50.4677,48.8051,0.1016,175.1828,0.3649
