,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,cf_sales_2015q1,rateofreturn_2015q1,cf_nm_2015q1,cf_liabilities_2015q1,cashflowratio_2015q1,Unnamed: 0_y,name_x,cf_sales_2015q2,rateofreturn_2015q2,cf_nm_2015q2,cf_liabilities_2015q2,cashflowratio_2015q2,Unnamed: 0_x,name_y,cf_sales_2015q3,rateofreturn_2015q3,cf_nm_2015q3,cf_liabilities_2015q3,cashflowratio_2015q3,Unnamed: 0_y,name_x,cf_sales_2015q4,rateofreturn_2015q4,cf_nm_2015q4,cf_liabilities_2015q4,cashflowratio_2015q4,Unnamed: 0_x,name_y,cf_sales_2016q1,rateofreturn_2016q1,cf_nm_2016q1,cf_liabilities_2016q1,cashflowratio_2016q1,Unnamed: 0_y,name_x,cf_sales_2016q2,rateofreturn_2016q2,cf_nm_2016q2,cf_liabilities_2016q2,cashflowratio_2016q2,Unnamed: 0_x,name_y,cf_sales_2016q3,rateofreturn_2016q3,cf_nm_2016q3,cf_liabilities_2016q3,cashflowratio_2016q3,Unnamed: 0_y,name_x,cf_sales_2016q4,rateofreturn_2016q4,cf_nm_2016q4,cf_liabilities_2016q4,cashflowratio_2016q4,Unnamed: 0_x,name_y,cf_sales_2017q1,rateofreturn_2017q1,cf_nm_2017q1,cf_liabilities_2017q1,cashflowratio_2017q1,Unnamed: 0_y,name_x,cf_sales_2017q2,rateofreturn_2017q2,cf_nm_2017q2,cf_liabilities_2017q2,cashflowratio_2017q2,Unnamed: 0_x,name_y,cf_sales_2017q3,rateofreturn_2017q3,cf_nm_2017q3,cf_liabilities_2017q3,cashflowratio_2017q3,Unnamed: 0_y,name_x,cf_sales_2017q4,rateofreturn_2017q4,cf_nm_2017q4,cf_liabilities_2017q4,cashflowratio_2017q4,Unnamed: 0,name_y,cf_sales_2018q1,rateofreturn_2018q1,cf_nm_2018q1,cf_liabilities_2018q1,cashflowratio_2018q1
0,300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0.0,-48.51,-68.09,13.4,1.07,51756.0,2800.0,宝利国际,-1.9757,-0.0993,-39.848,-0.1844,-22.0923,2898.0,宝利国际,-0.6633,-0.1198,-13.9377,-0.1813,-20.0207,2891.0,宝利国际,-0.4625,-0.1706,-12.5408,-0.2539,-28.1831,2819.0,宝利国际,-0.0016,-0.001,-0.1226,-0.0018,-0.1967,162.0,宝利国际,0.4717,0.0343,22.5684,0.0598,6.3495,1087.0,宝利国际,0.1164,0.0242,3.1363,0.0457,4.8793,2500.0,宝利国际,-0.0458,-0.0154,-1.5464,-0.0256,-2.6919,1324.0,宝利国际,0.1397,0.0664,7.616,0.1124,11.8609,2782.0,宝利国际,-0.34600000000000003,-0.0503,-24.5906,-0.08800000000000001,-9.4139,2834.0,宝利国际,-0.18600000000000005,-0.0436,-6.9112,-0.0769,-8.0243,2929.0,宝利国际,-0.1767,-0.067,-6.7277,-0.1118,-12.1698,616.0,宝利国际,0.2026,0.119,10.1695,0.1958,20.1847,255.0,宝利国际,0.3045,0.0206,20.8386,0.0339,3.5155
1,600328,兰太实业,化工原料,内蒙,15.87,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.173,5.2,2.11,20001222,70801.74,1.62,25.56,34.15,37.16,8.16,39136.0,1320.0,兰太实业,-0.0003,0.0,,0.0,-0.0041,580.0,兰太实业,0.1743,0.0304,,0.0379,5.3476,495.0,兰太实业,0.1993,0.0501,,0.0625,8.5928,1450.0,兰太实业,0.1207,0.0426,,0.053,7.0618,1797.0,兰太实业,-0.0463,-0.0035,-3.7251,-0.0049,-0.6639,998.0,兰太实业,0.1289,0.0212,3.8987,0.0301,4.0433,2250.0,兰太实业,-0.0038,-0.001,-0.1082,-0.0014,-0.1981,1606.0,兰太实业,0.1116,0.0441,2.4418,0.0661,9.2157,754.0,兰太实业,0.1297,0.0146,0.7877,0.0223,3.1267,955.0,兰太实业,0.1161,0.0275,0.857,0.0425,5.9644,1109.0,兰太实业,0.1009,0.0358,0.7228,0.0559,7.4917,695.0,兰太实业,0.1901,0.0934,1.5428,0.1505,18.0116,652.0,兰太实业,0.1427,0.0191,1.1152,0.0311,3.7281
2,613,大东海A,旅游服务,海南,601.51,2.66,3.64,8896.94,1619.5,3843.58,5414.27,0.15,0.005,0.22,60.02,19970128,-33913.4,-0.93,5.39,-18.13,68.9,19.95,40000.0,602.0,大东海A,0.1523,0.0084,,0.0321,3.2099,1003.0,大东海A,0.0987,0.0076,,0.0288,2.8754,2003.0,大东海A,-0.0183,-0.0019,,-0.0069,-0.6919,3194.0,大东海A,-0.1099,-0.0166,,-0.0625,-6.2451,256.0,大东海A,0.3538,0.0283,2.0823,0.1066,10.6583,1059.0,大东海A,0.1205,0.014,8.4457,0.0543,5.4328,1461.0,大东海A,0.0838,0.0128,,0.0483,4.8259,1436.0,大东海A,0.1274,0.0262,,0.0888,9.3213,315.0,大东海A,0.2781,0.0243,1.0826,0.0854,8.9774,493.0,大东海A,0.214,0.0336,1.8793,0.1599,17.2642,1001.0,大东海A,0.1138,0.0244,9.5954,0.1139,12.2964,731.0,大东海A,0.1837,0.0586,1.7934,0.4963,57.9907,316.0,大东海A,0.264,0.0293,1.3230000000000002,0.2648,31.1882
3,600522,中天科技,通信设备,江苏,18.95,27.31,30.66,2810993.0,1920744.75,538065.25,762229.44,2.49,0.146,5.85,1.89,20021024,615655.56,2.01,22.76,0.53,17.01,6.76,145530.0,952.0,中天科技,0.0668,0.016,1.3148,0.0544,6.3121,1603.0,中天科技,0.0203,0.0101,0.3218,0.0308,3.4949,1786.0,中天科技,0.0097,0.008,0.1811,0.0236,2.6275,1576.0,中天科技,0.108,0.1136,1.765,0.3358,38.1402,2086.0,中天科技,-0.1248,-0.0324,-1.6928,-0.0912,-10.8373,1809.0,中天科技,0.0277,0.0138,0.3468,0.034,3.7661,2105.0,中天科技,0.0136,0.0099,0.1721,0.0239,2.6518,2236.0,中天科技,0.0586,0.0605,0.7757,0.1481,15.9522,2556.0,中天科技,-0.2502,-0.056,-3.0269,-0.1844,-20.2511,2435.0,中天科技,-0.0859,-0.0414,-1.1064,-0.1266,-14.874,2233.0,中天科技,-0.0279,-0.0207,-0.3732,-0.0627,-7.3341,2115.0,中天科技,0.0392,0.0397,0.5917,0.1176,13.6213,1936.0,中天科技,-0.0811,-0.0191,-1.1904,-0.0537,-6.3397
4,2648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000.0,203.0,卫星石化,0.3798,0.0417,,0.0749,10.491,376.0,卫星石化,0.2367,0.0663,,0.1194,14.9413,540.0,卫星石化,0.1863,0.0789,,0.1409,17.3913,354.0,卫星石化,0.2992,0.1765,,0.3158,37.2208,595.0,卫星石化,0.1932,0.0288,80.5838,0.0518,6.1184,1864.0,卫星石化,0.021,0.0064,3.2688,0.0115,1.2567,1596.0,卫星石化,0.0696,0.0333,2.4933,0.0594,6.6807,1340.0,卫星石化,0.1386,0.0996,2.4172,0.1825,19.0161,1462.0,卫星石化,0.0052,0.0012,0.0341,0.0022,0.2375,1546.0,卫星石化,0.0405,0.0198,0.3402,0.0365,3.8923,905.0,卫星石化,0.128,0.0729,1.135,0.207,20.9586,1739.0,卫星石化,0.0692,0.0556,0.6055,0.1905,19.333,1598.0,卫星石化,-0.0202,-0.0034,-0.3169,-0.0112,-1.1329
5,300471,厚普股份,专用机械,四川,0.0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.108,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067.0,2676.0,厚普股份,-0.8415,-0.0915,-4.9806,-0.1508,-15.5848,2779.0,厚普股份,-0.3887,-0.0835,-2.564,-0.24,-24.8875,2680.0,厚普股份,-0.2129,-0.0678,-1.2275,-0.2212,-23.0133,2202.0,厚普股份,0.0575,0.0272,0.3622,0.0723,7.4461,3071.0,厚普股份,-1.0562,-0.0768,-24.0757,-0.2295,-23.4208,3046.0,厚普股份,-0.3625,-0.076,-2.819,-0.2352,-23.8188,3068.0,厚普股份,-0.2646,-0.0884,-2.2068,-0.3228,-32.7019,3092.0,厚普股份,-0.0741,-0.04,-0.573,-0.1383,-14.0175,2968.0,厚普股份,-0.5048,-0.0381,-10.3837,-0.1472,-14.8883,3138.0,厚普股份,-0.3715,-0.0639,-2.8286,-0.1807,-18.0964,3063.0,厚普股份,-0.2391,-0.0565,-2.6171,-0.1452,-14.5337,3234.0,厚普股份,-0.1867,-0.0481,-4.658,-0.1206,-12.0764,3404.0,厚普股份,-3.4796,-0.0845,,-0.2271,-22.7798
6,2053,云南能投,食品,云南,40.74,3.72,5.58,378381.19,121186.13,88027.15,118622.65,2.12,0.067,4.3,2.53,20060627,54855.35,0.98,-1.35,-12.48,50.38,11.59,21390.0,806.0,云南能投,0.096,0.0094,23.6259,0.0126,1.9926,891.0,云南能投,0.114,0.0217,17.1959,0.0291,4.3036,483.0,云南能投,0.203,0.0501,4.6535,0.0838,12.3439,782.0,云南能投,0.1974,0.0813,2.905,0.1595,21.9378,491.0,云南能投,0.2289,0.0179,2.1319,0.0349,5.7754,526.0,云南能投,0.2311,0.0503,1.8936,0.1679,22.0089,367.0,云南能投,0.28800000000000003,0.0876,1.7118,0.2824,68.1343,379.0,云南能投,0.297,0.1321,1.6596,0.4742,109.0637,1358.0,云南能投,0.0196,0.0019,0.152,0.0065,1.3788,2681.0,云南能投,-0.1392,-0.0309,-1.0667,-0.1114,-26.0333,2322.0,云南能投,-0.0412,-0.0134,-0.3658,-0.0457,-10.4794,2158.0,云南能投,0.0358,0.0139,0.324,0.0418,8.4044,1522.0,云南能投,-0.0067,-0.0006,-0.056,-0.0017,-0.3541
7,600929,湖南盐业,食品,湖南,111.58,1.5,9.18,362078.66,130898.05,142240.5,58156.98,0.63,0.05,2.56,8.72,20180326,76441.7,0.83,0.0,0.0,52.08,9.18,139588.0,,,,,,,,,,,,,,,,,,,,,,904.0,湖南盐业,0.1789,0.1156,1.9508,0.2262,31.7078,,,,,,,,,,,,,,,,,,,,,,1264.0,湖南盐业,0.1457,0.0969,2.1978,0.2128,36.9628,1512.0,湖南盐业,-0.0023,,-0.0238,,,1657.0,湖南盐业,0.0286,0.0092,0.3244,0.0223,3.5849,,,,,,,,1613.0,湖南盐业,0.0793,0.0563,0.971,0.1512,25.2377,1381.0,湖南盐业,0.017,0.0023,0.1639,0.0075,1.2664
8,300643,万通智控,汽车配件,浙江,1472.4,0.71,2.0,48480.46,35851.01,9471.17,13293.52,0.66,0.002,2.07,6.48,20170505,6885.06,0.34,-4.54,-94.65,26.56,0.74,17863.0,,,,,,,,1019.0,万通智控,0.096,0.0491,1.8956,0.1581,16.6224,,,,,,,,825.0,万通智控,0.1923,0.2005,1.592,0.6404,66.4998,325.0,万通智控,0.3057,,3.1218,,,855.0,万通智控,0.1539,,1.3882,,,1613.0,万通智控,0.0683,,0.4755,,,1358.0,万通智控,0.1366,0.1384,1.1159,0.4712,56.5302,598.0,万通智控,0.1685,0.0369,1.2726,0.1272,13.1567,936.0,万通智控,0.1196,0.0394,0.9999,0.2594,26.9983,647.0,万通智控,0.1744,0.0857,1.3918,0.614,63.9217,944.0,万通智控,0.1472,0.0984,1.3369,0.7167,74.5325,419.0,万通智控,0.2159,0.0273,22.6351,0.1862,19.2827
9,300664,鹏鹞环保,环境保护,江苏,62.62,0.8,4.8,468027.31,163906.06,12289.66,129148.05,2.69,0.11,6.12,4.16,20180105,113278.9,2.36,0.0,0.0,50.47,27.86,55395.0,299.0,鹏鹞环保,0.2856,0.0106,1.0661,0.0215,3.5723,244.0,鹏鹞环保,0.3085,0.0345,1.0005,0.067,9.9787,242.0,鹏鹞环保,0.317,0.0506,1.2384,0.1037,15.8248,136.0,鹏鹞环保,0.444,0.0971,2.0462,0.1858,29.3442,,,,,,,,,,,,,,,,,,,,,,34.0,鹏鹞环保,0.7587,0.1506,2.0448,0.3551,62.5923,2128.0,鹏鹞环保,-0.1229,,-0.3322,,,967.0,鹏鹞环保,0.1143,0.01,0.3012,0.025,4.3217,,,,,,,,1612.0,鹏鹞环保,0.0794,0.0164,0.2957,0.0395,9.2949,3120.0,鹏鹞环保,-0.6479,-0.0242,-2.2655,-0.068,-19.3017
