,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,mbrg_2015q1,nprg_2015q1,nav_2015q1,targ_2015q1,epsg_2015q1,seg_2015q1,Unnamed: 0_y,name_x,mbrg_2015q2,nprg_2015q2,nav_2015q2,targ_2015q2,epsg_2015q2,seg_2015q2,Unnamed: 0_x,name_y,mbrg_2015q3,nprg_2015q3,nav_2015q3,targ_2015q3,epsg_2015q3,seg_2015q3,Unnamed: 0_y,name_x,mbrg_2015q4,nprg_2015q4,nav_2015q4,targ_2015q4,epsg_2015q4,seg_2015q4,Unnamed: 0_x,name_y,mbrg_2016q1,nprg_2016q1,nav_2016q1,targ_2016q1,epsg_2016q1,seg_2016q1,Unnamed: 0_y,name_x,mbrg_2016q2,nprg_2016q2,nav_2016q2,targ_2016q2,epsg_2016q2,seg_2016q2,Unnamed: 0_x,name_y,mbrg_2016q3,nprg_2016q3,nav_2016q3,targ_2016q3,epsg_2016q3,seg_2016q3,Unnamed: 0_y,name_x,mbrg_2016q4,nprg_2016q4,nav_2016q4,targ_2016q4,epsg_2016q4,seg_2016q4,Unnamed: 0_x,name_y,mbrg_2017q1,nprg_2017q1,nav_2017q1,targ_2017q1,epsg_2017q1,seg_2017q1,Unnamed: 0_y,name_x,mbrg_2017q2,nprg_2017q2,nav_2017q2,targ_2017q2,epsg_2017q2,seg_2017q2,Unnamed: 0_x,name_y,mbrg_2017q3,nprg_2017q3,nav_2017q3,targ_2017q3,epsg_2017q3,seg_2017q3,Unnamed: 0_y,name_x,mbrg_2017q4,nprg_2017q4,nav_2017q4,targ_2017q4,epsg_2017q4,seg_2017q4,Unnamed: 0,name_y,mbrg_2018q1,nprg_2018q1,nav_2018q1,targ_2018q1,epsg_2018q1,seg_2018q1
0,300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0.0,-48.51,-68.09,13.4,1.07,51756.0,1223,宝利国际,37.149,0.9019,3.292,4.4736,30.0,3.3971,1777,宝利国际,-5.4191,-26.3041,1.7213,29.3378,-56.4103,2.126,1377,宝利国际,3.1519,-3.1009,2.4884,23.9606,-43.4343,2.9348,2844,宝利国际,-0.9701,-62.7569,-0.7869,18.0945,-79.0323,-0.3437,1788,宝利国际,55.1766,-34.5786,-0.9827,7.1692,-61.5385,-0.5067,2051,宝利国际,-16.1404,-34.6182,1.1973,-27.0589,-38.2353,1.325,2207,宝利国际,-25.2972,-40.0423,0.0031,-17.9973,-41.0714,0.1846,1845,宝利国际,-21.2541,7.7284,2.0515,3.8841,15.3846,2.2349,937,宝利国际,103.3355,36.8551,2.272,1.7963,60.0,2.5092,2181,宝利国际,26.4012,-8.3214,2.6762,11.8743,4.7619,0.6116,1975,宝利国际,16.2337,3.1514,3.2454,3.0486,6.0606,1.0388,909,宝利国际,30.4244,41.6576,1.3541,5.6359,36.6667,1.5028,2537,宝利国际,-48.5053,-46.5194,1.3767,10.6784,-75.0,1.3446
1,600328,兰太实业,化工原料,内蒙,15.87,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.173,5.2,2.11,20001222,70801.74,1.62,25.56,34.15,37.16,8.16,39136.0,2592,兰太实业,-4.5047,,-11.0461,-2.1609,-175.0,-3.3537,2671,兰太实业,-11.9546,,-9.24,-3.8943,-384.2105,-2.8124,2709,兰太实业,-16.9466,,-8.9285,-8.811,-314.7059,-3.63,3323,兰太实业,-12.8482,,-6.0643,-1.7515,-330.0,-3.3873,2839,兰太实业,-12.1582,,47.5327,-3.5295,-140.0,55.2183,2917,兰太实业,-3.975,,51.0184,1.6756,-279.6296,58.5606,2960,兰太实业,4.8425,,55.6557,-0.3311,-289.0411,61.815,3238,兰太实业,6.6352,,62.4175,-4.6229,-309.7826,64.8167,44,兰太实业,46.5131,1843.2587,12.5252,-2.5451,616.6667,7.5287,133,兰太实业,38.7917,468.9179,15.4049,-3.4828,173.1959,8.7669,126,兰太实业,38.2007,452.1041,19.3418,2.9586,215.942,10.5217,190,兰太实业,30.1464,250.7998,19.2859,4.6539,148.9637,10.2218,1949,兰太实业,25.5611,-2.4532,16.7907,5.2467,34.1085,10.0478
9,600522,中天科技,通信设备,江苏,18.95,27.31,30.66,2810993.0,1920744.75,538065.25,762229.44,2.49,0.146,5.85,1.89,20021024,615655.56,2.01,22.76,0.53,17.01,6.76,145530.0,670,中天科技,78.825,24.3259,51.6662,36.756,2.4675,53.8802,1296,中天科技,58.2659,2.3793,48.2355,30.662,-13.8252,51.1603,1078,中天科技,73.5561,10.0151,4.1657,5.154,-7.8261,5.135,470,中天科技,91.2081,70.9107,27.8659,33.0794,30.0,30.4059,260,中天科技,52.5572,121.4013,28.6178,40.8276,91.3815,30.7768,393,中天科技,47.4929,86.7582,29.9041,46.9996,-37.2014,32.0887,366,中天科技,37.8538,103.8784,38.9547,56.6074,-31.0377,40.7513,656,中天科技,27.7493,57.8517,16.3955,30.2521,-38.4615,16.5328,887,中天科技,24.9948,40.192,56.9226,45.1954,-49.404,58.0468,1127,中天科技,33.6556,29.9368,56.8442,38.4081,14.1012,57.2709,1253,中天科技,32.8145,25.6721,48.8118,30.2438,8.7551,49.12300000000001,1652,中天科技,28.3943,12.6655,46.9018,31.0727,-2.7961,47.4637,1871,中天科技,22.7608,1.1964,7.9366,16.6933,-4.4503,8.0141
10,2648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000.0,2115,卫星石化,13.1645,-263.472,-9.0055,14.0141,-178.2609,-9.0055,2266,卫星石化,13.3358,-162.5166,-6.2827,1.9092,-160.8696,-6.2827,2286,卫星石化,9.6162,-199.4708,-10.5519,-3.3723,-200.0,-10.5519,3182,卫星石化,-2.7504,-1439.813,-11.7605,-6.7785,-1462.5,-11.8403,2536,卫星石化,24.5307,,-7.9379,-8.2232,-102.0556,-8.008,2781,卫星石化,0.1172,,-9.2092,-8.457,-113.7857,-9.2487,3054,卫星石化,7.1246,,-5.615,-5.2419,-144.3571,-5.7665,3378,卫星石化,27.8769,,8.1649,5.0097,-171.5596,7.9317,6,卫星石化,82.2763,11417.115,17.3469,14.6137,9710.8108,17.1569,18,卫星石化,84.6803,3329.4025,20.1412,15.7017,3022.2798,19.8305,94,卫星石化,77.0827,615.0347,120.028,48.8484,550.161,119.8993,228,卫星石化,52.9125,204.5719,112.8668,36.6223,166.6667,113.1375,2634,卫星石化,-8.4509,-61.5595,98.9936,29.7169,-70.6887,99.1614
12,300471,厚普股份,专用机械,四川,0.0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.108,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067.0,1503,厚普股份,5.2072,-19.1717,,,-19.1453,,967,厚普股份,14.6083,14.1604,,,14.1748,,933,厚普股份,11.161,16.1209,,,6.7196,,1974,厚普股份,16.2493,-1.6866,153.986,56.4825,-57.0038,153.986,2021,厚普股份,3.5813,-73.1039,162.2651,54.9751,-89.4292,161.2652,1699,厚普股份,5.2134,-10.7519,12.0092,7.88,-65.9014,10.8554,2095,厚普股份,3.8255,-28.2478,3.479,-1.1421,-70.0545,1.9823,2237,厚普股份,16.8728,-4.6994,16.5977,2.393,-16.5814,14.3252,1294,厚普股份,7.4125,19.0284,15.024,3.3265,28.0,13.5296,1928,厚普股份,0.5791,2.7147,16.9931,22.5291,-58.3791,15.7893,2571,厚普股份,-6.9817,-29.1091,10.774,31.6444,-70.8609,10.1237,3046,厚普股份,-43.2043,-82.3954,0.4872,18.8943,-92.3818,0.3537,2980,厚普股份,-63.0554,-579.8615,-2.4842,15.0073,-268.9063,-2.8788
13,600389,江山股份,农药化肥,江苏,19.76,2.97,2.97,291790.78,108921.22,128498.97,11448.82,0.39,0.285,5.56,4.06,20010110,101102.32,3.4,12.14,117.24,18.66,8.38,11415.0,1969,江山股份,-6.1455,-91.1476,2.6989,-2.3953,-91.1523,2.6989,2171,江山股份,-6.3276,-90.1016,0.4071,-2.2148,-90.1015,0.4071,2185,江山股份,-12.3556,-94.0008,-3.0832,-5.2448,-94.001,-3.0832,2975,江山股份,-10.0375,-94.7607,-3.0885,-5.0705,-94.7596,-3.0885,1584,江山股份,52.335,-15.5492,-3.1688,32.3432,-15.5814,-3.1688,2310,江山股份,106.529,-74.4485,0.1667,1.974,-82.9916,0.1667,2102,江山股份,91.0678,-28.606,3.8534,6.9776,-52.4476,3.8534,105,江山股份,77.4795,395.5215,6.3963,4.3138,230.3371,6.3963,160,江山股份,-26.9504,441.9825,9.1007,-20.9314,261.708,9.1007,42,江山股份,-46.6287,1486.9208,10.2121,8.3969,1489.3617,10.2121,56,江山股份,-38.2214,979.41,7.5098,-0.8594,980.5147,7.5098,123,江山股份,-23.3639,375.3453,13.8925,-9.2841,375.2268,13.8925,361,江山股份,12.1448,117.2377,16.4216,-10.6091,117.2125,16.4216
14,600261,阳光照明,家用电器,浙江,22.5,14.52,14.52,616547.06,416033.38,117456.52,26291.5,0.18,0.049,2.34,1.88,20000720,136825.23,0.94,24.06,-39.01,21.68,5.01,56088.0,768,阳光照明,22.0596,19.1094,7.5464,6.4807,-19.6141,7.8911,679,阳光照明,24.6684,30.9103,6.9364,10.6881,-13.8439,7.2523,937,阳光照明,29.6939,15.9892,6.4724,15.7495,-14.0271,7.5068,1120,阳光照明,30.9652,22.0556,7.2819,13.6191,-13.3333,8.5678,1131,阳光照明,12.0917,8.593,7.2841,11.4126,-30.0,8.3434,893,阳光照明,11.9151,24.1929,6.0892,7.8815,25.0,7.2389,680,阳光照明,4.147,45.0368,8.515,6.9298,26.3158,8.6534,1142,阳光照明,3.1752,29.1087,8.5852,11.7212,19.2308,8.1997,1469,阳光照明,11.6214,12.5592,8.9324,14.0579,14.2857,8.6719,1869,阳光照明,13.0056,4.6056,8.6252,14.411,6.6667,8.2698,2279,阳光照明,13.16,-9.2736,6.6458,15.7273,-8.3333,6.3944,2393,阳光照明,14.6847,-10.501,5.6108,15.1774,-9.6774,5.2524,2447,阳光照明,24.0563,-38.6488,3.7932,9.7052,-37.5,3.3575
15,300084,海默科技,石油开采,甘肃,0.0,3.1,3.85,292281.09,140725.27,26025.06,122749.36,3.19,-0.049,4.54,1.57,20100520,13799.82,0.36,40.84,-541.36,34.72,-22.68,26019.0,180,海默科技,105.5442,171.3299,62.0087,79.6284,126.1838,68.3503,846,海默科技,83.1525,19.8869,67.3464,57.9361,-55.7453,68.2473,2229,海默科技,75.1195,-123.4675,66.3665,66.7033,-113.0658,67.6036,2885,海默科技,28.9846,-72.8051,2.2751,3.9357,-89.6217,2.3493,2170,海默科技,-51.4263,-163.407,0.7295,3.7419,-128.202,0.5468,2274,海默科技,-22.0435,-66.7875,3.7091,4.433,-68.4211,3.4727,2661,海默科技,-24.4272,,68.0747,44.5062,-149.6063,68.4676,2683,海默科技,-30.0553,-34.9905,67.5134,42.6468,-36.1371,67.9419,2831,海默科技,15.4009,,67.484,45.74800000000001,-66.8122,68.2724,2675,海默科技,5.8536,-47.5518,63.1672,47.9561,-42.2222,64.1383,2314,海默科技,19.8903,-11.0587,-0.0129,3.3747,0.0,-0.0024,208,海默科技,79.7146,233.9981,4.7428,32.5158,63.4146,-1.5446,3439,海默科技,40.8397,,-1.5758,17.8769,540.7895,-4.0216
16,735,罗 牛 山,农业综合,海南,12.23,10.6,11.52,648092.25,184335.61,194501.98,158896.8,1.38,0.28800000000000003,3.36,4.2,19970611,102907.93,0.89,-63.64,284.81,16.97,167.48,140000.0,2601,罗牛山,-45.6233,,-1.2744,-2.1206,-175.0,-0.4993,2100,罗牛山,-32.4865,-72.6457,-2.3698,-0.6111,-88.9706,-1.6237,1573,罗牛山,-36.7149,-14.7508,-1.5223,3.3563,-19.4888,-1.7715,1248,罗牛山,-27.4223,18.157,1.0409,5.9434,18.9655,0.8877,1937,罗牛山,12.8817,-54.25899999999999,94.5727,48.659,-66.1111,100.3124,144,罗牛山,-5.8227,306.5271,96.772,36.3529,566.6667,102.7113,429,罗牛山,-3.4574,85.0791,95.6759,33.1289,49.8016,101.271,938,罗牛山,22.0656,38.0796,93.5027,37.3574,6.8116,99.342,76,罗牛山,222.577,1025.9813,4.6213,-5.3017,1126.2295,4.769,159,罗牛山,157.4418,379.4973,5.3664,2.8977,466.0,5.6422,656,罗牛山,116.2886,67.1488,4.0009,5.0638,70.596,4.319,582,罗牛山,45.6832,74.4186,3.6986,-0.04,80.19,3.7455,160,罗牛山,-63.639,280.4153,9.5804,10.3895,284.6257,9.8182
17,2492,恒基达鑫,仓储物流,广东,83.57,3.53,4.05,153659.52,44267.87,77580.72,41984.12,1.04,0.027000000000000003,3.01,3.01,20101102,34822.94,0.86,6.87,-4.4,39.98,19.77,26412.0,1796,恒基达鑫,-36.8938,-49.9835,5.3554,11.789,-48.4108,4.7766,1953,恒基达鑫,-29.2173,-45.6519,28.3045,33.9183,-50.9567,27.1487,1892,恒基达鑫,-22.8011,-38.8015,26.2652,34.952,-44.9966,24.4474,2486,恒基达鑫,-12.3128,-27.6902,26.8493,23.0224,-31.5647,25.2093,479,恒基达鑫,50.3644,53.6568,26.7395,18.7498,35.545,25.1108,309,恒基达鑫,52.4847,119.4958,1.9618,1.7084,118.0698,1.6157,1307,恒基达鑫,52.3256,12.4288,3.667,4.001,13.1868,3.9052,1027,恒基达鑫,36.7463,33.0821,3.5128,1.4389,29.9842,3.7364,1045,恒基达鑫,8.1805,30.6562,4.1642,6.204,48.6014,4.4845,1126,恒基达鑫,4.1659,29.9378,4.4898,8.6587,-9.7928,4.8349,587,恒基达鑫,2.3359,78.332,5.3321,-3.5803,29.6656,4.3924,927,恒基达鑫,8.2835,40.8583,4.07,2.3158,-2.3737,4.3731,1906,恒基达鑫,6.8678,-0.19,3.779,-1.171,-36.2353,4.0661
