,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,arturnover_2015q1,arturndays_2015q1,inventory_turnover_2015q1,inventory_days_2015q1,currentasset_turnover_2015q1,currentasset_days_2015q1,Unnamed: 0_y,name_x,arturnover_2015q2,arturndays_2015q2,inventory_turnover_2015q2,inventory_days_2015q2,currentasset_turnover_2015q2,currentasset_days_2015q2,Unnamed: 0_x,name_y,arturnover_2015q3,arturndays_2015q3,inventory_turnover_2015q3,inventory_days_2015q3,currentasset_turnover_2015q3,currentasset_days_2015q3,Unnamed: 0_y,name_x,arturnover_2015q4,arturndays_2015q4,inventory_turnover_2015q4,inventory_days_2015q4,currentasset_turnover_2015q4,currentasset_days_2015q4,Unnamed: 0_x,name_y,arturnover_2016q1,arturndays_2016q1,inventory_turnover_2016q1,inventory_days_2016q1,currentasset_turnover_2016q1,currentasset_days_2016q1,Unnamed: 0_y,name_x,arturnover_2016q2,arturndays_2016q2,inventory_turnover_2016q2,inventory_days_2016q2,currentasset_turnover_2016q2,currentasset_days_2016q2,Unnamed: 0_x,name_y,arturnover_2016q3,arturndays_2016q3,inventory_turnover_2016q3,inventory_days_2016q3,currentasset_turnover_2016q3,currentasset_days_2016q3,Unnamed: 0_y,name_x,arturnover_2016q4,arturndays_2016q4,inventory_turnover_2016q4,inventory_days_2016q4,currentasset_turnover_2016q4,currentasset_days_2016q4,Unnamed: 0_x,name_y,arturnover_2017q1,arturndays_2017q1,inventory_turnover_2017q1,inventory_days_2017q1,currentasset_turnover_2017q1,currentasset_days_2017q1,Unnamed: 0_y,name_x,arturnover_2017q2,arturndays_2017q2,inventory_turnover_2017q2,inventory_days_2017q2,currentasset_turnover_2017q2,currentasset_days_2017q2,Unnamed: 0_x,name_y,arturnover_2017q3,arturndays_2017q3,inventory_turnover_2017q3,inventory_days_2017q3,currentasset_turnover_2017q3,currentasset_days_2017q3,Unnamed: 0_y,name_x,arturnover_2017q4,arturndays_2017q4,inventory_turnover_2017q4,inventory_days_2017q4,currentasset_turnover_2017q4,currentasset_days_2017q4,Unnamed: 0,name_y,arturnover_2018q1,arturndays_2018q1,inventory_turnover_2018q1,inventory_days_2018q1,currentasset_turnover_2018q1,currentasset_days_2018q1
0,300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0.0,-48.51,-68.09,13.4,1.07,51756.0,1364.0,宝利国际,0.184,489.1304,0.7453,120.7567,0.0743,1211.3055,946.0,宝利国际,0.7742,232.4981,2.4788,72.6158,0.294,612.2449,339.0,宝利国际,1.4665,184.1118,8.8877,30.3791,0.6172,437.4595,266.0,宝利国际,2.5585,140.7074,18.7156,19.2353,0.9297,387.2217,713.0,宝利国际,0.336,267.8571,1.5078,59.6896,0.0943,954.4008,948.0,宝利国际,0.8104,222.1125,2.7533,65.3761,0.2602,691.7756,564.0,宝利国际,1.4087,191.6661,6.4273,42.0083,0.4654,580.1461,466.0,宝利国际,2.4958,144.2423,11.6368,30.9363,0.6326,569.08,694.0,宝利国际,0.9527,94.4684,1.8256,49.2989,0.1891,475.9387,1235.0,宝利国际,1.4683,122.5908,2.5154,71.5592,0.3097,581.2076,1087.0,宝利国际,2.2981,117.4884,4.2392,63.6913,0.5366,503.1681,846.0,宝利国际,4.0605,88.65899999999998,7.4603,48.2554,0.8384,429.3893,2350.0,宝利国际,0.6535,137.72,0.4861,185.1471,0.1054,853.8899
1,600328,兰太实业,化工原料,内蒙,15.87,4.38,4.38,690777.75,179942.38,383840.47,101849.43,2.33,0.173,5.2,2.11,20001222,70801.74,1.62,25.56,34.15,37.16,8.16,39136.0,975.0,兰太实业,1.9684,45.7224,1.0589,84.9939,0.3506,256.7028,1070.0,兰太实业,4.4189,40.7341,2.2249,80.9025,0.7575,237.6238,1188.0,兰太实业,5.6885,47.4642,2.9341,92.0214,1.1166,241.8055,1441.0,兰太实业,10.2639,35.0744,4.3724,82.3346,1.5719,229.0222,1140.0,兰太实业,1.6449,54.7146,0.9737,92.4309,0.3358,268.0167,1175.0,兰太实业,3.872,46.4876,2.3033,78.1487,0.6968,258.3238,1102.0,兰太实业,6.1770000000000005,43.7105,3.5944,75.1168,1.156,233.564,1346.0,兰太实业,11.3789,31.6375,4.7358,76.0167,1.8923,190.2447,1193.0,兰太实业,3.235,27.8207,1.1071,81.2935,0.5743,156.7125,1158.0,兰太实业,7.7479,23.2321,2.6612,67.6387,1.1688,154.0041,1142.0,兰太实业,12.1293,22.2601,4.0727,66.2951,1.6726,161.4253,1361.0,兰太实业,19.5736,18.3921,4.8718,73.8947,2.3741,151.6364,1012.0,兰太实业,4.4716,20.127,1.3851,64.9773,0.5517,163.1321
2,613,大东海A,旅游服务,海南,601.51,2.66,3.64,8896.94,1619.5,3843.58,5414.27,0.15,0.005,0.22,60.02,19970128,-33913.4,-0.93,5.39,-18.13,68.9,19.95,40000.0,1497.0,大东海A,2.209,40.7424,0.6546,137.4885,0.2346,383.6317,2096.0,大东海A,5.452000000000001,33.0154,0.8811,204.2901,0.333,540.5405,1957.0,大东海A,7.1911,37.5464,1.3595,198.6024,0.4664,578.9022,2293.0,大东海A,10.2736,35.0413,2.3867,150.8359,0.6716,536.0334,716.0,大东海A,14.4002,6.2499,1.4991,60.036,0.3758,239.4891,1091.0,大东海A,24.3231,7.4004,2.4455,73.6046,0.5529,325.5562,1090.0,大东海A,32.6644,8.2659,3.629,74.4007,0.7238,373.0312,134.0,大东海A,37.7335,9.5406,46.922,7.6723,0.8340000000000001,431.6547,140.0,大东海A,10.8726,8.2777,11.0855,8.1187,0.3384,265.9574,147.0,大东海A,29.3807,6.1265,22.2531,8.0888,0.5677,317.0689,153.0,大东海A,38.2481,7.0592,33.2567,8.1187,0.8034,336.0717,149.0,大东海A,43.4487,8.2856,49.9341,7.2095,1.2504,287.9079,134.0,大东海A,16.218,5.5494,13.4786,6.6773,0.6589,136.5913
3,600522,中天科技,通信设备,江苏,18.95,27.31,30.66,2810993.0,1920744.75,538065.25,762229.44,2.49,0.146,5.85,1.89,20021024,615655.56,2.01,22.76,0.53,17.01,6.76,145530.0,806.0,中天科技,0.8346,107.8361,1.2748,70.5993,0.3455,260.492,950.0,中天科技,1.7895,100.5868,2.4708,72.8509,0.732,245.9016,854.0,中天科技,3.0053,89.8413,3.9852,67.7507,1.2261,220.2104,1016.0,中天科技,4.5963,78.3239,5.9209,60.8016,1.7481,205.9379,858.0,中天科技,1.0245,87.8477,1.2956,69.4659,0.3919,229.6504,1012.0,中天科技,2.085,86.3309,2.6264,68.5349,0.7884,228.3105,1046.0,中天科技,3.2537,82.9825,3.7822,71.387,1.2123,222.7171,984.0,中天科技,4.5789,78.6215,6.223,57.8499,1.7503,205.679,1008.0,中天科技,0.9036,99.6016,1.338,67.2646,0.3544,253.9503,996.0,中天科技,1.9968,90.1442,2.9747,60.5103,0.7725,233.0097,1024.0,中天科技,3.1614,85.4052,4.4499,60.6755,1.2054,223.992,1005.0,中天科技,4.8374,74.4201,6.4818,55.5401,1.704,211.2676,1040.0,中天科技,1.0137,88.7837,1.3353,67.4006,0.3527,255.1744
4,2648,卫星石化,化工原料,浙江,34.79,8.01,10.64,1048221.38,532909.63,319038.69,415491.53,3.91,0.106,6.87,2.15,20111228,181783.5,1.71,-8.45,-61.21,19.25,6.45,27000.0,713.0,卫星石化,5.647,15.9377,1.4253,63.1446,0.3233,278.3792,649.0,卫星石化,10.3553,17.3824,3.4071,52.8309,0.7888,228.1947,633.0,卫星石化,15.6541,17.2479,5.3053,50.8925,1.1899,226.9098,901.0,卫星石化,21.3891,16.831,6.535,55.088,1.7009,211.6527,504.0,卫星石化,6.2023,14.5107,2.1097,42.6601,0.4446,202.4291,715.0,卫星石化,10.528,17.0973,3.4908,51.5641,0.9243,194.742,688.0,卫星石化,15.9731,16.9034,5.4701,49.3592,1.4491,186.3225,646.0,卫星石化,20.8183,17.2925,8.8212,40.8108,2.0882,172.3973,548.0,卫星石化,5.0963,17.6599,2.2574,39.8689,0.6163,146.0328,420.0,卫星石化,11.0983,16.2187,6.3254,28.4567,1.2895,139.589,542.0,卫星石化,17.6676,15.2822,7.8463,34.4111,1.404,192.3077,603.0,卫星石化,24.2724,14.8317,10.1336,35.5254,2.0516,175.4728,757.0,卫星石化,5.2698,17.0784,1.7588,51.1713,0.3325,270.6767
5,300471,厚普股份,专用机械,四川,0.0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.108,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067.0,2424.0,厚普股份,0.5770000000000001,155.9792,0.1499,600.4003,0.1342,670.6408,2508.0,厚普股份,1.5357,117.2104,0.4556,395.0834,0.3001,599.8001,2315.0,厚普股份,2.1841,123.6207,0.7932,340.3933,0.4626,583.6576,2824.0,厚普股份,3.3741,106.6951,1.4061,256.0273,0.71,507.0423,2243.0,厚普股份,0.3714,242.3263,0.2899,310.4519,0.0893,1007.8387,2337.0,厚普股份,0.9582,187.8522,0.8464,212.6654,0.2607,690.4488,2083.0,厚普股份,1.4087,191.6661,1.4962,180.4572,0.4221,639.6588,1816.0,厚普股份,2.1999,163.6438,3.4438,104.5357,0.7328,491.2664,1797.0,厚普股份,0.2294,392.3278,0.6865,131.0998,0.112,803.5714,1966.0,厚普股份,0.5481,328.4072,1.4792,121.6874,0.2737,657.6544,2048.0,厚普股份,0.7944,339.8792,2.103,128.388,0.3825,705.8824,2308.0,厚普股份,1.0522,342.1403,2.5765,139.7244,0.4395,819.1126,3040.0,厚普股份,0.1082,831.793,0.1824,493.4211,0.0404,2227.7228
6,2053,云南能投,食品,云南,40.74,3.72,5.58,378381.19,121186.13,88027.15,118622.65,2.12,0.067,4.3,2.53,20060627,54855.35,0.98,-1.35,-12.48,50.38,11.59,21390.0,942.0,云南能投,4.8289,18.6378,1.1005,81.781,0.5648,159.3484,1079.0,云南能投,9.2118,19.5402,2.2042,81.6623,1.1056,162.8075,1011.0,云南能投,13.7462,19.6418,3.4282,78.7585,1.0385,259.9904,1248.0,云南能投,25.1605,14.3081,4.9494,72.7361,2.3595,152.5747,1142.0,云南能投,3.8412,23.4302,0.9719,92.6021,0.4061,221.6203,1284.0,云南能投,6.4515,27.9005,2.1145,85.1265,0.6168,291.8288,1303.0,云南能投,9.3597,28.8471,2.9675,90.9857,0.8575,314.8688,1606.0,云南能投,16.0748,22.3953,3.9604,90.8999,1.3216,272.3971,1033.0,云南能投,2.2357,40.2558,1.2931,69.6002,0.2198,409.4631,1054.0,云南能投,3.8135,47.2007,2.8468,63.2289,0.522,344.8276,998.0,云南能投,5.9719,45.2117,4.54,59.4714,0.7999,337.5422,1236.0,云南能投,9.0424,39.8124,5.3768,66.9543,1.058,340.2647,1196.0,云南能投,1.3364,67.3451,1.1649,77.2599,0.2584,348.2972
7,600929,湖南盐业,食品,湖南,111.58,1.5,9.18,362078.66,130898.05,142240.5,58156.98,0.63,0.05,2.56,8.72,20180326,76441.7,0.83,0.0,0.0,52.08,9.18,139588.0,,,,,,,,,,,,,,,,,,,,,,,,,1462.0,湖南盐业,22.6783,15.8742,4.3058,83.6082,1.9708,182.6669,,,,,,,,,,,,,,,,,,,,,,,,,1351.0,湖南盐业,22.4843,16.0112,4.7227,76.2276,2.0025,179.7753,,,,,,,,,1203.0,湖南盐业,9.1932,19.5797,2.5881,69.5491,1.0845,165.9751,,,,,,,,,1173.0,湖南盐业,30.7709,11.6994,5.6238,64.0137,2.461,146.282,1432.0,湖南盐业,5.9627,15.0938,0.9843,91.4355,0.4758,189.1551
8,300643,万通智控,汽车配件,浙江,1472.4,0.71,2.0,48480.46,35851.01,9471.17,13293.52,0.66,0.002,2.07,6.48,20170505,6885.06,0.34,-4.54,-94.65,26.56,0.74,17863.0,,,,,,,,,1032.0,万通智控,2.6973,66.7334,2.3145,77.7706,0.9585,187.7934,,,,,,,,,1052.0,万通智控,5.6868,63.3045,5.7352,62.7703,2.1397,168.2479,3027.0,万通智控,,,,,,,3140.0,万通智控,,,,,,,3224.0,万通智控,,,,,,,1195.0,万通智控,5.341,67.4031,5.3027,67.8899,1.8124,198.6316,1342.0,万通智控,1.1884,75.7321,0.9739,92.412,0.3677,244.7648,1275.0,万通智控,2.6128,68.8916,2.4287,74.1137,0.588,306.1224,1295.0,万通智控,4.4331,60.9055,3.5853,75.3075,0.8813,306.3656,1277.0,万通智控,5.4723,65.7859,5.2074,69.1324,1.2013,299.6754,1464.0,万通智控,1.261,71.3719,0.9601,93.7402,0.1726,521.4368
9,300664,鹏鹞环保,环境保护,江苏,62.62,0.8,4.8,468027.31,163906.06,12289.66,129148.05,2.69,0.11,6.12,4.16,20180105,113278.9,2.36,0.0,0.0,50.47,27.86,55395.0,433.0,鹏鹞环保,0.6132,146.77100000000004,2.1908,41.0809,0.2796,321.8884,286.0,鹏鹞环保,1.9518,92.2226,6.8467,26.29,0.6269,287.1271,327.0,鹏鹞环保,2.8472,94.83,9.0875,29.7111,0.9886,273.1135,263.0,鹏鹞环保,3.4410000000000003,104.6207,19.1128,18.8355,1.0449,344.5306,,,,,,,,,,,,,,,,,,,,,,,,,425.0,鹏鹞环保,3.3226,108.3489,12.8682,27.9759,0.7883,456.6789,3206.0,鹏鹞环保,,,,,,,1430.0,鹏鹞环保,1.6537,108.8468,2.1306,84.4832,0.4168,431.8618,,,,,,,,,656.0,鹏鹞环保,3.9907,90.2097,9.1319,39.4222,0.9809,367.0099,692.0,鹏鹞环保,0.6706,134.2082,1.9024,47.3087,0.1382,651.2301
