,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0,name_y,eps_2015q1,eps_yoy_2015q1,bvps_2015q1,roe_2015q1,epcf_2015q1,net_profits_2015q1,profits_yoy_2015q1,distrib_2015q1,report_date_2015q1
0,300135,宝利国际,化工原料,江苏,370.12,9.22,9.22,308387.34,188484.52,81657.46,3525.6,0.04,0.002,1.31,2.75,20101026,30.32,0.0,-48.51,-68.09,13.4,1.07,51756.0,1990,宝利国际,0.01,30.0,2.28,0.57,-0.5,660.45,6.65,,04-25
1,613,大东海A,旅游服务,海南,601.51,2.66,3.64,8896.94,1619.5,3843.58,5414.27,0.15,0.005,0.22,60.02,19970128,-33913.4,-0.93,5.39,-18.13,68.9,19.95,40000.0,789,大东海A,-0.0,-121.43,,-0.13,,-11.29,-122.33,,04-29
2,300471,厚普股份,专用机械,四川,0.0,2.23,3.71,267486.53,149135.77,79707.86,73535.52,1.98,-0.108,4.44,2.12,20150611,51673.84,1.39,-63.06,-524.64,31.28,-61.73,22067.0,202,厚普股份,0.47,-19.15,,,,2668.74,-19.17,,05-26
3,300664,鹏鹞环保,环境保护,江苏,62.62,0.8,4.8,468027.31,163906.06,12289.66,129148.05,2.69,0.11,6.12,4.16,20180105,113278.9,2.36,0.0,0.0,50.47,27.86,55395.0,1620,鹏鹞环保,,,,,,3794.51,,,04-27
4,300503,昊志机电,机械基件,广东,81.81,1.03,2.54,119336.1,73525.4,28086.93,17109.11,0.67,0.051,3.05,5.45,20160309,34135.65,1.35,36.13,4.7,45.63,13.15,15683.0,90,昊志机电,0.12,20.0,,2.09,,868.05,19.14,,04-27
5,676,智度股份,互联网,河南,17.82,3.16,9.66,734712.06,437033.34,1129.92,350194.59,3.63,0.208,5.38,2.76,19961224,77332.36,0.8,77.22,63.79,15.62,9.52,36319.0,1369,智度股份,-0.02,-56.1,,-3.66,,-510.53,-56.06,,04-28
6,2795,永和智控,机械基件,浙江,198.97,0.64,2.0,71899.15,54738.96,6948.21,24386.23,1.22,0.038,3.12,9.68,20160428,14280.2,0.71,23.07,-37.06,23.66,5.76,23176.0,80,永和智控,0.2,,,7.15,0.55,1528.34,,,04-27
7,300084,海默科技,石油开采,甘肃,0.0,3.1,3.85,292281.09,140725.27,26025.06,122749.36,3.19,-0.049,4.54,1.57,20100520,13799.82,0.36,40.84,-541.36,34.72,-22.68,26019.0,2767,海默科技,0.08,126.18,7.29,1.12,0.15,1198.29,160.93,,04-18
8,2633,申科股份,机械基件,浙江,0.0,1.49,1.5,60571.71,32491.63,16400.73,30472.23,2.03,-0.025,3.45,3.77,20111122,4455.53,0.3,-19.63,-295.87,24.31,-15.12,12475.0,2627,申科股份,-0.04,100.0,,-1.25,,-638.12,72.36,,04-21
9,735,罗 牛 山,农业综合,海南,12.23,10.6,11.52,648092.25,184335.61,194501.98,158896.8,1.38,0.28800000000000003,3.36,4.2,19970611,102907.93,0.89,-63.64,284.81,16.97,167.48,140000.0,1016,罗牛山,0.02,-175.0,,0.9,,1550.71,-174.11,,04-29
10,603800,道森股份,专用机械,江苏,0.0,0.68,2.08,152708.16,114513.35,27727.5,49797.62,2.39,-0.005,4.48,4.05,20151210,20123.72,0.97,40.54,-115.01,18.61,-0.53,27382.0,123,道森股份,0.14,,,4.29,,2167.21,,,04-23
11,603223,恒通股份,供气供热,山东,37.34,0.79,1.44,167734.0,90156.84,44810.43,63760.36,4.43,0.18,7.57,2.98,20150630,28692.5,1.99,54.63,35.62,5.95,2.0,13801.0,37,恒通股份,0.08,,,2.26,,750.12,,,04-30
12,300216,千山药机,医疗保健,湖南,56.65,2.61,3.61,449811.91,224934.97,49833.87,22273.2,0.62,0.123,3.36,2.76,20110511,55952.16,1.55,61.48,135.27,49.98,6.51,25120.0,1716,千山药机,0.09,50.0,5.31,1.63,-0.27,1563.09,25.35,,04-27
13,2492,恒基达鑫,仓储物流,广东,83.57,3.53,4.05,153659.52,44267.87,77580.72,41984.12,1.04,0.027000000000000003,3.01,3.01,20101102,34822.94,0.86,6.87,-4.4,39.98,19.77,26412.0,1202,恒基达鑫,0.02,-48.41,,0.57,,505.34,-48.57,,04-28
14,980,众泰汽车,汽车配件,安徽,31.91,5.28,20.38,3228681.0,1732531.63,299354.16,1326577.75,6.51,0.069,8.31,1.06,20000616,161384.91,0.79,917.68,351.37,18.03,2.59,60000.0,1330,众泰汽车,0.04,-33.33,,1.0,,2034.94,-35.05,,04-28
15,601231,环旭电子,元器件,上海,31.77,21.76,21.76,1584209.75,1372897.88,145092.11,163787.11,0.75,0.086,4.05,2.7,20120220,468723.56,2.15,-3.77,-34.72,10.31,3.01,28694.0,2396,环旭电子,0.13,-18.75,,2.23,,14127.19,-10.5,,04-23
16,2172,澳洋科技,化纤,江苏,55.12,5.69,7.35,619664.13,310242.38,177777.5,85316.78,1.16,0.03,2.16,3.07,20070921,-6910.22,-0.09,-6.04,-62.82,8.45,1.88,44892.0,1597,澳洋科技,-0.01,-83.33,,-1.32,,-678.6,-78.99,,04-27
17,601118,海南橡胶,橡胶,海南,0.0,39.31,42.79,1455302.0,571937.94,161983.38,523386.09,1.22,-0.059,2.18,2.85,20110107,-53974.73,-0.13,-27.36,-1897.59,6.25,-23.13,108584.0,1437,海南橡胶,-0.03,-1573.68,,-1.23,,-11006.58,-1602.17,,04-28
18,600063,皖维高新,化纤,安徽,75.25,19.26,19.26,869768.81,232325.77,465749.84,159929.0,0.83,0.011,2.44,1.38,19970528,36398.23,0.19,28.05,-20.46,15.28,1.79,97390.0,1573,皖维高新,0.01,27.27,2.52,0.51,0.04,2029.32,22.0,,04-28
19,2410,广联达,软件服务,北京,143.72,8.67,11.19,481063.56,235149.02,33019.26,44423.28,0.4,0.051,2.79,10.42,20100525,129650.82,1.16,7.06,3.39,95.17,17.03,26500.0,1370,广联达,0.1,-25.2,,2.52,,7128.38,4.67,,04-28
20,300365,恒华科技,软件服务,北京,226.12,2.17,3.95,193386.13,168986.3,6713.07,78910.28,2.0,0.025,3.96,5.72,20140123,52760.73,1.34,60.29,61.84,26.82,6.15,6388.0,2093,恒华科技,0.02,-55.56,6.05,0.38,-0.5,201.18,-7.1,,04-24
21,600176,中国巨石,玻璃,浙江,18.56,35.02,35.02,2578662.0,775315.56,1392249.63,402213.5,1.15,0.17600000000000002,3.7,3.53,19990422,583253.56,1.67,34.17,31.17,45.27,24.73,64124.0,2530,中国巨石,0.21,662.72,,4.52,,18571.52,662.95,,04-22
22,300517,海波重科,建筑施工,湖北,155.08,0.41,1.02,102941.36,77299.6,8303.71,26467.35,2.58,0.039,6.06,3.97,20160719,22118.82,2.16,-26.37,-19.15,27.09,9.5,13397.0,25,海波重科,0.07,,,2.0,,557.65,,,06-06
23,600498,烽火通信,通信设备,湖北,56.04,10.32,11.14,2790185.0,2310786.0,245153.72,478814.94,4.3,0.125,8.67,3.23,20010823,335458.34,3.01,20.63,0.47,28.0,3.28,50477.0,1835,烽火通信,0.1,11.11,,1.55,,9677.23,12.08,,04-25
