,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603045,福达合金,0.63,12.68,6.21,10.46,0.24,4626.86,12.69,10派1.5,04-25
1,300454,深信服,0.73,-22.95,3.36,13.21,1.35,25755.91,-21.96,,04-25
2,603013,亚普股份,0.84,-3.45,,19.44,1.2,37644.49,-3.64,,04-16
3,603259,药明康德,1.08,176.92,,29.1,1.87,97498.03,179.39,,04-16
4,603348,文灿股份,0.94,-2.08,6.08,16.59,1.95,15470.04,2.76,10派2,04-04
5,300742,越博动力,1.45,184.31,10.43,18.83,-2.61,8186.51,210.66,,04-02
6,300743,天地数码,0.85,19.72,2.66,36.36,1.39,4143.37,18.87,,04-02
7,603733,仙鹤股份,0.45,45.16,,13.45,0.09,21230.48,53.9,,03-28
8,603876,鼎胜新材,0.91,82.0,,17.16,-1.13,33390.04,107.03,,03-27
9,603301,振德医疗,1.11,-31.48,,21.88,1.86,8284.16,4.78,,03-21
10,603897,长城科技,0.89,102.27,,21.03,0.39,11384.7,117.39,,03-19
11,603596,伯特利,0.74,60.87,,39.59,0.4,27230.98,64.12,,03-19
12,300504,天邑股份,0.78,25.81,8.32,30.45,1.55,15196.08,26.21,,03-13
13,603214,爱婴室,0.99,25.32,4.02,25.78,1.61,7398.96,24.1,,03-13
14,002931,锋龙股份,0.72,-14.29,2.61,32.01,1.01,4255.55,12.63,,03-13
15,300634,彩讯股份,0.3,20.0,2.04,13.63,0.61,9109.4,32.68,,03-06
16,002930,宏川智慧,0.46,-14.81,6.03,8.06,1.37,8396.85,4.79,,03-05
17,600929,湖南盐业,0.18,-31.96,,8.61,0.41,13859.31,-31.95,,03-05
18,603059,倍加洁,1.13,32.94,,30.89,1.32,6781.81,33.01,,02-07
19,002928,华夏航空,0.96,-68.21,2.21,55.56,2.11,34576.95,43.04,,02-06
20,002929,润建通信,1.1,4.76,,26.88,-0.47,17881.52,23.23,,02-05
21,300741,华宝股份,2.46,,8.06,22.61,2.07,126337.31,-4.77,,02-05
22,603680,今创集团,1.7,-4.29,,30.8,0.41,64373.89,-4.29,,01-31
23,603712,七一二,0.24,,2.17,11.2,0.11,15882.06,-12.02,,01-30
24,002927,泰永长征,0.9,13.92,,22.19,0.51,6334.93,18.56,,01-30
25,603709,中源家居,1.22,11.93,2.15,69.28,1.8,7322.09,23.86,,01-25
26,300644,南京聚隆,1.68,-2.31,8.25,22.67,0.83,7866.02,4.71,,01-24
27,603871,嘉友国际,2.43,42.27,6.12,41.55,3.06,14576.68,42.27,,01-23
28,603156,养元饮品,5.54,4.61,,46.73,4.85,274069.42,4.61,,01-22
29,300740,御家汇,0.62,,3.09,27.59,-0.61,7377.08,38.8,,01-22
30,603516,淳中科技,1.17,50.0,3.44,42.86,0.5,8133.99,68.82,10派5.8,01-15
31,300739,明阳电路,1.41,,4.79,33.1,1.4,12313.42,106.61,,01-15
32,300737,科顺股份,0.63,43.18,2.75,31.47,0.27,26444.63,60.37,10派0.7,01-08
33,603895,天永智能,1.09,,,31.84,-1.0,6309.16,4.33,,01-08
34,300738,奥飞数据,1.17,74.63,4.24,35.4,0.65,5556.97,107.33,,01-08
35,603356,华菱精工,0.64,25.49,2.86,23.73,0.07,6391.45,24.87,,01-03
36,002925,盈趣科技,1.17,172.09,,72.25,1.5,44547.57,170.33,,12-26
37,300736,百华悦邦,1.16,17.17,4.81,26.28,1.92,4725.02,17.9,10派8,12-26
38,002923,润都股份,1.17,23.16,5.31,24.68,1.25,8746.58,22.9,,12-18
39,300664,鹏鹞环保,0.66,49.66,,14.04,1.34,26285.96,49.8,,12-18
40,002921,联诚精密,0.79,9.72,,11.76,1.35,4745.96,9.7,,12-13
41,603080,新疆火炬,1.12,10.89,4.19,30.8,0.81,11850.95,20.18,,12-12
42,002922,伊戈尔,0.72,-49.3,4.44,16.52,0.76,7162.94,-43.46,,12-12
43,603329,上海雅仕,0.66,-13.16,,18.4,0.4,6484.65,-14.32,,12-12
44,300735,光弘科技,0.61,52.5,2.3,31.52,0.55,15419.47,62.01,,12-11
45,603655,朗博科技,0.38,-28.3,3.58,11.18,0.24,3018.19,-11.6,,12-11
