,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,002575,群兴玩具,44.5911,44.5911,1895.4149,2267.0339,98.8017,1.1983
1,300223,北京君正,49.6307,43.5101,237.1399,-2664.3572,97.2395,2.7605
2,603336,宏辉果蔬,36.7954,23.1163,444.6275,958.5673,97.193,2.807
3,600527,江南高纤,27.0362,21.4422,1825.3713,-4132.2668,96.7635,3.2365
4,600868,梅雁吉祥,3.4696,3.4696,274.595,-706.7691,96.7122,3.2878
5,000831,五矿稀土,22.916999999999998,12.3223,574.0275,-1159.3432,96.4788,3.5212
6,300333,兆日科技,17.7864,16.3022,1029.1271,-288.1024,96.3976,3.6024
7,000503,海虹控股,17.1498,17.1476,1141.7023,161.2234,96.1587,3.8413
8,300081,恒信东方,16.9344,15.5214,1278.1984,-1992.6069,95.8859,4.1141
9,300642,透景生命,23.8557,21.7277,1906.0207,-2130.5048,95.7967,4.2033
10,000416,民生控股,17.2055,17.2054,1067.6475,14897.4962,95.7623,4.2377
11,300235,方直科技,18.4244,18.0429,722.5377,-189.1112,95.6896,4.3104
12,600867,通化东宝,12.8008,7.2352,192.2633,7051.4607,95.4701,4.5299
13,300042,朗科科技,16.8553,15.9924,426.7509,-1770.6616,95.4683,4.5317
14,300701,森霸传感,19.9951,19.0112,183.5028,312785.3936,95.3532,4.6468
15,002820,桂发祥,19.0802,18.0156,1666.8441,-118739.8859,95.3493,4.6507
16,600381,青海春天,43.403,33.8548,494.2549,-6437.8106,95.3264,4.6736
17,300656,民德电子,20.8237,18.9945,116.3866,-6969.0565,95.2308,4.7692
18,300628,亿联网络,19.3083,18.0835,59.5197,2654.5175,95.0757,4.9243
19,600212,江泉实业,6.1366,6.0567,329.1671,-13134.5497,94.8809,5.1191
20,300494,盛天网络,17.0045,16.9957,1457.0287,-1173.9452,94.7389,5.2611
21,300726,宏达电子,18.5408,15.8661,747.7281,-6564.6993,94.635,5.365
22,300267,尔康制药,11.1347,8.2593,576.7961,3089.9592,94.609,5.391
23,300485,赛升药业,12.8872,11.8231,1103.5951,-29885.7902,94.5418,5.4582
24,300127,银河磁体,15.7123,14.01,218.3169,3539.8432,94.5112,5.4888
25,300357,我武生物,15.5568,15.0869,440.3174,-5706.0388,94.4533,5.5467
26,603696,安记食品,11.8945,11.0477,638.6096,-649.1839,94.2163,5.7837
27,603189,网达软件,20.5999,19.9167,1046.7355,-198.4002,94.1377,5.8623
28,000096,广聚能源,11.5089,11.3326,1024.7807,-523.9204,94.07,5.93
29,000971,高升控股,4.2330000000000005,4.2330000000000005,271.9224,-10720.803,94.0579,5.9421
30,600506,香梨股份,19.0837,15.412,584.4909,-2083.1488,93.9773,6.0227
31,000623,吉林敖东,3.1776,2.6841,123.089,-5762.8456,93.9694,6.0306
32,300377,赢时胜,8.9684,8.9544,478.3824,-1142.9748,93.9031,6.0969
33,603896,寿仙谷,10.0626,7.7174,185.6028,5728.4432,93.8904,6.1096
34,603688,石英股份,10.9263,9.3725,256.8347,4434.9753,93.8565,6.1435
35,300191,潜能恒信,12.3895,12.3895,688.2543,-1583.0977,93.8192,6.1808
36,002038,双鹭药业,12.2285,11.1242,576.29,-3302.8348,93.7695,6.2305
37,300016,北陆药业,9.5757,7.3559,458.0467,-18838.601000000002,93.7198,6.2802
38,603615,茶花股份,11.7455,9.9253,868.6319,-1230.9575,93.6108,6.3892
39,000038,深大通,9.2928,9.2926,542.2172,-1084.6359,93.50200000000001,6.497999999999999
40,300685,艾德生物,13.0272,12.7791,429.27,3006.1634,93.4307,6.5693
41,600883,博闻科技,17.8048,17.3856,1463.609,-1005.3144,93.4199,6.5801
42,300443,金雷风电,9.7787,8.052,291.1911,952.7725,93.3441,6.6559
43,000975,银泰资源,9.9539,9.4181,29.5133,-3354.1726,93.272,6.728
44,002015,霞客环保,10.2941,5.1425,285.4812,5966.4233,93.2716,6.7284
45,300143,星普医科,2.4884,2.2649,154.8676,-65480.4997,93.1657,6.8343
46,000722,湖南发展,12.1195,11.1186,836.9117,2781.3512,93.1505,6.8495
47,300054,鼎龙股份,9.3449,8.2799,416.3089,1964.6559,93.0237,6.9763
48,002540,亚太科技,10.663,9.5958,105.3326,6374.2208,93.0226,6.9774
49,603938,三孚股份,10.0466,8.6947,67.78,13759.0428,92.9529,7.0471
50,002379,宏创控股,7.9074,6.9685,307.884,1795.9727,92.8855,7.1145
51,002502,骅威文化,6.787000000000001,5.5339,373.2004,-3396.8553,92.8785,7.1215
52,603508,思维列控,11.6124,10.3733,88.1446,-1487.2298,92.8223,7.1777
53,002007,华兰生物,9.7266,6.5167,54.6052,-12330.9363,92.7722,7.2278
54,300522,世名科技,10.6997,9.3132,298.9167,-20990.4641,92.7613,7.2387
55,002495,佳隆股份,6.2312,5.5114,515.7426,-838.8996,92.7177,7.2823
56,600573,惠泉啤酒,8.774,6.9665,609.4557,-5324.5633,92.7176,7.2824
57,603655,朗博科技,9.4251,8.9087,533.4714,15870.996000000001,92.6735,7.3265
58,002669,康达新材,9.3582,8.6451,351.4234,-549.6422,92.6534,7.3466
59,300379,东方通,8.6185,8.3168,543.1679,3369.1452,92.6467,7.3533
60,002802,洪汇新材,12.1924,11.3645,165.2717,5767.1628,92.6411,7.3589
61,603758,秦安股份,6.8182,5.0669,354.5682,21758.8476,92.5991,7.4009
62,600009,上海机场,4.8977,4.8886,425.8391,-3896.3981,92.4979,7.5021
63,002729,好利来,6.0495,4.8179,207.8178,3056.8694,92.4358,7.5642
64,300720,海川智能,9.0349,7.7016,207.9832,2083.6102,92.3028,7.6972
65,002827,高争民爆,7.6242,7.3298,663.7180000000001,-15475.4675,92.2997,7.7003
66,300718,长盛轴承,9.5961,8.8409,141.9207,-8932.8701,92.292,7.707999999999999
67,603585,苏利股份,10.1756,8.8146,690.5297,2655.6757,92.2773,7.7227
68,600714,金瑞矿业,13.0075,12.0403,624.0717,802.0685,92.2262,7.7738
69,000688,建新矿业,6.4495,5.8387,505.0288,-9431.4936,92.2115,7.7885
70,300175,朗源股份,8.543,4.3729,203.8331,1103.0688,92.2067,7.7933
71,300446,乐凯新材,15.8322,14.5502,97.4705,-5637.6939,92.2036,7.7964
72,002862,实丰文化,8.8432,7.8436,362.1112,868.9741,92.1447,7.8553
73,603036,如通股份,15.6897,13.3571,992.5912,-1621.4232,92.1251,7.8749
74,002884,凌霄泵业,12.9424,10.4213,208.8042,7231.733,92.1144,7.8856
75,603826,坤彩科技,9.0064,5.8734,123.8105,2098.7470000000003,92.1016,7.8984
76,300371,汇中股份,9.1884,8.279,294.7758,-3618.9969,92.0652,7.9348
77,300099,精准信息,6.7214,6.087000000000001,195.4693,-1883.4631,92.0398,7.9602
78,002868,绿康生化,9.7459,9.0521,140.9778,2038.9771,91.9914,8.0086
79,300346,南大光电,16.1067,14.6235,150.4398,2641.4441,91.9874,8.0126
80,300741,华宝股份,9.1945,8.5446,652.6816,-1909.8078,91.90700000000001,8.093
81,300401,花园生物,7.9447,6.0889,402.8823,2014.5706,91.8473,8.1527
82,300214,日科化学,7.7238,6.724,96.5512,1132.7756,91.7752,8.2248
83,300679,电连技术,10.7637,10.2472,822.3429,27913.806,91.7744,8.2256
