,code,name,mbrg,nprg,nav,targ,epsg,seg
0,600609,金杯汽车,20.1821,50580.3461,30.0687,-47.6768,-148.4211,279.4241
1,000923,河北宣工,1970.1821,24064.1168,2072.7238,863.5964,4921.6981,1507.5065
2,000571,新大洲A,84.2019,14411.9805,-0.2026,3.7183,-34.900999999999996,-0.892
3,600516,方大炭素,248.6204,13132.3664,68.4229,73.1959,5175.0,66.255
4,601101,昊华能源,9.2571,5629.7287,8.1735,1.4037,-5300.0,12.4828
5,000016,深康佳A,53.8363,5418.6486,147.0451,36.6269,5189.9244,175.5194
6,300338,开元股份,187.6704,4201.6028,180.3039,212.6854,1994.0171,179.2122
7,300006,莱美药业,29.4738,3575.6899,2.9049,10.315,655.5556,4.0005
8,600760,中航沈飞,1585.6044,3510.7988,1176.635,1453.5845,537.5,1524.0039
9,600781,辅仁药业,1070.2094,3387.6289,976.6923,676.1664,840.0,1146.0054
10,603799,华友钴业,97.4322,3145.1941,38.9892,56.6955,2361.5385,38.5113
11,600528,中铁工业,-68.9986,3094.4838,128.0764,-43.6539,447.8261,134.1328
12,600581,八一钢铁,69.4351,3047.8638,52.0256,68.9256,3075.0,52.0256
13,000736,中交地产,176.6736,2919.4765,51.4393,88.8669,5100.0,43.7467
14,300391,康跃科技,216.8422,2841.8333,157.3545,163.1918,1138.0,158.3233
15,600793,宜宾纸业,160.2873,2809.3028,173.6782,0.131,2807.6159,173.6782
16,600971,恒源煤电,41.3041,2666.009,21.5648,5.1618,2650.0,22.0014
17,300081,恒信东方,1.7748,2559.1431,95.6132,84.7219,430.61800000000005,98.7899
18,000717,韶钢松山,86.3488,2381.1339,548.3351,-3.7406,2500.25,548.3351
19,000567,海德股份,355.7988,2360.5945,34.6636,180.1194,2359.8985,34.6636
20,600010,包钢股份,73.016,2309.0349,4.4179,3.6784,1638.4615,4.4496
21,600189,吉林森工,167.1845,1907.2726,81.2696,52.0837,-25.0,78.3332
22,002723,金莱特,28.1502,1688.0576,1.9302,-0.6649,16.4306,1.9302
23,000976,华铁股份,-6.6614,1635.9527,14.5546,10.08,1450.0,14.5028
24,002061,浙江交科,469.5746,1630.9254,244.9194,444.7515,625.0,236.7163
25,300308,中际旭创,1690.8195,1506.3587,620.7604,1135.4632,900.0,620.7604
26,600307,酒钢宏兴,16.7935,1489.0614,3.9732,5.3581,409.0909,4.8142
27,000711,京蓝科技,292.3356,1484.5739999999998,45.401,113.256,616.6667,42.8156
28,600097,开创国际,55.6028,1465.3282,86.0946,3.7517,1175.0,87.0865
29,600569,安阳钢铁,22.6124,1382.1891,22.1144,2.2894,1211.7647,33.4426
30,000877,天山股份,41.5598,1382.1808,21.9181,-0.0309,165.4321,25.37
31,002164,宁波东力,2399.8365,1327.2023,213.5469,853.77,866.6667,212.7938
32,600881,亚泰集团,60.3407,1280.0436,33.3112,12.0682,350.0,29.6565
33,600031,三一重工,64.6691,1259.6451,12.4526,-5.3891,923.5955,12.2382
34,601003,柳钢股份,55.9345,1247.0792,55.3257,10.8688,1247.9112,55.3257
35,300122,智飞生物,201.06,1229.2474,16.5106,51.5388,1250.0,16.5106
36,000980,众泰汽车,1128.4802,1204.2675,676.8705,706.4837,346.3125,679.675
37,600640,号百控股,117.5008,1201.8276,57.2566,70.4622,900.0,68.8157
38,601388,怡球资源,42.9324,1149.3237,13.9437,10.5723,1500.0,13.9436
39,600963,岳阳林纸,28.0336,1131.864,49.5424,8.5197,833.3333,49.5424
40,002034,旺能环境,71.5894,1076.4856,294.8781,352.2851,510.0,297.6295
41,000702,正虹科技,9.6272,1066.197,4.0991,10.2843,694.7368,4.2726
42,600444,国机通用,-8.5579,1049.7788,65.6018,-6.8906,987.9048,48.9293
43,002346,柘中股份,7.4386,1018.4336,28.5883,27.2182,1080.0,28.6403
44,600615,丰华股份,-10.2554,978.7827,21.7258,0.516,1051.0204,21.7023
45,600393,粤泰股份,487.1244,977.395,22.9584,49.2276,253.8462,21.6436
46,000785,武汉中商,-0.3537,964.7642,41.1949,-1.2499,14100.0,46.1387
