,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600696,ST匹凸,12700.9506,-0.0336,,-0.0628,-6.2796
1,600291,西水股份,1713.7942,0.4848,32.6566,0.5594,57.2463
2,000712,锦龙股份,434.7972,0.2358,6.1587,0.2985,35.1351
3,600715,文投控股,138.9116,0.4374,,0.3681,56.2599
4,600061,国投资本,26.7272,0.188,13.8126,0.2168,25.8038
5,603323,吴江银行,3.2354,0.057999999999999996,9.9693,0.0642,
6,300028,金亚科技,2.7129,0.4376,,0.652,66.0723
7,000046,泛海控股,2.5917,0.0551,6.2728,0.0635,11.5057
8,000727,华东科技,2.3019,0.0307,,0.0807,25.2168
9,600503,华丽家族,2.2751,0.0226,10.3491,0.0755,7.5487
10,300309,吉艾科技,2.2043,0.0806,10.5912,0.1899,19.059
11,600773,西藏城投,2.0974,0.0377,12.5294,0.0504,8.0386
12,000502,绿景控股,2.0417,0.086,,0.3354,33.5448
13,600874,创业环保,2.0384,0.1865,10.4667,0.3231,93.8577
14,600683,京投发展,1.9603,0.0416,,0.0447,6.2062
15,300059,东方财富,1.9240000000000002,0.1534,2.8992,0.1798,17.9849
16,300167,迪威迅,1.8083,0.0907,,0.2417,27.1991
17,300033,同花顺,1.4621,0.2211,2.6439,0.46,46.3726
18,000633,合金投资,1.4140000000000001,0.1686,,0.7328,617.9318
19,600643,爱建集团,1.3777,0.0236,0.7754,0.0533,9.9578
20,000611,天首发展,1.3635,0.0303,,0.1235,12.3518
21,000548,湖南投资,1.236,0.0517,,0.1966,19.6754
22,600106,重庆路桥,1.2206,0.0257,1.3199,0.0442,31.4207
23,600629,华建集团,1.2051,0.1642,,0.5503,67.4282
24,600053,九鼎投资,1.1941,0.0775,7.3427,0.1167,11.7129
25,600520,文一科技,1.1267,0.1343,,0.3327,36.6204
26,600714,金瑞矿业,1.107,0.1621,,0.2949,51.6519
27,000007,全新好,1.0872,0.1207,,0.3583,38.8573
28,600033,福建高速,1.0347,0.0685,3.1023,0.1364,29.7555
29,600767,ST运盛,1.0293,0.0186,,0.0505,5.3715
30,601016,节能风电,1.0247,0.0539,4.1202,0.07400000000000001,26.6134
31,600794,保税科技,1.0148,0.1697,6.1452,0.5146,102.7854
32,600506,香梨股份,1.0144,0.1532,,2.8308,944.1795
33,000802,北京文化,0.9826,0.0584,92.0118,0.166,52.1436
34,002039,黔源电力,0.9613,0.0568,6.2717,0.07200000000000001,63.1509
35,002133,广宇集团,0.9590000000000001,0.0643,,0.1026,13.7357
36,000005,世纪星源,0.9553,0.0258,,0.0499,5.3758
37,600598,北大荒,0.9139,0.1961,2.8938,0.5295,53.3567
38,600753,东方银星,0.8599,0.0015,,0.0032,0.3171
39,600675,中华企业,0.8473,0.0258,,0.0306,4.525
40,000975,银泰资源,0.8141,0.0459,2.0069999999999997,1.2463,126.5349
41,002549,凯美特气,0.8094,0.018000000000000002,,0.0512,7.1839
42,600025,华能水电,0.7889,0.043,2.7297,0.0547,16.2966
43,600962,国投中鲁,0.7732,0.1783,,0.3568,35.7386
44,000939,凯迪生态,0.7716,0.0335,5.5812,0.0424,6.3949
45,000415,渤海金控,0.7534,0.0371,4.0924,0.0435,12.5289
46,600638,新黄浦,0.7358,0.046,5.3448,0.0743,10.8488
47,601985,中国核电,0.7331,0.0387,2.1084,0.0517,30.8206
48,600371,万向德农,0.7271,0.1675,12.0344,0.3639,37.9427
49,600654,ST中安,0.7161,0.1012,4.4345,0.2569,28.664
50,000429,粤高速A,0.7152,0.0418,1.9382,0.0824,69.7874
51,600111,北方稀土,0.7082,0.1486,10.3867,0.4318,46.0501
52,600674,川投能源,0.6985,0.0161,0.2287,0.0601,21.8431
53,300144,宋城演艺,0.6879,0.0973,1.4140000000000001,1.2557,127.671
54,000862,银星能源,0.6624,0.0439,21.4251,0.055,47.5736
55,000791,甘肃电投,0.6607,0.0275,,0.038,20.1111
56,600886,国投电力,0.6505,0.0555,2.1323,0.0737,31.1736
57,600236,桂冠电力,0.6492,0.0913,2.2276,0.1283,43.8144
58,600692,亚通股份,0.6437,0.048,15.0826,0.0643,9.4872
59,600882,广泽股份,0.6368,0.0832,,0.4897,56.3767
60,002612,朗姿股份,0.6272,0.1097,8.2539,0.3711,37.1078
61,600611,大众交通,0.6165,0.0521,2.4445,0.135,15.5903
62,600012,皖通高速,0.61,0.0628,1.4988,0.2265,57.0077
63,300215,电科院,0.6024,0.0259,,0.0418,7.6476
64,600064,南京高科,0.5944,0.0403,1.7784,0.0759,9.2402
