,code,stock_name
0,US.A,安捷伦科技
1,US.AAL,美国航空
2,US.AAP,"Advance Auto Parts, Inc."
3,US.AAPL,苹果
4,US.ABBV,艾伯维公司
5,US.ABC,美源伯根
6,US.ABT,雅培
7,US.ACN,埃森哲
8,US.ADBE,Adobe
9,US.ADI,亚德诺
10,US.ADM,阿彻丹尼尔斯米德兰公司
11,US.ADP,自动数据处理公司
12,US.ADS,联合数据
13,US.ADSK,欧特克
14,US.AEE,阿美能
15,US.AEP,美国电力
16,US.AES,爱依斯电力
17,US.AET,安泰保险
18,US.AFL,美国家庭寿险
19,US.AGN,艾尔建
20,US.AIG,美国国际集团
21,US.AIV,公寓投管
22,US.AIZ,艾斯兰公司
23,US.AJG,亚瑟加拉格尔有限公司
24,US.AKAM,阿克迈
25,US.ALB,美国雅宝公司
26,US.ALK,阿拉斯加航空集团有限公司
27,US.ALL,好事达
28,US.ALLE,Allegion plc Ordinary Shares Whe
29,US.ALXN,亚力兄制药
30,US.AMAT,应用材料
31,US.AME,阿美特克
32,US.AMG,艾佛里管理公司
33,US.AMGN,安进
34,US.AMP,阿莫斯莱斯金融
35,US.AMT,美国电塔
36,US.AMZN,亚马逊
37,US.AN,车之国公司
38,US.ANTM,"Anthem, Inc."
39,US.AON,怡安保险
40,US.APA,阿帕契
41,US.APC,阿纳达科石油
42,US.APD,Air Products & Chemicals Inc
43,US.APH,安诺电子
44,US.ARNC,美国铝业公司
45,US.ATVI,动视暴雪
46,US.AVB,阿湾物产
47,US.AVGO,博通
48,US.AVY,艾利丹尼森
49,US.AWK,美国水务
50,US.AXP,美国运通
51,US.AYI,"Acuity Brands, Inc."
52,US.AZO,汽车地带
53,US.BA,波音
54,US.BAC,美国银行
55,US.BAX,百特国际
56,US.BBBY,3B家居
57,US.BBT,BB&T银行
58,US.BBY,百思买
59,US.BCR,巴德
60,US.BDX,碧迪公司
61,US.BEN,富兰克林资源
62,US.BHI,贝克休斯
63,US.BIIB,生化基因
64,US.BK,纽约梅隆银行
65,US.BLK,贝莱德
66,US.BLL,波尔
67,US.BMY,施贵宝
68,US.BSX,波士顿科学
69,US.BWA,博格华纳
70,US.BXP,波士顿物产
71,US.C,花旗
72,US.CA,联合电脑
73,US.CAG,康尼格拉
74,US.CAH,卡迪纳医药
75,US.CAT,卡特彼勒
76,US.CB,丘博保险
77,US.CBG,世邦魏理仕
78,US.CBS,哥伦比亚广播
79,US.CCI,冠城
80,US.CCL,嘉年华邮轮
81,US.CELG,新基公司
82,US.CERN,美国塞纳
83,US.CF,CF实业
84,US.CFG,"Citizens Financial Group, Inc. (Rhode Island)"
85,US.CHD,丘奇&德怀特
86,US.CHK,切萨皮克能源
87,US.CHRW,罗宾逊物流
88,US.CHTR,特许通讯公司
89,US.CI,信诺
90,US.CINF,辛市金融
91,US.CL,高露洁
92,US.CLX,高乐氏
93,US.CMA,联信银行
94,US.CMCSA,康卡斯特
95,US.CME,芝加哥商品交易所
96,US.CMG,墨式烧烤
97,US.CMI,康明斯
98,US.CMS,CMS能源
99,US.CNC,Centene Corp.
100,US.CNP,中点能源
101,US.COF,第一资本
102,US.COG,卡伯特油气
103,US.COH,蔻驰
104,US.COL,罗柯
105,US.COO,库珀医疗
106,US.COP,康菲石油
107,US.COST,好市多
108,US.COTY,科蒂
109,US.CPB,康宝浓汤
110,US.CRM,赛富时公司
111,US.CSCO,思科
112,US.CSRA,"CSRA, Inc."
113,US.CSX,CSX运输
114,US.CTAS,信达思
115,US.CTL,世纪电信
116,US.CTSH,高知特
117,US.CTXS,思杰系统
118,US.CVS,CVS健康
119,US.CVX,雪佛龙
120,US.CXO,康休
121,US.D,道明尼资源
122,US.DAL,达美航空
123,US.DD,杜邦
124,US.DE,迪尔股份有限公司
125,US.DFS,发现金融
126,US.DG,美国达乐公司
127,US.DGX,奎斯特诊疗
128,US.DHI,霍顿房屋
129,US.DHR,丹纳赫
130,US.DIS,迪士尼
131,US.DISCA,探索传播
132,US.DISCK,探索传播C类股
133,US.DLPH,德尔福
134,US.DLR,数字房地产信托公司
135,US.DLTR,美元树公司
136,US.DNB,邓白氏
137,US.DOV,美国都福集团
138,US.DOW,陶氏化学
139,US.DPS,澎泉
140,US.DRI,达登饭店
141,US.DTE,DTE能源
142,US.DUK,杜克能源
143,US.DVA,DaVita Inc.
144,US.DVN,戴文能源
145,US.EA,电子艺界
146,US.EBAY,电子海湾公司
147,US.ECL,艺康集团
148,US.ED,爱迪生联合电气
149,US.EFX,艾可菲
150,US.EIX,爱迪生国际
151,US.EL,雅诗兰黛
152,US.EMN,伊士曼化工
153,US.EMR,艾默生电气
154,US.ENDP,远藤制药
155,US.EOG,依欧格资源
156,US.EQIX,易昆尼克斯
157,US.EQR,资产住宅公司
158,US.EQT,EQT能源 公平能源
159,US.ES,能源方案
160,US.ESRX,快捷药方
161,US.ESS,埃塞克斯信托
162,US.ETFC,亿创理财
163,US.ETN,伊顿
164,US.ETR,安特吉
165,US.EVHC,"Envision Healthcare Holdings, Inc."
166,US.EW,爱德华兹
167,US.EXC,爱克斯龙
168,US.EXPD,康捷国际物流
169,US.EXPE,"Expedia Group, Inc."
170,US.EXR,"Extra Space Storage, Inc."
171,US.F,福特汽车
172,US.FAST,快扣
173,US.FB,Facebook
174,US.FBHS,"Fortune Brands Home & Security, Inc."
175,US.FCX,麦克莫兰銅金
176,US.FDX,联邦快递
177,US.FE,第一能源公司
178,US.FFIV,F5网络
179,US.FIS,繁德信息技术
180,US.FISV,费哲金融服务
181,US.FITB,五三银行
182,US.FL,富乐客
183,US.FLIR,菲利尔系统
184,US.FLR,福陆
185,US.FLS,福斯
186,US.FMC,FMC公司
187,US.FOX,21世纪福克斯公司
188,US.FOXA,21世纪福克斯公司
189,US.FRT,FRT信托
190,US.FSLR,第一太阳能
191,US.FTI,FMC能源设备公司
192,US.FTR,Fromtier通信B系列
193,US.FTV,Fortive Corp
194,US.GD,通用动力
195,US.GE,通用电气
196,US.GGP,通用增长物业公司
197,US.GILD,吉利德科学
198,US.GIS,通用磨坊
199,US.GLW,康宁
200,US.GM,通用汽车
201,US.GOOG,谷歌
202,US.GOOGL,谷歌A
203,US.GPC,纯正部件公司
204,US.GPN,环汇有限公司
205,US.GPS,盖璞
206,US.GRMN,佳明
207,US.GS,高盛
208,US.GT,固特异轮胎橡胶公司
209,US.GWW,美国固安捷
210,US.HAL,哈里伯顿
211,US.HAS,孩之宝
212,US.HBAN,亨廷顿银行
213,US.HBI,哈尼斯品牌服装
214,US.HCA,HCA控股
215,US.HCN,HCN房产信托
216,US.HCP,HCP房产信托
217,US.HD,家得宝
218,US.HES,赫斯
219,US.HIG,美国哈特福德金融
220,US.HOG,哈雷戴维森
221,US.HOLX,上巨实业医疗
222,US.HON,霍尼韦尔
223,US.HP,赫尔默里奇和佩恩材料
224,US.HPE,惠普企业
225,US.HPQ,惠普
226,US.HRB,H & R布洛克税务公司
227,US.HRL,荷美尔
228,US.HRS,哈里斯通讯
229,US.HSIC,亨利香恩服务
230,US.HST,美国豪斯特酒店
231,US.HSY,好时
232,US.HUM,休曼纳
233,US.IBM,IBM Corp
234,US.ICE,洲际交易所
235,US.IFF,国际香料香精
236,US.ILMN,"Illumina, Inc."
237,US.INTC,英特尔
238,US.INTU,财捷
239,US.IP,国际纸业公司
240,US.IPG,埃培智
241,US.IR,英格索兰
242,US.IRM,爱恩铁山
243,US.ISRG,直觉外科公司
244,US.ITW,伊利诺伊机械
245,US.IVZ,美国景顺集团
246,US.JBHT,JB Hunt运输服务
247,US.JCI,江森自控
248,US.JEC,雅各布工程集团
249,US.JNJ,强生
250,US.JNPR,瞻博网络
251,US.JPM,摩根大通
252,US.JWN,诺德斯特龙
253,US.K,家乐氏
254,US.KEY,KeyCorp
255,US.KHC,卡夫亨氏
256,US.KIM,金科
257,US.KLAC,科磊
258,US.KMB,金伯利
259,US.KMI,金德尔摩根
260,US.KMX,车美仕
261,US.KO,可口可乐
262,US.KORS,迈克高仕
263,US.KR,克罗格
264,US.KSS,柯尔百货
265,US.KSU,堪萨斯南方铁路
266,US.L,洛斯公司
267,US.LB,L Brands Inc
268,US.LEG,礼恩派
269,US.LEN,莱纳建筑公司
270,US.LH,实验美控
271,US.LKQ,LKQ Corp.
272,US.LLL,"L3 Technologies, Inc."
273,US.LLTC,凌力尔特
274,US.LLY,礼来
275,US.LMT,洛克希德马丁
276,US.LNC,林肯国民
277,US.LNT,美国联合能源
278,US.LOW,劳氏
279,US.LRCX,拉姆研究
280,US.LUK,露卡迪亚
281,US.LUV,西南航空
282,US.LVLT,第三级通讯
283,US.LYB,利安德巴塞尔
284,US.M,梅西百货
285,US.MA,万事达
286,US.MAA,MAA房产信托
287,US.MAC,马塞里奇房产
