 code stock_name
0 SZ.000001 平安银行
1 SZ.000002 万科A
2 SZ.000060 中金岭南
3 SZ.000063 中兴通讯
4 SZ.000069 华侨城A
5 SZ.000100 TCL集团
6 SZ.000157 中联重科
7 SZ.000166 申万宏源
8 SZ.000333 美的集团
9 SZ.000338 潍柴动力
10 SZ.000402 金融街
11 SZ.000413 东旭光电
12 SZ.000415 渤海金控
13 SZ.000423 东阿阿胶
14 SZ.000425 徐工机械
15 SZ.000503 国新健康
16 SZ.000538 云南白药
17 SZ.000540 中天金融
18 SZ.000559 万向钱潮
19 SZ.000568 泸州老窖
20 SZ.000623 吉林敖东
21 SZ.000625 长安汽车
22 SZ.000627 天茂集团
23 SZ.000630 铜陵有色
24 SZ.000651 格力电器
25 SZ.000671 阳光城
26 SZ.000709 河钢股份
27 SZ.000723 美锦能源
28 SZ.000725 京东方A
29 SZ.000728 国元证券
30 SZ.000768 中航飞机
31 SZ.000776 广发证券
32 SZ.000783 长江证券
33 SZ.000786 北新建材
34 SZ.000792 盐湖股份
35 SZ.000826 启迪桑德
36 SZ.000839 中信国安
37 SZ.000858 五粮液
38 SZ.000876 新希望
39 SZ.000895 双汇发展
40 SZ.000898 鞍钢股份
41 SZ.000938 紫光股份
42 SZ.000959 首钢股份
43 SZ.000961 中南建设
44 SZ.000963 华东医药
45 SZ.000983 西山煤电
46 SZ.001965 招商公路
47 SZ.001979 招商蛇口
48 SZ.002007 华兰生物
49 SZ.002008 大族激光
50 SZ.002024 苏宁易购
51 SZ.002027 分众传媒
52 SZ.002044 美年健康
53 SZ.002050 三花智控
54 SZ.002065 东华软件
55 SZ.002074 国轩高科
56 SZ.002081 金螳螂
57 SZ.002085 万丰奥威
58 SZ.002142 宁波银行
59 SZ.002146 荣盛发展
60 SZ.002153 石基信息
61 SZ.002202 金风科技
62 SZ.002230 科大讯飞
63 SZ.002236 大华股份
64 SZ.002241 歌尔股份
65 SZ.002252 上海莱士
66 SZ.002294 信立泰
67 SZ.002304 洋河股份
68 SZ.002310 东方园林
69 SZ.002352 顺丰控股
70 SZ.002385 大北农
71 SZ.002411 必康股份
72 SZ.002415 海康威视
73 SZ.002450 康得新
74 SZ.002456 欧菲科技
75 SZ.002460 赣锋锂业
76 SZ.002466 天齐锂业
77 SZ.002468 申通快递
78 SZ.002470 金正大
79 SZ.002475 立讯精密
80 SZ.002493 荣盛石化
81 SZ.002500 山西证券
82 SZ.002508 老板电器
83 SZ.002555 三七互娱
84 SZ.002558 巨人网络
85 SZ.002572 索菲亚
86 SZ.002594 比亚迪
87 SZ.002601 龙蟒佰利
88 SZ.002602 世纪华通
89 SZ.002608 江苏国信
90 SZ.002624 完美世界
91 SZ.002625 光启技术
92 SZ.002673 西部证券
93 SZ.002714 牧原股份
94 SZ.002736 国信证券
95 SZ.002739 万达电影
96 SZ.002797 第一创业
97 SZ.002925 盈趣科技
98 SZ.300003 乐普医疗
99 SZ.300015 爱尔眼科
100 SZ.300017 网宿科技
101 SZ.300024 机器人
102 SZ.300027 华谊兄弟
103 SZ.300033 同花顺
104 SZ.300059 东方财富
105 SZ.300070 碧水源
106 SZ.300072 三聚环保
107 SZ.300122 智飞生物
108 SZ.300124 汇川技术
109 SZ.300136 信维通信
110 SZ.300144 宋城演艺
111 SZ.300251 光线传媒
112 SZ.300408 三环集团
113 SZ.300433 蓝思科技
114 SH.600000 浦发银行
115 SH.600008 首创股份
116 SH.600009 上海机场
117 SH.600010 包钢股份
118 SH.600011 华能国际
119 SH.600015 华夏银行
120 SH.600016 民生银行
121 SH.600018 上港集团
122 SH.600019 宝钢股份
123 SH.600023 浙能电力
124 SH.600025 华能水电
125 SH.600028 中国石化
126 SH.600029 南方航空
127 SH.600030 中信证券
128 SH.600031 三一重工
129 SH.600036 招商银行
130 SH.600038 中直股份
131 SH.600048 保利地产
132 SH.600050 中国联通
133 SH.600061 国投资本
134 SH.600066 宇通客车
135 SH.600068 葛洲坝
136 SH.600085 同仁堂
137 SH.600089 特变电工
138 SH.600100 同方股份
139 SH.600104 上汽集团
140 SH.600109 国金证券
141 SH.600111 北方稀土
142 SH.600115 东方航空
143 SH.600118 中国卫星
144 SH.600153 建发股份
145 SH.600157 永泰能源
146 SH.600170 上海建工
147 SH.600176 中国巨石
148 SH.600177 雅戈尔
149 SH.600188 兖州煤业
150 SH.600196 复星医药
151 SH.600208 新湖中宝
152 SH.600219 南山铝业
153 SH.600221 海航控股
154 SH.600233 圆通速递
155 SH.600271 航天信息
156 SH.600276 恒瑞医药
157 SH.600297 广汇汽车
158 SH.600309 万华化学
159 SH.600332 白云山
160 SH.600339 中油工程
161 SH.600340 华夏幸福
162 SH.600346 恒力股份
163 SH.600352 浙江龙盛
164 SH.600362 江西铜业
165 SH.600369 西南证券
166 SH.600372 中航电子
167 SH.600373 中文传媒
168 SH.600376 首开股份
169 SH.600383 金地集团
170 SH.600390 五矿资本
171 SH.600398 海澜之家
172 SH.600406 国电南瑞
173 SH.600415 小商品城
174 SH.600436 片仔癀
175 SH.600438 通威股份
176 SH.600482 中国动力
177 SH.600487 亨通光电
178 SH.600489 中金黄金
179 SH.600498 烽火通信
180 SH.600516 方大炭素
181 SH.600518 康美药业
182 SH.600519 贵州茅台
183 SH.600522 中天科技
184 SH.600535 天士力
185 SH.600547 山东黄金
186 SH.600549 厦门钨业
187 SH.600570 恒生电子
188 SH.600583 海油工程
189 SH.600585 海螺水泥
190 SH.600588 用友网络
191 SH.600606 绿地控股
192 SH.600637 东方明珠
193 SH.600660 福耀玻璃
194 SH.600663 陆家嘴
195 SH.600674 川投能源
196 SH.600682 南京新百
197 SH.600688 上海石化
198 SH.600690 青岛海尔
199 SH.600703 三安光电
200 SH.600704 物产中大
201 SH.600705 中航资本
202 SH.600739 XD辽宁成
203 SH.600741 华域汽车
204 SH.600795 国电电力
205 SH.600804 鹏博士
206 SH.600809 山西汾酒
207 SH.600816 安信信托
208 SH.600820 隧道股份
209 SH.600837 海通证券
210 SH.600867 通化东宝
211 SH.600886 国投电力
212 SH.600887 伊利股份
213 SH.600893 航发动力
214 SH.600900 长江电力
215 SH.600909 华安证券
216 SH.600919 江苏银行
217 SH.600926 DR杭州银
218 SH.600958 东方证券
219 SH.600959 江苏有线
220 SH.600977 中国电影
221 SH.600999 招商证券
222 SH.601006 大秦铁路
223 SH.601009 南京银行
224 SH.601012 隆基股份
225 SH.601018 宁波港
226 SH.601021 春秋航空
227 SH.601088 中国神华
228 SH.601099 太平洋
229 SH.601108 财通证券
230 SH.601111 XD中国国
231 SH.601117 中国化学
232 SH.601155 新城控股
233 SH.601166 兴业银行
234 SH.601169 北京银行
235 SH.601186 中国铁建
236 SH.601198 东兴证券
237 SH.601211 国泰君安
238 SH.601212 白银有色
239 SH.601216 君正集团
240 SH.601225 陕西煤业
241 SH.601228 广州港
242 SH.601229 上海银行
