 code name
0 SH.000000 060001
1 SH.000001 上证指数
2 SH.000002 A股指数
3 SH.000003 B股指数
4 SH.000004 工业指数
5 SH.000005 商业指数
6 SH.000006 地产指数
7 SH.000007 公用指数
8 SH.000008 综合指数
9 SH.000009 上证380
10 SH.000010 上证180
11 SH.000011 基金指数
12 SH.000012 国债指数
13 SH.000013 企债指数
14 SH.000015 红利指数
15 SH.000016 上证50
16 SH.000017 新综指
17 SH.000018 180金融
18 SH.000019 治理指数
19 SH.000020 中型综指
20 SH.000021 180治理
21 SH.000022 沪公司债
22 SH.000023 沪分离债
23 SH.000025 180基建
24 SH.000026 180资源
25 SH.000027 180运输
26 SH.000028 180成长
27 SH.000029 180价值
28 SH.000030 180R成长
29 SH.000031 180R价值
30 SH.000032 上证能源
31 SH.000033 上证材料
32 SH.000034 上证工业
33 SH.000035 上证可选
34 SH.000036 上证消费
35 SH.000037 上证医药
36 SH.000038 上证金融
37 SH.000039 上证信息
38 SH.000040 上证电信
39 SH.000041 上证公用
40 SH.000042 上证央企
41 SH.000043 超大盘
42 SH.000044 上证中盘
43 SH.000045 上证小盘
44 SH.000046 上证中小
45 SH.000047 上证全指
46 SH.000048 责任指数
47 SH.000049 上证民企
48 SH.000050 50等权
49 SH.000051 180等权
50 SH.000052 50基本
51 SH.000053 180基本
52 SH.000054 上证海外
53 SH.000055 上证地企
54 SH.000056 上证国企
55 SH.000057 全指成长
56 SH.000058 全指价值
57 SH.000059 全R成长
58 SH.000060 全R价值
59 SH.000061 沪企债30
60 SH.000062 上证沪企
61 SH.000063 上证周期
62 SH.000064 非周期
63 SH.000065 上证龙头
64 SH.000066 上证商品
65 SH.000067 上证新兴
66 SH.000068 上证资源
67 SH.000069 消费80
68 SH.000070 能源等权
69 SH.000071 材料等权
70 SH.000072 工业等权
71 SH.000073 可选等权
72 SH.000074 消费等权
73 SH.000075 医药等权
74 SH.000076 金融等权
75 SH.000077 信息等权
76 SH.000078 电信等权
77 SH.000079 公用等权
78 SH.000090 上证流通
79 SH.000091 沪财中小
