id,code,stock_name,industry,market,operation,useropenid
1,SZ.000598,兴蓉环境,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
2,SZ.000627,天茂集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
3,SZ.000676,智度股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
4,SZ.000686,东北证券,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
5,SZ.000690,宝新能源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
6,SH.600057,厦门象屿,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
7,SH.600085,同仁堂,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
8,SH.600118,中国卫星,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
9,SH.600170,上海建工,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
10,SH.600269,赣粤高速,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
11,SH.600312,平高电气,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
12,SH.600369,西南证券,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
14,SH.600705,中航资本,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
15,SH.600879,航天电子,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
16,SH.600893,航发动力,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
17,SH.600521,华海药业,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
18,SH.600570,恒生电子,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
19,SH.601390,中国中铁,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
20,SH.601918,新集能源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
21,SH.601375,中原证券,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
22,SH.601288,农业银行,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
23,SZ.002303,美盈森,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
24,SH.601179,中国西电,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
25,SZ.002460,赣锋锂业,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
26,SZ.002681,奋达科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
27,SH.601608,中信重工,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
28,SZ.000666,经纬纺机,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
29,SZ.000887,中鼎股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
30,SZ.000988,华工科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
31,SH.600008,首创股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
32,SH.600011,华能国际,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
33,SH.600028,中国石化,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
34,SH.600037,歌华有线,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
35,SH.600125,铁龙物流,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
36,SH.600252,中恒集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
37,SH.600316,洪都航空,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
38,SH.600366,宁波韵升,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
39,SH.600380,健康元,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
40,SH.600400,红豆股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
41,SH.600640,号百控股,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
42,SH.601607,上海医药,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
43,SH.600575,皖江物流,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
44,SH.600502,安徽水利,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
45,SH.600967,内蒙一机,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
46,SH.600022,山东钢铁,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
