id,code,stock_name
1,SZ.300357,我武生物
2,SZ.002507,涪陵榨菜
3,SZ.002677,浙江美大
4,SH.600436,片仔癀
5,SH.603025,大豪科技
6,SH.600801,华新水泥
7,SZ.000301,东方市场
8,SH.600393,粤泰股份
9,SH.603005,晶方科技
10,SZ.300529,健帆生物
11,SH.601007,金陵饭店
12,SZ.002901,大博医疗
13,SZ.300487,蓝晓科技
14,SH.600309,万华化学
15,SH.600690,青岛海尔
16,SZ.000068,华控赛格
17,SZ.300451,创业软件
18,SH.600588,用友网络
19,SZ.002282,博深工具
20,SZ.002555,三七互娱
21,SZ.002762,金发拉比
22,SZ.300084,海默科技
23,SH.600452,涪陵电力
24,SZ.000042,中洲控股
25,SZ.300355,蒙草生态
26,SH.603568,伟明环保
27,SH.600018,上港集团
28,SZ.000975,银泰资源
29,SH.600774,汉商集团
30,SZ.000333,美的集团
31,SZ.300567,精测电子
32,SZ.000685,中山公用
33,SZ.002448,中原内配
34,SZ.300469,信息发展
35,SH.601155,新城控股
36,SH.600633,浙数文化
37,SH.600657,信达地产
38,SZ.000651,格力电器
39,SH.603558,健盛集团
40,SZ.002339,积成电子
41,SH.600516,方大炭素
42,SZ.000998,隆平高科
43,SH.601811,新华文轩
44,SZ.002351,漫步者
45,SZ.300146,汤臣倍健
46,SH.600080,金花股份
47,SZ.300016,北陆药业
48,SZ.002683,宏大爆破
49,SZ.002440,闰土股份
50,SH.600481,双良节能
51,SH.600406,国电南瑞
52,SZ.300096,易联众
53,SZ.002008,大族激光
54,SZ.002696,百洋股份
55,SH.603222,济民制药
56,SH.600521,华海药业
57,SH.603737,三棵树
58,SH.603008,喜临门
59,SH.603338,浙江鼎力
60,SZ.300349,金卡智能
61,SH.600079,人福医药
62,SH.603993,洛阳钼业
63,SZ.000789,万年青
64,SH.600114,东睦股份
65,SZ.002016,世荣兆业
66,SH.600115,东方航空
67,SZ.002107,沃华医药
68,SZ.300261,雅本化学
69,SH.600020,中原高速
70,SZ.300122,智飞生物
71,SH.603283,赛腾股份
72,SZ.002574,明牌珠宝
73,SH.603165,荣晟环保
74,SZ.300599,雄塑科技
75,SH.600160,巨化股份
76,SH.600572,康恩贝
77,SZ.002388,新亚制程
78,SZ.300668,杰恩设计
79,SZ.002057,中钢天源
80,SH.600273,嘉化能源
81,SH.603456,九洲药业
82,SH.603299,井神股份
83,SZ.002128,露天煤业
84,SH.600486,扬农化工
85,SH.600566,济川药业
86,SZ.000596,古井贡酒
87,SZ.002832,比音勒芬
88,SH.601939,建设银行
89,SZ.002406,远东传动
90,SZ.002508,老板电器
91,SZ.300653,正海生物
92,SZ.300572,安车检测
93,SZ.300508,维宏股份
94,SZ.000915,山大华特
95,SH.603015,弘讯科技
96,SZ.300398,飞凯材料
97,SZ.001965,招商公路
98,SZ.300476,胜宏科技
99,SH.601222,林洋能源
100,SH.601088,中国神华
101,SH.603960,克来机电
102,SH.600012,皖通高速
103,SH.603605,珀莱雅
104,SZ.002293,罗莱生活
105,SH.600197,伊力特
106,SH.601882,海天精工
107,SZ.300725,药石科技
108,SZ.000759,中百集团
109,SZ.000999,华润三九
110,SZ.002135,东南网架
111,SZ.002270,华明装备
112,SH.603458,勘设股份
113,SH.603268,DR松发股
114,SH.600382,广东明珠
115,SH.601158,重庆水务
116,SH.600376,首开股份
117,SH.601108,财通证券
118,SH.600351,亚宝药业
119,SH.603429,集友股份
120,SZ.002213,特 尔 佳
121,SZ.002029,七 匹 狼
122,SH.600612,老凤祥
123,SZ.000828,东莞控股
124,SZ.002335,科华恒盛
125,SH.600643,爱建集团
126,SH.600530,交大昂立
127,SZ.002334,英威腾
128,SZ.002158,汉钟精机
129,SH.603663,XD三祥新
130,SZ.300532,今天国际
131,SH.601328,交通银行
132,SH.601016,节能风电
133,SH.600837,海通证券
134,SH.600823,世茂股份
135,SZ.300123,亚光科技
136,SH.603638,艾迪精密
137,SH.600763,通策医疗
138,SZ.002562,兄弟科技
139,SH.603096,新经典
140,SH.600405,动力源
141,SH.600621,华鑫股份
142,SH.603288,海天味业
143,SZ.002354,天神娱乐
144,SZ.300127,银河磁体
145,SZ.002651,利君股份
146,SH.600332,白云山
147,SH.600593,大连圣亚
148,SH.603598,引力传媒
149,SH.603912,佳力图
150,SZ.300415,伊之密
151,SH.603716,塞力斯
152,SH.603881,数据港
153,SZ.002345,潮宏基
154,SH.601588,北辰实业
155,SH.603108,润达医疗
156,SH.600682,南京新百
157,SZ.000778,新兴铸管
158,SZ.002398,建研集团
159,SH.600256,广汇能源
160,SH.600217,中再资环
161,SH.603117,万林股份
162,SH.601515,东风股份
163,SZ.300549,优德精密
164,SZ.300012,华测检测
165,SZ.000026,飞亚达Ａ
166,SZ.300718,长盛轴承
167,SH.600059,古越龙山
168,SZ.300137,先河环保
169,SH.600352,浙江龙盛
170,SH.603339,四方冷链
171,SZ.300316,晶盛机电
172,SZ.300684,中石科技
173,SH.603773,沃格光电
174,SZ.300700,岱勒新材
175,SZ.002001,新 和 成
176,SZ.300054,鼎龙股份
177,SH.600146,商赢环球
178,SH.600789,鲁抗医药
179,SZ.002724,海洋王
180,SH.600881,亚泰集团
181,SH.600477,杭萧钢构
182,SZ.002043,兔 宝 宝
183,SH.603868,飞科电器
184,SH.603818,曲美家居
185,SZ.002020,京新药业
186,SH.600961,株冶集团
187,SZ.300177,中海达
188,SH.603012,创力集团
189,SZ.002438,江苏神通
190,SH.600733,SST前锋
191,SH.600507,方大特钢
192,SH.603899,晨光文具
193,SZ.300470,日机密封
194,SH.600093,易见股份
195,SH.600323,瀚蓝环境
196,SH.600242,中昌数据
197,SH.600456,宝钛股份
198,SH.600545,卓郎智能
199,SH.600097,开创国际
200,SZ.300343,联创互联
201,SH.600183,生益科技
202,SZ.002453,天马精化
203,SZ.000709,河钢股份
204,SZ.002073,软控股份
205,SZ.002391,长青股份
206,SH.600277,亿利洁能
207,SH.600569,安阳钢铁
208,SZ.300506,名家汇
209,SH.600618,氯碱化工
210,SZ.000938,紫光股份
211,SZ.000887,中鼎股份
212,SZ.000593,大通燃气
213,SZ.002163,中航三鑫
214,SZ.300313,天山生物
215,SZ.000831,五矿稀土
216,SZ.000962,东方钽业
217,SZ.002319,乐通股份
218,SH.600479,千金药业
219,SZ.002170,芭田股份
220,SH.600230,沧州大化
221,SZ.000011,深物业A
222,SZ.000609,中迪投资
223,SZ.002514,宝馨科技
224,SZ.300155,安居宝
225,SZ.000921,海信科龙
226,SH.601997,贵阳银行
227,SH.600439,瑞贝卡
228,SZ.300309,吉艾科技
229,SZ.300347,泰格医药
230,SH.603088,宁波精达
231,SZ.300491,通合科技
232,SZ.300306,远方信息
233,SZ.300471,厚普股份
234,SH.600161,天坛生物
235,SZ.002405,四维图新
236,SH.600279,重庆港九
237,SZ.300338,开元股份
238,SH.600010,包钢股份
239,SH.600019,宝钢股份
240,SH.600025,华能水电
241,SH.600036,招商银行
242,SH.600056,中国医药
243,SH.600058,五矿发展
244,SH.600062,华润双鹤
245,SH.600103,青山纸业
246,SH.600157,永泰能源
247,SH.600163,中闽能源
248,SH.600173,卧龙地产
249,SH.600176,中国巨石
250,SH.600189,吉林森工
251,SH.600201,生物股份
252,SH.600225,天津松江
253,SH.600282,南钢股份
254,SH.600298,安琪酵母
255,SH.600305,恒顺醋业
256,SH.600330,天通股份
257,SH.600338,西藏珠峰
258,SH.600340,华夏幸福
259,SH.600355,精伦电子
260,SH.600380,健康元
261,SH.600409,三友化工
262,SH.600426,华鲁恒升
263,SH.600488,天药股份
264,SH.600519,贵州茅台
265,SH.600525,长园集团
266,SH.600559,老白干酒
267,SH.600577,精达股份
268,SH.600585,海螺水泥
269,SH.600592,龙溪股份
270,SH.600611,大众交通
271,SH.600619,海立股份
272,SH.600628,新世界
273,SH.600676,交运股份
274,SH.600681,百川能源
275,SH.600703,三安光电
276,SH.600727,鲁北化工
277,SH.600741,华域汽车
278,SH.600761,安徽合力
279,SH.600771,广誉远
280,SH.600777,新潮能源
281,SH.600779,水井坊
282,SH.600803,新奥股份
283,SH.600808,马钢股份
284,SH.600810,神马股份
285,SH.600828,茂业商业
286,SH.600859,王府井
287,SH.600867,通化东宝
288,SH.600889,南京化纤
289,SH.600919,江苏银行
290,SH.600966,博汇纸业
291,SH.601001,大同煤业
292,SH.601003,柳钢股份
293,SH.601009,南京银行
294,SH.601015,陕西黑猫
295,SH.601101,昊华能源
296,SH.601139,深圳燃气
297,SH.601216,君正集团
298,SH.601225,陕西煤业
299,SH.601231,环旭电子
300,SH.601368,绿城水务
301,SH.601636,旗滨集团
302,SH.601857,中国石油
303,SH.601999,出版传媒
304,SH.603085,天成自控
305,SH.603166,福达股份
306,SH.603369,XD今世缘
307,SH.603589,口子窖
308,SH.603599,广信股份
309,SH.603688,石英股份
310,SH.603701,德宏股份
311,SH.603799,华友钴业
312,SH.603856,东宏股份
313,SH.603938,三孚股份
314,SZ.000019,深深宝Ａ
315,SZ.000055,方大集团
316,SZ.000060,中金岭南
317,SZ.000401,冀东水泥
318,SZ.000418,小天鹅Ａ
319,SZ.000551,创元科技
320,SZ.000567,海德股份
321,SZ.000568,泸州老窖
322,SZ.000572,海马汽车
323,SZ.000603,盛达矿业
324,SZ.000615,京汉股份
325,SZ.000656,金科股份
326,SZ.000666,经纬纺机
327,SZ.000672,上峰水泥
328,SZ.000680,山推股份
329,SZ.000688,建新矿业
330,SZ.000731,四川美丰
331,SZ.000780,平庄能源
332,SZ.000786,北新建材
333,SZ.000825,太钢不锈
334,SZ.000830,鲁西化工
335,SZ.000835,长城动漫
336,SZ.000858,五 粮 液
337,SZ.000885,同力水泥
338,SZ.000918,嘉凯城
339,SZ.000923,河北宣工
340,SZ.000932,华菱钢铁
