id,code,stock_name
1,SZ.000598,兴蓉环境
2,SZ.000627,天茂集团
3,SZ.000676,智度股份
4,SZ.000686,东北证券
5,SZ.000690,宝新能源
6,SH.600057,厦门象屿
7,SH.600085,同仁堂
8,SH.600118,中国卫星
9,SH.600170,上海建工
10,SH.600269,赣粤高速
11,SH.600312,平高电气
12,SH.600369,西南证券
13,SH.600701,*ST工新
14,SH.600705,中航资本
15,SH.600879,航天电子
16,SH.600893,航发动力
17,SH.600521,华海药业
18,SH.600570,恒生电子
19,SH.601390,中国中铁
20,SH.601918,新集能源
21,SH.601375,中原证券
22,SH.601288,农业银行
23,SZ.002303,美盈森
24,SH.601179,中国西电
25,SZ.002460,赣锋锂业
26,SZ.002681,奋达科技
27,SH.601608,中信重工
28,SZ.000666,经纬纺机
29,SZ.000887,中鼎股份
30,SZ.000988,华工科技
31,SH.600008,首创股份
32,SH.600011,华能国际
33,SH.600028,中国石化
34,SH.600037,歌华有线
35,SH.600125,铁龙物流
36,SH.600252,中恒集团
37,SH.600316,洪都航空
38,SH.600366,宁波韵升
39,SH.600380,健康元
40,SH.600400,红豆股份
41,SH.600640,号百控股
42,SH.601607,上海医药
43,SH.600575,皖江物流
44,SH.600502,安徽水利
45,SH.600967,内蒙一机
46,SH.600022,山东钢铁
47,SH.600018,上港集团
48,SZ.002085,万丰奥威
49,SZ.002099,海翔药业
50,SH.601328,交通银行
51,SZ.002371,北方华创
52,SZ.002183,怡亚通
53,SH.601088,中国神华
54,SH.601997,贵阳银行
55,SH.601877,正泰电器
56,SZ.002411,必康股份
57,SZ.002431,棕榈股份
58,SZ.002610,爱康科技
59,SH.601928,凤凰传媒
60,SZ.002709,天赐材料
61,SH.601169,北京银行
62,SH.601939,建设银行
63,SH.601163,三角轮胎
64,SZ.000401,冀东水泥
65,SZ.000568,泸州老窖
66,SZ.000802,北京文化
67,SZ.000839,中信国安
68,SZ.000928,中钢国际
69,SH.600282,南钢股份
70,SH.600298,安琪酵母
71,SH.600317,营口港
72,SH.600428,中远海特
73,SH.600550,保变电气
74,SH.600643,爱建集团
75,SH.600728,佳都科技
76,SH.600804,鹏博士
77,SH.600809,山西汾酒
78,SH.600823,世茂股份
79,SH.600562,国睿科技
80,SH.600487,亨通光电
81,SH.600507,方大特钢
82,SH.600021,上海电力
83,SH.600497,驰宏锌锗
84,SH.600482,中国动力
85,SZ.002030,达安基因
86,SH.601699,潞安环能
87,SH.601958,金钼股份
88,SH.601229,上海银行
89,SZ.002506,协鑫集成
90,SZ.002445,中南文化
91,SH.601336,新华保险
92,SH.600926,杭州银行
93,SZ.002594,比亚迪
94,SZ.002690,美亚光电
95,SZ.000039,中集集团
96,SZ.000425,徐工机械
97,SZ.000732,泰禾集团
98,SZ.000767,漳泽电力
99,SZ.000876,新希望
100,SH.600096,云天化
101,SH.600108,亚盛集团
102,SH.600138,中青旅
103,SH.600183,生益科技
104,SH.600216,浙江医药
105,SH.600388,龙净环保
106,SH.600765,中航重机
107,SH.600787,中储股份
108,SH.600026,中远海能
109,SH.600409,三友化工
110,SH.600348,阳泉煤业
111,SZ.002028,思源电气
112,SZ.002210,飞马国际
113,SZ.002239,奥特佳
114,SZ.002285,世联行
115,SZ.002372,伟星新材
116,SZ.002390,信邦制药
117,SZ.002500,山西证券
118,SZ.002491,通鼎互联
119,SH.600919,江苏银行
120,SH.601222,林洋能源
121,SZ.002642,荣之联
122,SZ.002701,奥瑞金
123,SZ.000008,神州高铁
124,SZ.000027,深圳能源
125,SZ.000418,小天鹅
126,SZ.000537,广宇发展
127,SZ.000541,佛山照明
128,SZ.000750,国海证券
129,SZ.000778,新兴铸管
130,SZ.000898,鞍钢股份
131,SZ.000959,首钢股份
132,SH.600196,复星医药
133,SH.600259,广晟有色
134,SH.600332,白云山
135,SH.600651,飞乐音响
136,SH.600868,梅雁吉祥
137,SH.600535,天士力
138,SZ.002092,中泰化学
139,SZ.002195,二三四五
140,SH.601901,方正证券
141,SZ.002302,西部建设
142,SH.601117,中国化学
143,SZ.002424,贵州百灵
144,SZ.002440,闰土股份
145,SZ.002497,雅化集团
146,SZ.002509,天广中茂
147,SZ.002635,安洁科技
148,SH.601929,吉视传媒
149,SZ.002657,中科金财
150,SH.603019,中科曙光
151,SZ.000061,农产品
152,SZ.000572,海马汽车
153,SZ.000630,铜陵有色
154,SZ.000729,燕京啤酒
155,SZ.000917,电广传媒
156,SZ.000970,中科三环
157,SH.600064,南京高科
158,SH.600110,诺德股份
159,SH.600176,中国巨石
160,SH.600277,亿利洁能
161,SH.600500,中化国际
162,SH.600612,老凤祥
163,SH.600739,辽宁成大
164,SH.600777,新潮能源
165,SH.600839,四川长虹
166,SH.600416,湘电股份
167,SH.600029,南方航空
168,SH.600491,龙元建设
169,SZ.002055,得润电子
170,SZ.002142,宁波银行
171,SZ.002544,杰赛科技
172,SZ.002223,鱼跃医疗
173,SZ.002273,水晶光电
174,SH.601633,长城汽车
175,SZ.002294,信立泰
176,SZ.002414,高德红外
177,SZ.002465,海格通信
178,SZ.002501,利源精制
179,SH.601211,国泰君安
180,SH.601567,三星医疗
181,SZ.002601,龙蟒佰利
