,id,code,stock_name
0,1,HK.00101,恒隆地產
1,2,HK.00732,信利國際
2,3,HK.00762,中國聯通
3,4,HK.01038,長江基建集團
4,5,HK.02388,中銀香港
5,6,HK.02899,紫金礦業
6,7,HK.03618,重慶農村商業銀行
8,9,HK.00976,齊合環保
11,12,SH.600160,巨化股份
12,13,SH.601158,重庆水务
13,14,SZ.300415,伊之密
14,15,SZ.300137,先河环保
15,16,SH.601997,贵阳银行
16,17,SZ.300451,创业软件
17,18,SH.600588,用友网络
19,20,SZ.002555,三七互娱
24,25,SZ.300355,蒙草生态
26,27,SH.600018,上港集团
33,34,SZ.300469,信息发展
50,51,SH.600406,国电南瑞
51,52,SZ.300096,易联众
68,69,SH.600020,中原高速
71,72,SZ.002574,明牌珠宝
72,73,SH.603165,荣晟环保
79,80,SH.600273,嘉化能源
111,112,SH.603458,勘设股份
135,136,SH.603638,艾迪精密
142,143,SZ.002354,天神娱乐
144,145,SZ.002651,利君股份
147,148,SH.603598,引力传媒
182,183,SZ.002043,兔 宝 宝
224,225,SZ.000011,深物业A
227,228,SZ.300155,安居宝
235,236,SZ.300306,远方信息
239,240,SH.600279,重庆港九
58,59,HK.00317,中船防務
205,206,HK.01788,國泰君安國際
523,524,HK.01375,中州證券
